# Wall shear stress 
# Time              	patch               	min                 	max                 
100                 	top	(-1.370122199703e-02 -3.890222462586e-07 -5.925803188310e-18)	(-2.883877781230e-03 3.955335389604e-04 1.182955164564e-17)
200                 	top	(-1.370122222392e-02 -3.891608562199e-07 -5.928295893336e-18)	(-2.883874096110e-03 3.955335436121e-04 1.183911542333e-17)
300                 	top	(-1.370122222217e-02 -3.891611545872e-07 -5.928299619610e-18)	(-2.883874148002e-03 3.955335435910e-04 1.183912468125e-17)
400                 	top	(-1.370122222242e-02 -3.891611399008e-07 -5.928295207696e-18)	(-2.883874150026e-03 3.955335435946e-04 1.183911382080e-17)
500                 	top	(-1.370122222247e-02 -3.891611561025e-07 -5.928295269185e-18)	(-2.883874149323e-03 3.955335435919e-04 1.183911402106e-17)
600                 	top	(-1.370122222247e-02 -3.891611555792e-07 -5.928295254189e-18)	(-2.883874149142e-03 3.955335435920e-04 1.183911399313e-17)
700                 	top	(-1.370122222247e-02 -3.891611554926e-07 -5.928295253656e-18)	(-2.883874149206e-03 3.955335435918e-04 1.183911399045e-17)
800                 	top	(-1.370122222247e-02 -3.891611554960e-07 -5.928295254136e-18)	(-2.883874149204e-03 3.955335435918e-04 1.183911399155e-17)
900                 	top	(-1.370122222247e-02 -3.891611554156e-07 -5.928295254074e-18)	(-2.883874149202e-03 3.955335435918e-04 1.183911399146e-17)
1000                	top	(-1.370122222247e-02 -3.891611555462e-07 -5.928295254077e-18)	(-2.883874149203e-03 3.955335435919e-04 1.183911399146e-17)
