# y+ ()             
# Time              	patch               	min                 	max                 	average             
100                 	top	1.193285946059e+00	2.460951488943e+00	1.222244444268e+00
200                 	top	1.193285529591e+00	2.460951503346e+00	1.222247023669e+00
300                 	top	1.193285528288e+00	2.460951503433e+00	1.222247021091e+00
400                 	top	1.193285526962e+00	2.460951503398e+00	1.222247019936e+00
500                 	top	1.193285526852e+00	2.460951503398e+00	1.222247019802e+00
600                 	top	1.193285526966e+00	2.460951503398e+00	1.222247019906e+00
700                 	top	1.193285526946e+00	2.460951503398e+00	1.222247019890e+00
800                 	top	1.193285526943e+00	2.460951503398e+00	1.222247019886e+00
900                 	top	1.193285526945e+00	2.460951503398e+00	1.222247019888e+00
1000                	top	1.193285526945e+00	2.460951503398e+00	1.222247019888e+00
