# Wall shear stress 
# Time              	patch               	min                 	max                 
100                 	top	(-9.384314649511e-03 -4.806679707069e-06 -1.900695125428e-17)	(-2.833848099050e-03 4.232181492792e-05 4.343108147331e-17)
200                 	top	(-9.384221028277e-03 -4.805973216200e-06 -1.996315562117e-17)	(-2.833778807072e-03 4.232808082340e-05 2.768163692514e-17)
300                 	top	(-9.384211113257e-03 -4.805760907575e-06 -1.590619897070e-17)	(-2.833784895431e-03 4.232872699481e-05 2.678058033841e-17)
400                 	top	(-9.384209969923e-03 -4.805731797611e-06 -2.011275164146e-17)	(-2.833785700209e-03 4.232880112813e-05 2.736419308450e-17)
500                 	top	(-9.384209804017e-03 -4.805726905178e-06 -1.850374305784e-17)	(-2.833785810343e-03 4.232881184014e-05 2.709421876739e-17)
600                 	top	(-9.384209770632e-03 -4.805726488002e-06 -1.623186415131e-17)	(-2.833785829671e-03 4.232881405140e-05 2.618154439501e-17)
700                 	top	(-9.384209761236e-03 -4.805726543067e-06 -3.569180004469e-17)	(-2.833785836962e-03 4.232881463748e-05 2.700805402473e-17)
800                 	top	(-9.384209758374e-03 -4.805725303926e-06 -1.422671718007e-17)	(-2.833785837758e-03 4.232881482916e-05 2.586272413645e-17)
900                 	top	(-9.384209757609e-03 -4.805725875094e-06 -1.743161847805e-17)	(-2.833785838311e-03 4.232881488808e-05 2.651317085741e-17)
1000                	top	(-9.384209756682e-03 -4.805725772455e-06 -1.653956033001e-17)	(-2.833785838598e-03 4.232881491555e-05 4.283423986400e-17)
