# y+ ()             
# Time              	patch               	min                 	max                 	average             
100                 	top	3.055037743033e+00	4.464992581548e+00	3.151812791947e+00
200                 	top	3.055036871677e+00	4.464992562381e+00	3.150896765250e+00
300                 	top	3.055036871078e+00	4.464992562380e+00	3.150896745151e+00
400                 	top	3.055036870570e+00	4.464992562362e+00	3.150896726148e+00
500                 	top	3.055036866578e+00	4.464992562420e+00	3.150896725727e+00
600                 	top	3.055036870930e+00	4.464992562321e+00	3.150896755497e+00
700                 	top	3.055036868251e+00	4.464992562396e+00	3.150896732438e+00
800                 	top	3.055036866050e+00	4.464992562365e+00	3.150896721948e+00
900                 	top	3.055036864051e+00	4.464992562335e+00	3.150896729082e+00
1000                	top	3.055036872685e+00	4.464992562386e+00	3.150896741782e+00
