# Region        : all region0
# Cells         : 7480
# Volume        : 2.33333000e+00
# Time          	max(p)	max(k)	max(epsilon)	max(nut)
1               	3.01720919e-02	1.05519975e-02	9.13555292e-03	5.45328434e-03
2               	3.33789457e-02	8.35801375e-03	1.08422361e+00	2.93541154e-05
3               	4.44852324e-02	2.37820100e-02	7.64313377e-01	8.57814719e-05
4               	4.97972639e-02	3.30747936e-02	3.66850973e+00	3.27935853e-05
5               	5.27216115e-02	4.44644439e-02	6.01675811e+00	2.96562813e-05
6               	5.33161388e-02	5.29295881e-02	9.37855948e+00	2.68845890e-05
7               	5.34662375e-02	5.88318070e-02	1.21804858e+01	2.55742128e-05
8               	5.36041210e-02	6.27687970e-02	1.42736525e+01	2.48424829e-05
9               	5.37548379e-02	6.53200678e-02	1.57301385e+01	2.44119918e-05
10              	5.38723819e-02	6.69335542e-02	1.66988583e+01	2.41459059e-05
11              	5.39519795e-02	6.79289356e-02	1.73213871e+01	2.39755987e-05
12              	5.40003426e-02	6.85249283e-02	1.77092045e+01	2.38638569e-05
13              	5.40303488e-02	6.88673510e-02	1.79427796e+01	2.37891838e-05
14              	5.40520663e-02	6.90518218e-02	1.80774390e+01	2.37386429e-05
15              	5.40660753e-02	6.91400105e-02	1.81501221e+01	2.37040110e-05
16              	5.40746173e-02	6.91710813e-02	1.81849035e+01	2.36799422e-05
17              	5.40784356e-02	6.91695608e-02	1.81971630e+01	2.36629486e-05
18              	5.40824153e-02	6.91505689e-02	1.81965630e+01	2.36507359e-05
19              	5.40881319e-02	6.91232804e-02	1.81890692e+01	2.36418096e-05
20              	5.40992506e-02	6.90931339e-02	1.81783035e+01	2.36351816e-05
21              	5.41165811e-02	6.90632471e-02	1.81664127e+01	2.36301958e-05
22              	5.41412044e-02	6.90353015e-02	1.81546269e+01	2.36264044e-05
23              	5.41738556e-02	6.90100937e-02	1.81436090e+01	2.36234905e-05
24              	5.42132769e-02	6.89879007e-02	1.81336724e+01	2.36212352e-05
25              	5.42604775e-02	6.89686898e-02	1.81249256e+01	2.36194743e-05
26              	5.43142922e-02	6.89522639e-02	1.81173553e+01	2.36180897e-05
27              	5.43737144e-02	6.89383515e-02	1.81108833e+01	2.36169964e-05
28              	5.44393546e-02	6.89266507e-02	1.81054023e+01	2.36161273e-05
29              	5.45101362e-02	6.89168635e-02	1.81007930e+01	2.36154331e-05
30              	5.45854251e-02	6.89087126e-02	1.80969378e+01	2.36148770e-05
31              	5.46656072e-02	6.89019516e-02	1.80937274e+01	2.36144325e-05
32              	5.47499525e-02	6.88963522e-02	1.80910646e+01	2.36140698e-05
33              	5.48376281e-02	6.88917145e-02	1.80888593e+01	2.36137692e-05
34              	5.49287853e-02	6.88878670e-02	1.80870329e+01	2.36135160e-05
35              	5.50233446e-02	6.88846620e-02	1.80855177e+01	2.36132969e-05
36              	5.51206739e-02	6.88819751e-02	1.80842556e+01	2.36131027e-05
37              	5.52200982e-02	6.88797038e-02	1.80831975e+01	2.36129271e-05
38              	5.53215736e-02	6.88777625e-02	1.80823031e+01	2.41990965e-05
39              	5.54248196e-02	6.88760790e-02	1.80815387e+01	2.52660386e-05
40              	5.55292145e-02	6.88745942e-02	1.80808758e+01	2.63172482e-05
41              	5.56341865e-02	6.88732605e-02	1.80802911e+01	2.75907686e-05
42              	5.57397368e-02	6.88720418e-02	1.80797659e+01	2.88755793e-05
43              	5.58455257e-02	6.88709093e-02	1.80792861e+01	3.01428827e-05
44              	5.59508021e-02	6.88698350e-02	1.80788401e+01	3.13914457e-05
45              	5.60552774e-02	6.88687974e-02	1.80784171e+01	3.26228925e-05
46              	5.61589362e-02	6.88677825e-02	1.80780085e+01	3.38341113e-05
47              	5.62612753e-02	6.88667829e-02	1.80776089e+01	3.50258034e-05
48              	5.63616978e-02	6.88657967e-02	1.80772154e+01	3.62712666e-05
49              	5.64603663e-02	6.88648242e-02	1.80768271e+01	3.76515777e-05
50              	5.65571176e-02	6.88638664e-02	1.80764441e+01	3.90105812e-05
51              	5.66512504e-02	6.88629262e-02	1.80760670e+01	4.03488639e-05
52              	5.67430238e-02	6.88620068e-02	1.80756968e+01	4.16665671e-05
53              	5.68324153e-02	6.88611105e-02	1.80753348e+01	4.29621393e-05
54              	5.69189792e-02	6.88602407e-02	1.80749819e+01	4.42371708e-05
