# Region        : all region0
# Cells         : 7480
# Volume        : 2.33333000e+00
# Time          	max(U)
1               	(1.00166467e+00 9.21021522e-03 5.24789513e-16)
2               	(1.00292598e+00 4.32520549e-02 3.79694129e-16)
3               	(1.00462774e+00 2.06581255e-02 1.60874349e-15)
4               	(1.00577414e+00 2.59863391e-02 2.72096504e-16)
5               	(1.00669439e+00 2.98247119e-02 3.91140532e-16)
6               	(1.00733397e+00 3.25983721e-02 3.81898850e-16)
7               	(1.00778034e+00 3.43909208e-02 4.56717366e-16)
8               	(1.00820751e+00 3.56407052e-02 5.05028020e-16)
9               	(1.00857941e+00 3.65509308e-02 5.31222225e-16)
10              	(1.00889951e+00 3.72227728e-02 5.47583108e-16)
11              	(1.00920346e+00 3.77134922e-02 5.59008080e-16)
12              	(1.00947466e+00 3.80324970e-02 5.67326197e-16)
13              	(1.00970202e+00 3.82154474e-02 5.73344242e-16)
14              	(1.00994034e+00 3.83374510e-02 5.77678659e-16)
15              	(1.01024292e+00 3.84216502e-02 5.80767128e-16)
16              	(1.01052701e+00 3.84798078e-02 5.82961353e-16)
17              	(1.01079713e+00 3.85200941e-02 5.84519448e-16)
18              	(1.01102285e+00 3.85486035e-02 5.85624965e-16)
19              	(1.01120514e+00 3.85696861e-02 5.86406046e-16)
20              	(1.01143486e+00 3.85862481e-02 5.86956216e-16)
21              	(1.01163436e+00 3.86000384e-02 5.87340985e-16)
22              	(1.01181793e+00 3.86117906e-02 5.87607944e-16)
23              	(1.01195467e+00 3.86220290e-02 5.87791142e-16)
24              	(1.01207895e+00 3.86309433e-02 5.87914170e-16)
25              	(1.01221916e+00 3.86386141e-02 5.87994445e-16)
26              	(1.01234622e+00 3.86450977e-02 5.88043052e-16)
27              	(1.01244987e+00 3.86504633e-02 5.88068393e-16)
28              	(1.01253243e+00 3.86548125e-02 5.88076985e-16)
29              	(1.01260806e+00 3.86582553e-02 5.88072640e-16)
30              	(1.01269801e+00 3.86609017e-02 5.88058237e-16)
31              	(1.01277488e+00 3.86628605e-02 5.88035723e-16)
32              	(1.01284043e+00 3.86642318e-02 5.88004989e-16)
33              	(1.01287964e+00 3.86651079e-02 5.87966975e-16)
34              	(1.01294949e+00 3.86655724e-02 5.87922658e-16)
35              	(1.01300723e+00 3.86657054e-02 5.87873164e-16)
36              	(1.01306070e+00 3.86655829e-02 5.87819280e-16)
37              	(1.01309721e+00 3.86652656e-02 5.87761646e-16)
38              	(1.01314026e+00 3.86648011e-02 5.87700963e-16)
39              	(1.01318548e+00 3.86642264e-02 5.87637759e-16)
40              	(1.01322906e+00 3.86635698e-02 5.87572435e-16)
41              	(1.01326279e+00 3.86628523e-02 5.87505575e-16)
42              	(1.01328917e+00 3.86620900e-02 5.87438078e-16)
43              	(1.01331761e+00 3.86612859e-02 5.87371131e-16)
44              	(1.01335443e+00 3.86604471e-02 5.87305612e-16)
45              	(1.01338556e+00 3.86595952e-02 5.87242088e-16)
46              	(1.01341482e+00 3.86587556e-02 5.87180692e-16)
47              	(1.01343421e+00 3.86579447e-02 5.87121429e-16)
48              	(1.01346272e+00 3.86571663e-02 5.87064229e-16)
49              	(1.01349113e+00 3.86564222e-02 5.87009131e-16)
50              	(1.01351936e+00 3.86557133e-02 5.86956226e-16)
51              	(1.01353919e+00 3.86550374e-02 5.86905630e-16)
52              	(1.01355445e+00 3.86543938e-02 5.86857526e-16)
53              	(1.01357533e+00 3.86537858e-02 5.86811854e-16)
54              	(1.01360166e+00 3.86532161e-02 5.86768407e-16)
55              	(1.01362337e+00 3.86526853e-02 5.86727087e-16)
56              	(1.01364719e+00 3.86522017e-02 5.86688507e-16)
57              	(1.01365904e+00 3.86517928e-02 5.86650843e-16)
58              	(1.01367949e+00 3.86514232e-02 5.86612088e-16)
59              	(1.01370624e+00 3.86510720e-02 5.86573351e-16)
60              	(1.01372644e+00 3.86507336e-02 5.86535190e-16)
61              	(1.01375207e+00 3.86504155e-02 5.86497967e-16)
62              	(1.01376540e+00 3.86501252e-02 5.86461395e-16)
63              	(1.01378818e+00 3.86498671e-02 5.86425201e-16)
64              	(1.01381468e+00 3.86496386e-02 5.86389330e-16)
65              	(1.01383709e+00 3.86494364e-02 5.86353867e-16)
66              	(1.01386429e+00 3.86492572e-02 5.86319055e-16)
67              	(1.01388198e+00 3.86490985e-02 5.86284978e-16)
68              	(1.01390229e+00 3.86489583e-02 5.86251780e-16)
69              	(1.01392893e+00 3.86488353e-02 5.86219483e-16)
70              	(1.01395606e+00 3.86487279e-02 5.86188125e-16)
71              	(1.01398176e+00 3.86486347e-02 5.86157713e-16)
72              	(1.01400661e+00 3.86485536e-02 5.86128214e-16)
73              	(1.01402647e+00 3.86484838e-02 5.86099645e-16)
74              	(1.01405366e+00 3.86484241e-02 5.86071960e-16)
75              	(1.01408518e+00 3.86483723e-02 5.86045169e-16)
76              	(1.01411349e+00 3.86483269e-02 5.86019167e-16)
77              	(1.01414063e+00 3.86482871e-02 5.85993857e-16)
78              	(1.01416438e+00 3.86482537e-02 5.85969164e-16)
79              	(1.01419194e+00 3.86482263e-02 5.85945171e-16)
80              	(1.01422238e+00 3.86482034e-02 5.85921883e-16)
81              	(1.01425483e+00 3.86481833e-02 5.85899351e-16)
82              	(1.01428412e+00 3.86481639e-02 5.85877462e-16)
83              	(1.01430833e+00 3.86481445e-02 5.85856225e-16)
84              	(1.01433563e+00 3.86481260e-02 5.85835533e-16)
85              	(1.01436590e+00 3.86481085e-02 5.85815371e-16)
86              	(1.01439878e+00 3.86480915e-02 5.85795711e-16)
87              	(1.01442821e+00 3.86480747e-02 5.85776499e-16)
88              	(1.01445874e+00 3.86480578e-02 5.85757698e-16)
89              	(1.01448420e+00 3.86480406e-02 5.85739302e-16)
90              	(1.01452569e+00 3.86480236e-02 5.85721516e-16)
91              	(1.01459069e+00 3.86480074e-02 5.85704290e-16)
92              	(1.01465553e+00 3.86479899e-02 5.85687680e-16)
93              	(1.01471923e+00 3.86479698e-02 5.85671569e-16)
94              	(1.01478180e+00 3.86479484e-02 5.85655748e-16)
95              	(1.01484332e+00 3.86479280e-02 5.85640089e-16)
96              	(1.01490384e+00 3.86479096e-02 5.85624583e-16)
97              	(1.01496320e+00 3.86478931e-02 5.85609275e-16)
98              	(1.01502153e+00 3.86478775e-02 5.85594198e-16)
99              	(1.01507885e+00 3.86478621e-02 5.85579379e-16)
100             	(1.01513616e+00 3.86478463e-02 5.85564806e-16)
101             	(1.01519355e+00 3.86478303e-02 5.85550439e-16)
102             	(1.01525059e+00 3.86478143e-02 5.85536097e-16)
103             	(1.01530702e+00 3.86477978e-02 5.85521822e-16)
104             	(1.01536267e+00 3.86477806e-02 5.85507745e-16)
105             	(1.01541737e+00 3.86477630e-02 5.85493985e-16)
106             	(1.01547108e+00 3.86477455e-02 5.85480570e-16)
107             	(1.01552379e+00 3.86477289e-02 5.85467405e-16)
108             	(1.01557545e+00 3.86477134e-02 5.85454393e-16)
109             	(1.01562606e+00 3.86476988e-02 5.85441510e-16)
110             	(1.01567555e+00 3.86476848e-02 5.85428761e-16)
111             	(1.01572507e+00 3.86476711e-02 5.85416153e-16)
112             	(1.01577541e+00 3.86476575e-02 5.85403704e-16)
113             	(1.01582470e+00 3.86476439e-02 5.85391410e-16)
114             	(1.01587287e+00 3.86476303e-02 5.85379283e-16)
115             	(1.01591997e+00 3.86476168e-02 5.85367315e-16)
116             	(1.01596603e+00 3.86476034e-02 5.85355497e-16)
117             	(1.01601097e+00 3.86475903e-02 5.85343828e-16)
118             	(1.01605477e+00 3.86475773e-02 5.85332305e-16)
119             	(1.01609740e+00 3.86475646e-02 5.85320922e-16)
120             	(1.01613886e+00 3.86475521e-02 5.85309677e-16)
121             	(1.01617913e+00 3.86475401e-02 5.85298558e-16)
122             	(1.01621813e+00 3.86475287e-02 5.85287563e-16)
123             	(1.01625969e+00 3.86475176e-02 5.85276690e-16)
124             	(1.01630105e+00 3.86475144e-02 5.85266001e-16)
125             	(1.01634084e+00 3.86475294e-02 5.85255534e-16)
126             	(1.01637947e+00 3.86475509e-02 5.85245031e-16)
127             	(1.01641710e+00 3.86475736e-02 5.85234325e-16)
128             	(1.01645372e+00 3.86475931e-02 5.85223474e-16)
129             	(1.01648924e+00 3.86476077e-02 5.85212566e-16)
130             	(1.01652596e+00 3.86476180e-02 5.85201671e-16)
131             	(1.01656194e+00 3.86476256e-02 5.85190834e-16)
132             	(1.01659681e+00 3.86476319e-02 5.85180079e-16)
133             	(1.01663034e+00 3.86476380e-02 5.85169412e-16)
134             	(1.01666370e+00 3.86476445e-02 5.85158844e-16)
135             	(1.01669912e+00 3.86476516e-02 5.85148385e-16)
136             	(1.01673405e+00 3.86476589e-02 5.85138050e-16)
137             	(1.01676829e+00 3.86476663e-02 5.85127837e-16)
138             	(1.01680178e+00 3.86476738e-02 5.85117760e-16)
139             	(1.01683439e+00 3.86476808e-02 5.85107811e-16)
140             	(1.01686593e+00 3.86476876e-02 5.85097988e-16)
141             	(1.01689647e+00 3.86476942e-02 5.85088299e-16)
142             	(1.01692588e+00 3.86477007e-02 5.85078730e-16)
143             	(1.01695386e+00 3.86477072e-02 5.85069279e-16)
144             	(1.01698549e+00 3.86477135e-02 5.85059952e-16)
145             	(1.01701672e+00 3.86477198e-02 5.85050737e-16)
146             	(1.01704746e+00 3.86477259e-02 5.85041631e-16)
147             	(1.01707757e+00 3.86477318e-02 5.85032630e-16)
148             	(1.01710697e+00 3.86477376e-02 5.85023736e-16)
149             	(1.01713547e+00 3.86477429e-02 5.85014945e-16)
150             	(1.01716294e+00 3.86477478e-02 5.85006221e-16)
151             	(1.01718907e+00 3.86477523e-02 5.84997604e-16)
152             	(1.01721397e+00 3.86477566e-02 5.84989111e-16)
153             	(1.01724264e+00 3.86477608e-02 5.84980720e-16)
154             	(1.01727106e+00 3.86477649e-02 5.84972413e-16)
155             	(1.01729908e+00 3.86477689e-02 5.84964189e-16)
156             	(1.01732658e+00 3.86477725e-02 5.84956035e-16)
157             	(1.01735347e+00 3.86477758e-02 5.84947958e-16)
158             	(1.01737968e+00 3.86477788e-02 5.84939972e-16)
159             	(1.01740353e+00 3.86477812e-02 5.84932121e-16)
160             	(1.01742617e+00 3.86477834e-02 5.84924394e-16)
161             	(1.01744870e+00 3.86477855e-02 5.84916759e-16)
162             	(1.01747488e+00 3.86477875e-02 5.84909193e-16)
163             	(1.01750078e+00 3.86477890e-02 5.84901686e-16)
164             	(1.01752633e+00 3.86477901e-02 5.84894212e-16)
165             	(1.01755146e+00 3.86477908e-02 5.84886782e-16)
