# Region        : all region0
# Cells         : 7480
# Volume        : 2.33333000e+00
# Time          	min(p)	min(k)	min(epsilon)	min(nut)
1               	8.76788412e-05	8.80979731e-05	1.83761161e-03	1.30798437e-07
2               	6.26303631e-05	5.32277412e-05	2.82033920e-03	9.03578830e-08
3               	7.12256113e-05	3.26615792e-05	1.51357645e-03	6.34325988e-08
4               	5.99391178e-05	2.03298093e-05	8.19427262e-04	4.53940267e-08
5               	3.64822676e-05	1.29214031e-05	4.48297032e-04	3.35193815e-08
6               	1.88949703e-05	8.40937007e-06	2.48365903e-04	2.56258020e-08
7               	7.97922944e-06	5.62063147e-06	1.39707669e-04	2.03513154e-08
8               	8.38229112e-07	3.86985885e-06	8.00427339e-05	1.68387886e-08
9               	-5.39869012e-06	2.75255661e-06	4.68832626e-05	1.45444466e-08
10              	-1.18299308e-05	2.02731915e-06	2.81932573e-05	1.31202316e-08
11              	-1.88099435e-05	1.54834108e-06	1.74844934e-05	1.23402150e-08
12              	-2.57707975e-05	1.22643578e-06	1.12307243e-05	1.20538107e-08
13              	-3.25292952e-05	1.00633425e-06	7.49775416e-06	1.21561437e-08
14              	-3.90782812e-05	8.53338443e-07	5.21366734e-06	1.25701892e-08
15              	-4.54533243e-05	7.45382882e-07	3.77754807e-06	1.32370539e-08
16              	-5.16754021e-05	6.68249825e-07	2.84810563e-06	1.41112058e-08
17              	-5.77920277e-05	6.12647246e-07	2.22855487e-06	1.51579388e-08
18              	-6.38048250e-05	5.72405523e-07	1.80341150e-06	1.63514137e-08
19              	-1.68522213e-04	5.43355959e-07	1.50351491e-06	1.76727299e-08
20              	-3.93508317e-04	5.22628800e-07	1.28650514e-06	1.91081069e-08
21              	-5.97012388e-04	5.08210378e-07	1.12580998e-06	2.06473573e-08
22              	-7.27936479e-04	4.98660718e-07	1.00434880e-06	2.21716331e-08
23              	-8.44756886e-04	4.92930930e-07	9.10873347e-07	2.34777272e-08
24              	-9.30366450e-04	4.90243216e-07	8.37800775e-07	2.43362472e-08
25              	-9.69266791e-04	4.90010667e-07	7.79903830e-07	2.50188062e-08
26              	-1.00794852e-03	4.91782816e-07	7.33502394e-07	2.49250286e-08
27              	-1.01422576e-03	4.95208109e-07	6.95953903e-07	2.57829623e-08
28              	-9.88576070e-04	5.00007721e-07	6.65325558e-07	2.77357320e-08
29              	-9.65713483e-04	5.05957037e-07	6.40179292e-07	3.08954214e-08
30              	-9.24018280e-04	5.12872415e-07	6.19428058e-07	3.55434822e-08
31              	-8.60224587e-04	5.20601592e-07	6.02238033e-07	4.05028248e-08
32              	-7.93468440e-04	5.29016655e-07	5.87960924e-07	4.28383501e-08
33              	-7.28879334e-04	5.38008826e-07	5.76086353e-07	4.52203295e-08
34              	-6.49993256e-04	5.47484544e-07	5.66207842e-07	4.76291066e-08
35              	-5.61343303e-04	5.57362496e-07	5.57998178e-07	4.97971255e-08
36              	-4.77093328e-04	5.67571342e-07	5.51191319e-07	5.19987345e-08
37              	-3.95621293e-04	5.78047958e-07	5.45568950e-07	5.42307713e-08
38              	-3.04912030e-04	5.88736069e-07	5.40950377e-07	5.64191030e-08
39              	-2.09722811e-04	5.99585174e-07	5.37184847e-07	5.54913429e-08
40              	-1.66088480e-04	6.10549702e-07	5.34145651e-07	5.42730175e-08
41              	-1.70139925e-04	6.21588331e-07	5.31725558e-07	5.33276168e-08
42              	-1.74285263e-04	6.32663448e-07	5.29833238e-07	5.28503911e-08
43              	-1.78658784e-04	6.43740712e-07	5.28390455e-07	5.28881049e-08
44              	-1.83217296e-04	6.54788705e-07	5.27329839e-07	5.12404786e-08
45              	-1.87942558e-04	6.65778640e-07	5.26593096e-07	4.99103733e-08
46              	-1.92824829e-04	6.76684125e-07	5.26129570e-07	4.91285016e-08
47              	-1.97830076e-04	6.87480966e-07	5.25895084e-07	4.91435958e-08
48              	-2.02919421e-04	6.98147009e-07	5.25850995e-07	4.92689771e-08
49              	-2.08071621e-04	7.08662001e-07	5.25963417e-07	4.75898595e-08
50              	-2.13269892e-04	7.18406176e-07	5.26202584e-07	4.65173144e-08
51              	-2.18540473e-04	7.27276636e-07	5.26542316e-07	4.63101319e-08
52              	-2.23882171e-04	7.36059738e-07	5.26959581e-07	4.72938555e-08
53              	-2.29250932e-04	7.44640954e-07	5.27434111e-07	4.66108692e-08
54              	-2.34639001e-04	7.53016620e-07	5.27948087e-07	4.52391696e-08
55              	-2.40059919e-04	7.60885159e-07	5.28485862e-07	4.48141698e-08
56              	-2.45507648e-04	7.68463380e-07	5.29033721e-07	4.56697344e-08
57              	-2.50971629e-04	7.75766310e-07	5.29579670e-07	4.71911982e-08
58              	-2.56431444e-04	7.82819739e-07	5.30113249e-07	4.54928557e-08
59              	-2.61874561e-04	7.89623981e-07	5.30625367e-07	4.48063490e-08
60              	-2.67283269e-04	7.96183723e-07	5.31108152e-07	4.54715113e-08
61              	-2.72641762e-04	8.02523133e-07	5.31554822e-07	4.79091104e-08
62              	-2.77956021e-04	8.08635679e-07	5.31959559e-07	4.73725222e-08
63              	-2.83220629e-04	8.14534754e-07	5.32317407e-07	4.63200456e-08
64              	-2.88449036e-04	8.20236728e-07	5.32624170e-07	4.66639358e-08
65              	-2.93662615e-04	8.25759285e-07	5.32876329e-07	4.88223139e-08
66              	-2.98879796e-04	8.31095190e-07	5.33070956e-07	5.08795192e-08
67              	-3.04116531e-04	8.36225052e-07	5.33205641e-07	4.93142399e-08
68              	-3.09373203e-04	8.41220144e-07	5.33278426e-07	4.91565897e-08
69              	-3.14620720e-04	8.46005133e-07	5.33287730e-07	5.08191605e-08
70              	-3.19848326e-04	8.50645906e-07	5.33232292e-07	5.48218815e-08
71              	-3.25046456e-04	8.55101384e-07	5.33111101e-07	5.38000856e-08
72              	-3.30209942e-04	8.59466246e-07	5.32923333e-07	5.29445411e-08
73              	-3.35348788e-04	8.63698699e-07	5.32668283e-07	5.38671992e-08
74              	-3.40477544e-04	8.67831965e-07	5.32345298e-07	5.70580686e-08
75              	-3.45610650e-04	8.71949051e-07	5.31953709e-07	5.99447786e-08
76              	-3.50754484e-04	8.75904442e-07	5.31492770e-07	5.82094183e-08
77              	-3.55901954e-04	8.79753885e-07	5.30961599e-07	5.81462211e-08
78              	-3.61062019e-04	8.83514516e-07	5.30359149e-07	6.02159440e-08
79              	-3.66238380e-04	8.87206663e-07	5.29684203e-07	6.49888243e-08
