# Region        : all region0
# Cells         : 7480
# Volume        : 2.33333000e+00
# Time          	min(U)
1               	(5.25712623e-01 -4.26334966e-19 -2.53616040e-17)
2               	(6.41839680e-01 -1.63347870e-04 -4.42850273e-16)
3               	(3.68303124e-01 -7.34706856e-03 -1.70438133e-15)
4               	(3.12783580e-01 -5.89515141e-03 -5.08066538e-16)
5               	(2.32001064e-01 -3.84431858e-03 -2.45890467e-19)
6               	(1.86375834e-01 -1.60658986e-03 -2.76721643e-19)
7               	(1.57701977e-01 -5.04835387e-04 -3.01403173e-19)
8               	(1.38636961e-01 -1.37940587e-04 -4.15410193e-17)
9               	(1.25137893e-01 -1.05694335e-04 -7.32538534e-18)
10              	(1.15072346e-01 -8.96632234e-05 -4.77459847e-17)
11              	(1.07256922e-01 -6.05692959e-05 -1.02209495e-18)
12              	(1.00993979e-01 -3.20947745e-05 -2.68078298e-18)
13              	(9.58496149e-02 -1.68145494e-05 -7.95475628e-17)
14              	(9.15419285e-02 -8.90232625e-06 -2.22383933e-17)
15              	(8.78812135e-02 -3.73400235e-06 -8.23276472e-18)
16              	(8.47358103e-02 -6.12151834e-07 -1.74228883e-18)
17              	(8.20116159e-02 3.47288487e-07 -3.75128472e-17)
18              	(7.96393919e-02 6.09891964e-07 -2.81617298e-17)
19              	(7.75667574e-02 7.59482286e-07 -9.79621127e-18)
20              	(7.57530461e-02 8.61952020e-07 -2.40264614e-18)
21              	(7.41659310e-02 9.30364412e-07 -3.56884728e-18)
22              	(7.27791992e-02 1.13260883e-06 -1.31389791e-17)
23              	(7.15711765e-02 9.06955833e-07 -9.53743588e-18)
24              	(7.05235324e-02 9.47218059e-07 -1.41886820e-17)
25              	(6.96205496e-02 1.00566309e-06 -2.74095362e-17)
26              	(6.88485171e-02 1.03594400e-06 -1.93635762e-17)
27              	(6.81952985e-02 1.04799548e-06 -1.25095849e-18)
28              	(6.76500051e-02 1.05189486e-06 -1.32441391e-18)
29              	(6.72027539e-02 1.05216512e-06 -6.84369228e-19)
30              	(6.68444873e-02 1.05151189e-06 -1.19233562e-17)
31              	(6.65668441e-02 1.04914529e-06 -2.44140218e-17)
32              	(6.63620690e-02 1.04872155e-06 -1.78593882e-17)
33              	(6.62229490e-02 1.05169014e-06 -3.00614727e-19)
34              	(6.61427599e-02 1.05358497e-06 -2.23817894e-17)
35              	(6.61152270e-02 1.05786189e-06 -2.98983563e-19)
36              	(6.61345076e-02 1.06706571e-06 -1.44831722e-18)
37              	(6.61951791e-02 1.07926594e-06 -2.10935332e-17)
38              	(6.62922284e-02 1.09511310e-06 -1.92449133e-17)
39              	(6.64210443e-02 1.10968454e-06 -3.59129148e-19)
40              	(6.65774051e-02 1.11807975e-06 -3.29639092e-19)
41              	(6.67574619e-02 1.12369537e-06 -3.35919093e-19)
42              	(6.69577216e-02 1.12975617e-06 -1.64090172e-17)
43              	(6.71750299e-02 1.13668233e-06 -1.23799069e-17)
44              	(6.74065545e-02 1.14715863e-06 -3.53698305e-19)
45              	(6.76497756e-02 1.15870016e-06 -4.03546857e-19)
46              	(6.79024613e-02 1.16947835e-06 -3.65660650e-19)
47              	(6.81626455e-02 1.17834493e-06 -4.43015903e-19)
48              	(6.84286008e-02 1.18262584e-06 -5.99513509e-18)
49              	(6.86988171e-02 1.18391867e-06 -1.36615148e-17)
50              	(6.89719817e-02 1.18427165e-06 -3.88840120e-19)
51              	(6.92469599e-02 1.18364294e-06 -5.57055535e-18)
52              	(6.95227720e-02 1.18428507e-06 -5.55773788e-18)
53              	(6.97984460e-02 1.18516880e-06 -4.15368682e-18)
54              	(7.00734478e-02 1.18513791e-06 -1.10736656e-17)
55              	(7.03471499e-02 1.18336600e-06 -4.99213410e-18)
56              	(7.06190365e-02 1.17936536e-06 -3.74661984e-18)
57              	(7.08886813e-02 1.17378452e-06 -9.92437993e-18)
58              	(7.11557368e-02 1.16800794e-06 -8.48181185e-19)
59              	(7.14199346e-02 1.16272884e-06 -4.46570941e-19)
60              	(7.16811208e-02 1.15758203e-06 -4.40797911e-18)
61              	(7.19390266e-02 1.15301842e-06 -3.26768600e-18)
62              	(7.21934357e-02 1.14898561e-06 -4.28819859e-18)
63              	(7.24442649e-02 1.14487748e-06 -7.82106024e-19)
64              	(7.26914471e-02 1.14036726e-06 -4.76042328e-19)
65              	(7.29349373e-02 1.13582871e-06 -4.81277591e-19)
66              	(7.31747123e-02 1.13135582e-06 -4.86235469e-19)
67              	(7.34107689e-02 1.12730225e-06 -2.89862838e-18)
68              	(7.36431207e-02 1.12391546e-06 -4.95464882e-19)
69              	(7.38717970e-02 1.12131944e-06 -6.97794805e-18)
70              	(7.40968410e-02 1.11949671e-06 -5.36935574e-18)
71              	(7.43183065e-02 1.11850770e-06 -5.08184724e-19)
72              	(7.45362562e-02 1.11784072e-06 -3.75011631e-18)
73              	(7.47507604e-02 1.11698260e-06 -8.27374927e-18)
74              	(7.49618951e-02 1.11589240e-06 -1.30952640e-17)
75              	(7.51697412e-02 1.11494203e-06 -1.83682001e-17)
76              	(7.53743749e-02 1.11423308e-06 -2.20929026e-17)
77              	(7.55757592e-02 1.11390505e-06 -1.95222380e-17)
78              	(7.57741438e-02 1.11433359e-06 -1.92066587e-17)
79              	(7.59696027e-02 1.11468028e-06 -1.88518937e-17)
80              	(7.61622187e-02 1.11437063e-06 -1.85479046e-17)
81              	(7.63520759e-02 1.11352195e-06 -1.82849604e-17)
82              	(7.65392575e-02 1.11255486e-06 -1.80485191e-17)
83              	(7.67238446e-02 1.11167244e-06 -1.78300921e-17)
84              	(7.69059161e-02 1.11076496e-06 -1.76287563e-17)
85              	(7.70855471e-02 1.10954784e-06 -1.75550414e-17)
86              	(7.72628095e-02 1.10804485e-06 -1.75301158e-17)
87              	(7.74377718e-02 1.10638837e-06 -1.75189964e-17)
88              	(7.76104993e-02 1.10452513e-06 -1.75126576e-17)
89              	(7.77810535e-02 1.10262647e-06 -1.75083294e-17)
90              	(7.79494923e-02 1.10075845e-06 -1.75048280e-17)
91              	(7.81158692e-02 1.09853311e-06 -1.75016177e-17)
92              	(7.82802342e-02 1.09595577e-06 -1.74984763e-17)
