# Region        : all region0
# Cells         : 13056
# Volume        : 2.33333000e+00
# Time          	max(p)	max(k)	max(epsilon)	max(nut)
1               	1.23973873e-02	5.60434720e-03	7.19557111e+01	1.83508391e-07
2               	1.59642793e-02	2.27988333e-02	1.67755247e+02	9.57008552e-09
3               	1.30222713e-02	4.00378938e-02	1.37644068e+03	6.89659132e-09
4               	9.26768501e-03	5.03216659e-02	3.20328367e+03	7.10077028e-09
5               	7.11020533e-03	5.43142319e-02	4.51357932e+03	1.25157832e-08
6               	6.38377301e-03	5.42975631e-02	5.06126442e+03	2.24077883e-08
7               	6.24725886e-03	5.21150568e-02	5.05893468e+03	3.55771514e-08
8               	6.25503104e-03	4.89346334e-02	4.75700258e+03	4.92173371e-08
9               	6.14494824e-03	4.54214420e-02	4.32825733e+03	6.12506709e-08
10              	6.00402912e-03	4.19303610e-02	3.87061470e+03	7.29665513e-08
11              	5.90552078e-03	3.86286383e-02	3.43306057e+03	8.50541833e-08
12              	5.86127925e-03	3.55872111e-02	3.03565674e+03	9.77351127e-08
13              	5.85338622e-03	3.28247518e-02	2.68429039e+03	1.11044966e-07
14              	5.86403867e-03	3.03336254e-02	2.37788442e+03	1.24969062e-07
15              	5.88551936e-03	2.80941559e-02	2.11239457e+03	1.39394560e-07
16              	5.91721137e-03	2.60822104e-02	1.88283623e+03	1.54458465e-07
17              	5.95959060e-03	2.42730946e-02	1.69596603e+03	1.70227932e-07
18              	6.01240093e-03	2.26434358e-02	1.55689182e+03	1.86571309e-07
19              	6.07429256e-03	2.11719859e-02	1.43028287e+03	2.03456240e-07
20              	6.14451299e-03	1.98398576e-02	1.31538852e+03	2.20938068e-07
21              	6.22245300e-03	1.86304758e-02	1.21129378e+03	2.39031785e-07
22              	6.30762220e-03	1.75293980e-02	1.11703449e+03	2.57747001e-07
23              	6.39971360e-03	1.65240861e-02	1.03166337e+03	2.77092566e-07
24              	6.49849748e-03	1.56036683e-02	9.54285761e+02	2.97077128e-07
25              	6.60374998e-03	1.47587167e-02	8.84076771e+02	3.17709189e-07
26              	6.71524227e-03	1.39810454e-02	8.20287390e+02	3.38997110e-07
27              	6.83275241e-03	1.32635339e-02	7.66639875e+02	3.60949114e-07
28              	6.95625885e-03	1.25999739e-02	7.19667214e+02	3.83573291e-07
29              	7.08563034e-03	1.19849385e-02	6.76053256e+02	4.06877597e-07
30              	7.22086714e-03	1.14136703e-02	6.35555103e+02	4.30869861e-07
31              	7.36195898e-03	1.08819874e-02	5.97939847e+02	4.55557782e-07
32              	7.50887790e-03	1.03862026e-02	5.62987177e+02	4.80948934e-07
33              	7.66157272e-03	9.92305555e-03	5.30490712e+02	5.07050767e-07
34              	7.81999685e-03	9.48965532e-03	5.00258479e+02	5.33870600e-07
35              	7.98415346e-03	9.08343093e-03	4.72112813e+02	5.61415628e-07
36              	8.15405148e-03	8.70208985e-03	4.45889901e+02	5.89692916e-07
37              	8.32968263e-03	8.34358232e-03	4.21439093e+02	6.18709401e-07
38              	8.51103464e-03	8.00607085e-03	3.98622121e+02	6.48471889e-07
39              	8.69796928e-03	7.68790411e-03	3.77312238e+02	6.78987055e-07
40              	8.89044350e-03	7.38759447e-03	3.57393333e+02	7.10261444e-07
41              	9.08845262e-03	7.10379860e-03	3.38759111e+02	7.42301467e-07
42              	9.29200366e-03	6.83530076e-03	3.21312266e+02	7.75113402e-07
43              	9.50107994e-03	6.58099824e-03	3.05623199e+02	8.08703391e-07
44              	9.71567842e-03	6.33988881e-03	2.91338627e+02	8.43077445e-07
45              	9.93561892e-03	6.11105968e-03	2.77845637e+02	8.78241435e-07
46              	1.01608536e-02	5.89367790e-03	2.65094883e+02	9.14201097e-07
47              	1.03913812e-02	5.68698199e-03	2.53040178e+02	9.50962030e-07
48              	1.06270765e-02	5.49027450e-03	2.41638329e+02	9.88529694e-07
49              	1.08677131e-02	5.30291557e-03	2.30848972e+02	1.02690941e-06
50              	1.11131931e-02	5.12431715e-03	2.20634410e+02	1.06610635e-06
51              	1.13634535e-02	4.95393798e-03	2.10959445e+02	1.10612557e-06
52              	1.16184429e-02	4.79127905e-03	2.01791222e+02	1.14697195e-06
53              	1.18780814e-02	4.63587963e-03	1.93099079e+02	1.18865026e-06
54              	1.21421980e-02	4.48731373e-03	1.84854396e+02	1.23116511e-06
55              	1.24106790e-02	4.34518693e-03	1.77030459e+02	1.27452095e-06
56              	1.26832747e-02	4.20913353e-03	1.69602327e+02	1.31872212e-06
57              	1.29599003e-02	4.07881404e-03	1.62546710e+02	1.36377278e-06
58              	1.32404889e-02	3.95391290e-03	1.55841857e+02	1.40967697e-06
59              	1.35249276e-02	3.83414326e-03	1.49467447e+02	1.45643856e-06
60              	1.38131646e-02	3.71923915e-03	1.43404493e+02	1.50406129e-06
61              	1.41051490e-02	3.60894453e-03	1.37635252e+02	1.55254871e-06
62              	1.44004853e-02	3.50301735e-03	1.32143135e+02	1.60190427e-06
63              	1.46990898e-02	3.40123062e-03	1.26912615e+02	1.65213122e-06
64              	1.50005583e-02	3.30337208e-03	1.21929148e+02	1.70323268e-06
65              	1.53048698e-02	3.20924337e-03	1.17179106e+02	1.75521160e-06
66              	1.56121507e-02	3.11865912e-03	1.12649712e+02	1.80807077e-06
67              	1.59223914e-02	3.03144582e-03	1.08328979e+02	1.86181283e-06
68              	1.62353189e-02	2.94744100e-03	1.04205661e+02	1.91644023e-06
69              	1.65501072e-02	2.86649225e-03	1.00412382e+02	1.97195528e-06
70              	1.68669767e-02	2.78845649e-03	9.68195549e+01	2.02836010e-06
71              	1.71860018e-02	2.71319919e-03	9.33777952e+01	2.08565664e-06
72              	1.75070595e-02	2.64059377e-03	9.00797945e+01	2.14384668e-06
73              	1.78302018e-02	2.57052097e-03	8.69186406e+01	2.20293181e-06
74              	1.81551072e-02	2.50506006e-03	8.38877934e+01	2.26291344e-06
75              	1.84816907e-02	2.44268414e-03	8.09810633e+01	2.32379279e-06
76              	1.88099292e-02	2.38229959e-03	7.81925908e+01	2.38557090e-06
77              	1.91393706e-02	2.32382825e-03	7.55168273e+01	2.44824857e-06
78              	1.94700706e-02	2.26719504e-03	7.29485175e+01	2.51182645e-06
79              	1.98015510e-02	2.21232816e-03	7.04826821e+01	2.57630494e-06
80              	2.01335231e-02	2.15915917e-03	6.81146025e+01	2.64168424e-06
81              	2.04661233e-02	2.10762278e-03	6.58398056e+01	2.70796432e-06
82              	2.07994758e-02	2.05765679e-03	6.36540506e+01	2.77514493e-06
83              	2.11334278e-02	2.00920187e-03	6.15533150e+01	2.84322557e-06
84              	2.14673179e-02	1.96220147e-03	5.95337830e+01	2.91220551e-06
85              	2.18012849e-02	1.91660160e-03	5.75918332e+01	2.98208373e-06
86              	2.21356694e-02	1.87235075e-03	5.57240281e+01	3.05285899e-06
87              	2.24707303e-02	1.82939973e-03	5.39271035e+01	3.12452975e-06
88              	2.28065932e-02	1.78770153e-03	5.21979579e+01	3.19709418e-06
89              	2.31424573e-02	1.74721122e-03	5.05336453e+01	3.27055017e-06
90              	2.34783103e-02	1.70788587e-03	4.89313655e+01	3.34489529e-06
91              	2.38132812e-02	1.66968437e-03	4.73884561e+01	3.42012679e-06
92              	2.41482667e-02	1.63256741e-03	4.59023850e+01	3.49624159e-06
93              	2.44837202e-02	1.59649735e-03	4.44707429e+01	3.57323626e-06
94              	2.48186474e-02	1.56143814e-03	4.30912369e+01	3.65110702e-06
95              	2.51528851e-02	1.52735524e-03	4.17616841e+01	3.72984971e-06
96              	2.54866159e-02	1.49421733e-03	4.04800056e+01	3.80945976e-06
97              	2.58199427e-02	1.46199452e-03	3.92442210e+01	3.88993224e-06
98              	2.61525609e-02	1.43065611e-03	3.80524438e+01	3.97126176e-06
99              	2.64840219e-02	1.40017209e-03	3.69028757e+01	4.05344254e-06
100             	2.68145298e-02	1.37051358e-03	3.57938022e+01	4.13646833e-06
101             	2.71445762e-02	1.34165289e-03	3.47235881e+01	4.22033243e-06
102             	2.74743643e-02	1.31356357e-03	3.36906730e+01	4.30502768e-06
103             	2.78038111e-02	1.28622027e-03	3.26935681e+01	4.39054645e-06
104             	2.81323728e-02	1.25959876e-03	3.17308516e+01	4.47688062e-06
105             	2.84587754e-02	1.23367578e-03	3.08011660e+01	4.56402159e-06
106             	2.87839994e-02	1.20842905e-03	2.99175687e+01	4.65196026e-06
107             	2.91086768e-02	1.18383716e-03	2.90790088e+01	4.74068704e-06
108             	2.94333257e-02	1.15987959e-03	2.82676520e+01	4.83019187e-06
109             	2.97572072e-02	1.13653658e-03	2.74824958e+01	4.92046421e-06
110             	3.00798407e-02	1.11378917e-03	2.67225797e+01	5.01149305e-06
111             	3.04011973e-02	1.09161911e-03	2.59869832e+01	5.10326692e-06
112             	3.07211419e-02	1.07000884e-03	2.52748233e+01	5.19577394e-06
113             	3.10394262e-02	1.04894145e-03	2.45852532e+01	5.28900182e-06
114             	3.13565174e-02	1.02840067e-03	2.39174602e+01	5.38293789e-06
115             	3.16727517e-02	1.00837080e-03	2.32706649e+01	5.47756916e-06
116             	3.19875359e-02	9.89319173e-04	2.26441187e+01	5.57288234e-06
117             	3.23007875e-02	9.70916363e-04	2.20371034e+01	5.66886390e-06
118             	3.26127750e-02	9.52943126e-04	2.14489292e+01	5.76550008e-06
119             	3.29239049e-02	9.35387859e-04	2.08789337e+01	5.86277703e-06
120             	3.32332519e-02	9.18239256e-04	2.03264807e+01	5.96068077e-06
121             	3.35409446e-02	9.01486339e-04	1.97909589e+01	6.05919733e-06
122             	3.38471753e-02	8.85118467e-04	1.92717811e+01	6.15831278e-06
123             	3.41525777e-02	8.69125331e-04	1.87683828e+01	6.25801329e-06
124             	3.44572033e-02	8.53496945e-04	1.82802214e+01	6.35828525e-06
125             	3.47605519e-02	8.38223633e-04	1.78067753e+01	6.45911527e-06
126             	3.50626689e-02	8.23296022e-04	1.73475430e+01	6.56049030e-06
127             	3.53635885e-02	8.08705029e-04	1.69020421e+01	6.66239769e-06
128             	3.56632219e-02	7.94441849e-04	1.64698086e+01	6.76482524e-06
129             	3.59612849e-02	7.80497950e-04	1.60503960e+01	6.86775918e-06
130             	3.62578441e-02	7.66865059e-04	1.56433748e+01	6.97118823e-06
131             	3.65526896e-02	7.53535153e-04	1.52483315e+01	7.07510328e-06
132             	3.68460535e-02	7.40500450e-04	1.48648681e+01	7.17949528e-06
133             	3.71379138e-02	7.27753403e-04	1.44926014e+01	7.28435554e-06
134             	3.74283476e-02	7.15286688e-04	1.41311626e+01	7.38967592e-06
135             	3.77173365e-02	7.03093199e-04	1.37801964e+01	7.49544900e-06
136             	3.80037316e-02	6.91166038e-04	1.34393606e+01	7.60166820e-06
137             	3.82877766e-02	6.79498509e-04	1.31083256e+01	7.70832778e-06
138             	3.85701318e-02	6.68084113e-04	1.27867737e+01	7.81542291e-06
139             	3.88511182e-02	6.56916537e-04	1.24743988e+01	7.92294961e-06
140             	3.91309676e-02	6.45989649e-04	1.21709057e+01	8.03090480e-06
141             	3.94098478e-02	6.35297495e-04	1.18760099e+01	8.13928623e-06
142             	3.96875077e-02	6.24834290e-04	1.15894373e+01	8.24809250e-06
143             	3.99638886e-02	6.14594412e-04	1.13109232e+01	8.35732299e-06
144             	4.02388518e-02	6.04572398e-04	1.10402126e+01	8.46697785e-06
145             	4.05123160e-02	5.94763093e-04	1.07770594e+01	8.57705799e-06
146             	4.07843099e-02	5.85162002e-04	1.05212261e+01	8.68756497e-06
147             	4.10547131e-02	5.75764557e-04	1.02724836e+01	8.79850101e-06
148             	4.13232310e-02	5.66565849e-04	1.00306110e+01	8.90986891e-06
149             	4.15902113e-02	5.57560966e-04	9.79539486e+00	9.02167202e-06
150             	4.18558828e-02	5.48745103e-04	9.56662929e+00	9.13391415e-06
151             	4.21198479e-02	5.40113595e-04	9.34411551e+00	9.24659954e-06
152             	4.23818439e-02	5.31661921e-04	9.12766154e+00	9.35973278e-06
153             	4.26410965e-02	5.23385701e-04	8.91708199e+00	9.47331879e-06
154             	4.28985990e-02	5.15280690e-04	8.71219777e+00	9.58736270e-06
155             	4.31548641e-02	5.07342769e-04	8.51283587e+00	9.70186985e-06
156             	4.34100406e-02	4.99567940e-04	8.31882912e+00	9.81684572e-06
157             	4.36641778e-02	4.91952322e-04	8.13424424e+00	9.93229585e-06
158             	4.39173192e-02	4.84492146e-04	7.95497463e+00	1.00482258e-05
159             	4.41693516e-02	4.77183748e-04	7.78032569e+00	1.01646412e-05
160             	4.44199545e-02	4.70023568e-04	7.61016410e+00	1.02815476e-05
161             	4.46691330e-02	4.63008141e-04	7.44436086e+00	1.03989503e-05
162             	4.49169992e-02	4.56134102e-04	7.28279111e+00	1.05168546e-05
163             	4.51635992e-02	4.49398173e-04	7.12533394e+00	1.06352657e-05
164             	4.54088460e-02	4.42797168e-04	6.97187227e+00	1.07541885e-05
165             	4.56526701e-02	4.36327985e-04	6.82229269e+00	1.08736276e-05
166             	4.58950800e-02	4.29987603e-04	6.67648534e+00	1.09935877e-05
167             	4.61361833e-02	4.23773082e-04	6.53434380e+00	1.11140728e-05
168             	4.63760242e-02	4.17681561e-04	6.39576494e+00	1.12350869e-05
169             	4.66146300e-02	4.11710252e-04	6.26064887e+00	1.13566337e-05
170             	4.68513471e-02	4.05856438e-04	6.12889875e+00	1.14787165e-05
171             	4.70865735e-02	4.00117475e-04	6.00042075e+00	1.16013384e-05
172             	4.73204543e-02	3.94490784e-04	5.87512390e+00	1.17245023e-05
173             	4.75530410e-02	3.88973855e-04	5.75292005e+00	1.18482106e-05
