# Region        : all region0
# Cells         : 13056
# Volume        : 2.33333000e+00
# Time          	max(U)
1               	(1.00005164e+00 1.58762538e-04 1.74810766e-15)
2               	(1.00011465e+00 3.63561097e-04 1.75490165e-15)
3               	(1.00015718e+00 5.26162483e-04 3.98764201e-16)
4               	(1.00019891e+00 6.38549143e-04 1.52455317e-18)
5               	(1.00026584e+00 7.27224196e-04 1.49772140e-18)
6               	(1.00034548e+00 8.12925339e-04 1.46457039e-18)
7               	(1.00042565e+00 9.01575012e-04 3.05887450e-16)
8               	(1.00050309e+00 9.91511218e-04 2.04985290e-16)
9               	(1.00057707e+00 1.08064160e-03 1.90038332e-16)
10              	(1.00064839e+00 1.16869302e-03 1.76999007e-16)
11              	(1.00072132e+00 1.25648541e-03 1.66640816e-16)
12              	(1.00079288e+00 1.34486869e-03 1.58762504e-16)
13              	(1.00086392e+00 1.43432086e-03 1.52422593e-16)
14              	(1.00093399e+00 1.52509264e-03 1.46820450e-16)
15              	(1.00100340e+00 1.61733438e-03 1.41585682e-16)
16              	(1.00107250e+00 1.71117790e-03 1.36636050e-16)
17              	(1.00114446e+00 1.80691001e-03 1.31978890e-16)
18              	(1.00121725e+00 1.90457820e-03 1.27613956e-16)
19              	(1.00129042e+00 2.00436909e-03 1.23520726e-16)
20              	(1.00136426e+00 2.10655591e-03 1.19672824e-16)
21              	(1.00143897e+00 2.21107619e-03 1.16047883e-16)
22              	(1.00151474e+00 2.31803493e-03 1.12628540e-16)
23              	(1.00159168e+00 2.42787590e-03 1.09400014e-16)
24              	(1.00166987e+00 2.54039838e-03 1.06348363e-16)
25              	(1.00174941e+00 2.65564776e-03 1.03460124e-16)
26              	(1.00183034e+00 2.77388290e-03 1.00722592e-16)
27              	(1.00191266e+00 2.89546784e-03 9.81241223e-17)
28              	(1.00199636e+00 3.02002605e-03 9.56541529e-17)
29              	(1.00208140e+00 3.14762588e-03 9.33031075e-17)
30              	(1.00216775e+00 3.27867053e-03 9.10622665e-17)
31              	(1.00225535e+00 3.41350546e-03 8.89237046e-17)
32              	(1.00234412e+00 3.55155597e-03 8.68802447e-17)
33              	(1.00243398e+00 3.69288375e-03 8.49253483e-17)
34              	(1.00252481e+00 3.83771142e-03 8.30530500e-17)
35              	(1.00261649e+00 3.98712748e-03 8.12579052e-17)
36              	(1.00270889e+00 4.13991540e-03 7.95349436e-17)
37              	(1.00280187e+00 4.29612861e-03 7.78796218e-17)
38              	(1.00289528e+00 4.45583661e-03 7.62877806e-17)
39              	(1.00298897e+00 4.61970931e-03 7.47556057e-17)
40              	(1.00308285e+00 4.78822906e-03 7.32795928e-17)
41              	(1.00317682e+00 4.96019930e-03 7.18565168e-17)
42              	(1.00327075e+00 5.13563385e-03 7.04834052e-17)
43              	(1.00336449e+00 5.31458665e-03 6.91575127e-17)
44              	(1.00346589e+00 5.49697537e-03 6.78763006e-17)
45              	(1.00356967e+00 5.68489680e-03 6.66374172e-17)
46              	(1.00367311e+00 5.87643622e-03 6.54386808e-17)
47              	(1.00377647e+00 6.07132515e-03 6.42780648e-17)
48              	(1.00387980e+00 6.26948816e-03 6.31536833e-17)
49              	(1.00398304e+00 6.47094879e-03 6.20637792e-17)
50              	(1.00408613e+00 6.67560710e-03 6.10067128e-17)
51              	(1.00419598e+00 6.88384038e-03 5.99809530e-17)
52              	(1.00431725e+00 7.09726176e-03 5.89850673e-17)
53              	(1.00443905e+00 7.31361951e-03 5.80177140e-17)
54              	(1.00456128e+00 7.53304351e-03 5.70776356e-17)
55              	(1.00468382e+00 7.75529659e-03 5.61636512e-17)
56              	(1.00480654e+00 7.98025168e-03 5.52746512e-17)
57              	(1.00492929e+00 8.20795080e-03 5.44095916e-17)
58              	(1.00505191e+00 8.43822411e-03 5.35674892e-17)
59              	(1.00517430e+00 8.67086536e-03 5.27474171e-17)
60              	(1.00529633e+00 8.90602570e-03 5.19485004e-17)
61              	(1.00541780e+00 9.14630618e-03 5.11699131e-17)
62              	(1.00553855e+00 9.38870608e-03 5.04108746e-17)
63              	(1.00565843e+00 9.63316816e-03 4.96706456e-17)
64              	(1.00577738e+00 9.87959008e-03 4.89485256e-17)
65              	(1.00589533e+00 1.01278728e-02 4.82438513e-17)
66              	(1.00601204e+00 1.03781228e-02 4.75559929e-17)
67              	(1.00612736e+00 1.06300764e-02 4.68843525e-17)
68              	(1.00624123e+00 1.08836073e-02 4.62283622e-17)
69              	(1.00635357e+00 1.11387662e-02 4.55874826e-17)
70              	(1.00646418e+00 1.13952643e-02 4.49611996e-17)
71              	(1.00657267e+00 1.16529643e-02 4.43490233e-17)
72              	(1.00667895e+00 1.19117623e-02 4.37504870e-17)
73              	(1.00678305e+00 1.21715578e-02 4.31651451e-17)
74              	(1.00688539e+00 1.24322332e-02 4.25925738e-17)
75              	(1.00698559e+00 1.26965056e-02 4.20323683e-17)
76              	(1.00708351e+00 1.29619782e-02 4.14841418e-17)
77              	(1.00717925e+00 1.32281207e-02 4.09475234e-17)
78              	(1.00727268e+00 1.34948754e-02 4.04221577e-17)
79              	(1.00736371e+00 1.37621986e-02 3.99077054e-17)
80              	(1.00745191e+00 1.40301085e-02 3.94038412e-17)
81              	(1.00753732e+00 1.42985735e-02 3.89102560e-17)
82              	(1.00762000e+00 1.45674911e-02 3.84266524e-17)
83              	(1.00770001e+00 1.48367130e-02 3.79527433e-17)
84              	(1.00777730e+00 1.51060705e-02 3.74882526e-17)
85              	(1.00785177e+00 1.53754550e-02 3.70329132e-17)
86              	(1.00792344e+00 1.56447960e-02 3.65864733e-17)
87              	(1.00799238e+00 1.59140064e-02 3.61486937e-17)
88              	(1.00805899e+00 1.61831770e-02 3.57193413e-17)
89              	(1.00812323e+00 1.64522755e-02 3.52981889e-17)
90              	(1.00818501e+00 1.67210928e-02 3.48850153e-17)
91              	(1.00824425e+00 1.69895825e-02 3.44796042e-17)
92              	(1.00830867e+00 1.72577023e-02 3.40817630e-17)
93              	(1.00837091e+00 1.75254226e-02 3.36913058e-17)
94              	(1.00843039e+00 1.77926670e-02 3.33080456e-17)
95              	(1.00848742e+00 1.80593745e-02 3.29317960e-17)
96              	(1.00854213e+00 1.83254802e-02 3.25623732e-17)
97              	(1.00859459e+00 1.85909429e-02 3.21996056e-17)
98              	(1.00864488e+00 1.88557202e-02 3.18433457e-17)
99              	(1.00869315e+00 1.91197282e-02 3.14934464e-17)
100             	(1.00873949e+00 1.93829523e-02 3.11497541e-17)
101             	(1.00878402e+00 1.96484190e-02 3.08121165e-17)
102             	(1.00882692e+00 1.99134336e-02 3.04803555e-17)
103             	(1.00886812e+00 2.01776334e-02 3.01543575e-17)
104             	(1.00890739e+00 2.04408860e-02 2.98340154e-17)
105             	(1.00894458e+00 2.07033759e-02 2.95192067e-17)
106             	(1.00897905e+00 2.09650675e-02 2.92098032e-17)
107             	(1.00901100e+00 2.12258690e-02 2.89056224e-17)
108             	(1.00904041e+00 2.14857109e-02 2.86065553e-17)
109             	(1.00906718e+00 2.17436922e-02 2.83125291e-17)
110             	(1.00909137e+00 2.19996693e-02 2.80234581e-17)
111             	(1.00911310e+00 2.22546029e-02 2.84678943e-17)
112             	(1.00913251e+00 2.25086701e-02 2.89189076e-17)
113             	(1.00914931e+00 2.27618906e-02 2.93751025e-17)
114             	(1.00916350e+00 2.30141949e-02 2.98348870e-17)
115             	(1.00917530e+00 2.32654773e-02 3.02962699e-17)
116             	(1.00918481e+00 2.35156127e-02 3.07600926e-17)
117             	(1.00919210e+00 2.37646636e-02 3.12231144e-17)
