# Region        : all region0
# Cells         : 13056
# Volume        : 2.33333000e+00
# Time          	min(p)	min(k)	min(epsilon)	min(nut)
1               	2.73419246e-07	9.29038611e-05	5.57024553e-03	2.11542672e-11
2               	3.39062547e-07	5.83684452e-05	3.13537993e-03	3.33939541e-11
3               	-9.04574420e-05	3.72327107e-05	1.78501180e-03	2.50107825e-11
4               	-3.61807898e-04	2.41355097e-05	1.02898671e-03	1.54797788e-11
5               	-5.71117099e-04	1.59118245e-05	6.01352911e-04	1.06305722e-11
6               	-7.25379984e-04	1.06759270e-05	3.56742173e-04	8.29824436e-12
7               	-8.53521320e-04	7.29339802e-06	2.15096245e-04	6.47614509e-12
8               	-9.71832770e-04	5.07482580e-06	1.31970555e-04	5.61253279e-12
9               	-1.08416979e-03	3.59674555e-06	8.24774350e-05	4.86473165e-12
10              	-1.19078325e-03	2.59612553e-06	5.25489215e-05	4.28858831e-12
11              	-1.29355077e-03	1.90766998e-06	3.41512724e-05	3.98384629e-12
12              	-1.39594422e-03	1.42623715e-06	2.26455390e-05	3.66405803e-12
13              	-1.49900992e-03	1.08410536e-06	1.53207949e-05	3.35034105e-12
14              	-1.60377964e-03	8.37089718e-07	1.05723737e-05	3.16072869e-12
15              	-1.71087909e-03	6.55979793e-07	7.43740245e-06	3.05870833e-12
16              	-1.81987949e-03	5.21204972e-07	5.32977446e-06	2.84147238e-12
17              	-1.93077629e-03	4.19475518e-07	3.88736508e-06	2.67289775e-12
18              	-2.04397376e-03	3.41644642e-07	2.88298165e-06	2.55991297e-12
19              	-2.15990300e-03	2.81332526e-07	2.17184986e-06	2.48991518e-12
20              	-2.27808938e-03	2.34030624e-07	1.66026098e-06	2.38326733e-12
21              	-2.39853901e-03	1.96511862e-07	1.28660972e-06	2.25091830e-12
22              	-2.52165147e-03	1.66437746e-07	1.00977175e-06	2.15148448e-12
23              	-2.64757271e-03	1.42093222e-07	8.01882073e-07	2.07866158e-12
24              	-2.77647252e-03	1.22206497e-07	6.43784846e-07	2.02782861e-12
25              	-2.90857940e-03	1.05825466e-07	5.22126046e-07	1.96127726e-12
26              	-3.04398324e-03	9.22304376e-08	4.27475238e-07	1.85928609e-12
27              	-3.18271392e-03	8.08729448e-08	3.53091782e-07	1.77665652e-12
28              	-3.32461472e-03	7.13324884e-08	2.94099252e-07	1.71025346e-12
29              	-3.46971459e-03	6.32853104e-08	2.46932075e-07	1.65765169e-12
30              	-3.61803330e-03	5.64814150e-08	2.08958138e-07	1.61703870e-12
31              	-3.76957329e-03	5.07272654e-08	1.78217025e-07	1.56417949e-12
32              	-3.92435337e-03	4.58723825e-08	1.53235741e-07	1.48442770e-12
33              	-4.08235890e-03	4.17986530e-08	1.32896915e-07	1.41661209e-12
34              	-4.24356322e-03	3.84115893e-08	1.16343043e-07	1.35907964e-12
35              	-4.40798121e-03	3.56331238e-08	1.02905978e-07	1.31046144e-12
36              	-4.57559927e-03	3.33957535e-08	9.20546098e-08	1.26961504e-12
