# Region        : all region0
# Cells         : 13056
# Volume        : 2.33333000e+00
# Time          	min(U)
1               	(4.82568994e-01 -4.40546620e-11 -8.74904914e-16)
2               	(2.88126968e-01 -1.52798761e-06 -9.08915802e-16)
3               	(2.02640171e-01 -3.91914071e-08 -7.38628960e-16)
4               	(1.59114816e-01 -5.99731284e-07 -5.31639666e-16)
5               	(1.33579444e-01 -2.39060760e-06 -3.65098224e-16)
6               	(1.16779468e-01 -3.00037944e-06 -2.44015354e-16)
7               	(1.04743874e-01 -2.07007665e-06 -2.74182193e-18)
8               	(9.55779292e-02 -2.82924384e-06 -3.11661630e-18)
9               	(8.82838517e-02 -4.35766498e-06 -3.23543683e-18)
10              	(8.22890167e-02 -5.93928562e-06 -2.72553086e-18)
11              	(7.72402880e-02 -6.94641158e-06 -2.77048157e-18)
12              	(7.29068018e-02 -7.03381021e-06 -2.82620330e-18)
13              	(6.91303345e-02 -6.59536179e-06 -2.89434290e-18)
14              	(6.57982132e-02 -6.17623747e-06 -2.96320782e-18)
15              	(6.28276432e-02 -5.83236883e-06 -3.02867329e-18)
16              	(6.01561775e-02 -5.67582161e-06 -3.10435984e-18)
17              	(5.77356693e-02 -5.55049866e-06 -3.18643172e-18)
18              	(5.55282940e-02 -5.51646620e-06 -3.27856150e-18)
19              	(5.35038507e-02 -5.35818694e-06 -3.36970334e-18)
20              	(5.16378821e-02 -5.18576453e-06 -3.46169796e-18)
21              	(4.99103341e-02 -5.12303238e-06 -3.56106711e-18)
22              	(4.83045799e-02 -4.98399926e-06 -3.66629738e-18)
23              	(4.68066979e-02 -4.79558051e-06 -3.77747393e-18)
24              	(4.54049268e-02 -4.72629984e-06 -3.89500364e-18)
25              	(4.40892506e-02 -4.62617190e-06 -4.01994294e-18)
26              	(4.28510768e-02 -4.49272496e-06 -4.15415565e-18)
27              	(4.16829850e-02 -4.38435654e-06 -4.29701529e-18)
28              	(4.05785273e-02 -4.35616317e-06 -4.44865019e-18)
29              	(3.95320694e-02 -4.30488974e-06 -4.60658071e-18)
30              	(3.85386622e-02 -4.24189577e-06 -4.77305107e-18)
31              	(3.75939377e-02 -4.17386216e-06 -4.94815684e-18)
32              	(3.66940230e-02 -4.17094602e-06 -5.13178331e-18)
33              	(3.58354703e-02 -4.17474968e-06 -5.32337983e-18)
34              	(3.50151982e-02 -4.17222362e-06 -5.52373536e-18)
35              	(3.42304425e-02 -4.16396291e-06 -5.73346652e-18)
36              	(3.34787152e-02 -4.15151884e-06 -5.95346995e-18)
37              	(3.27577697e-02 -4.13758717e-06 -6.18389936e-18)
38              	(3.20655713e-02 -4.12605203e-06 -6.42563806e-18)
39              	(3.14002719e-02 -4.20123199e-06 -6.67946477e-18)
40              	(3.07601882e-02 -4.48482412e-06 -6.94567698e-18)
41              	(3.01437834e-02 -4.76340700e-06 -7.22449938e-18)
42              	(2.95496509e-02 -5.03422025e-06 -7.51664539e-18)
43              	(2.89765003e-02 -5.29547006e-06 -7.82255266e-18)
44              	(2.84231452e-02 -5.54554790e-06 -8.14248427e-18)
45              	(2.78884927e-02 -5.78284989e-06 -8.47211783e-18)
46              	(2.73715338e-02 -6.00572289e-06 -8.81522096e-18)
47              	(2.68713357e-02 -6.21251669e-06 -9.17232953e-18)
48              	(2.63870338e-02 -6.40157241e-06 -9.54222883e-18)
49              	(2.59178258e-02 -6.57119878e-06 -9.92646378e-18)
50              	(2.54629661e-02 -6.71970100e-06 -1.03266001e-17)
51              	(2.50217602e-02 -6.84530300e-06 -1.07434759e-17)
52              	(2.45935607e-02 -6.94627362e-06 -1.11740425e-17)
53              	(2.41777629e-02 -7.02093405e-06 -1.16177327e-17)
54              	(2.37738016e-02 -7.10975506e-06 -1.20768887e-17)
55              	(2.33811473e-02 -7.39116759e-06 -1.25517028e-17)
56              	(2.29993039e-02 -7.65974871e-06 -1.30434375e-17)
57              	(2.26278053e-02 -7.92884466e-06 -1.35502393e-17)
58              	(2.22662139e-02 -8.21003037e-06 -1.40714408e-17)
59              	(2.19141176e-02 -8.47610009e-06 -1.46073038e-17)
60              	(2.15711285e-02 -8.72589331e-06 -1.51584161e-17)
61              	(2.12368808e-02 -8.95705813e-06 -1.57199528e-17)
62              	(2.09110291e-02 -9.16682756e-06 -1.62898220e-17)
63              	(2.05932472e-02 -9.35239803e-06 -1.68720930e-17)
64              	(2.02832266e-02 -9.51058829e-06 -1.74778583e-17)
65              	(1.99806752e-02 -9.63871026e-06 -1.80986076e-17)
66              	(1.96853164e-02 -9.73438551e-06 -1.87391498e-17)
67              	(1.93968878e-02 -9.79507085e-06 -1.93962016e-17)
68              	(1.91151404e-02 -9.82416786e-06 -2.00710281e-17)
69              	(1.88398378e-02 -9.81913552e-06 -2.07587239e-17)
70              	(1.85707551e-02 -9.84416640e-06 -2.14537305e-17)
71              	(1.83076786e-02 -9.89265574e-06 -2.21501635e-17)
72              	(1.80504047e-02 -9.90422019e-06 -2.28467379e-17)
73              	(1.77987395e-02 -9.88127071e-06 -2.35554735e-17)
74              	(1.75524982e-02 -9.82270882e-06 -2.42953261e-17)
75              	(1.73115044e-02 -9.72667855e-06 -2.50629692e-17)
76              	(1.70755897e-02 -9.59133445e-06 -2.58504224e-17)
77              	(1.68445935e-02 -9.42075161e-06 -2.66380620e-17)
78              	(1.66183620e-02 -9.24595424e-06 -2.74145364e-17)
79              	(1.63967484e-02 -9.16481096e-06 -2.82203352e-17)
80              	(1.61796118e-02 -9.04358113e-06 -2.90392456e-17)
81              	(1.59668178e-02 -8.88907491e-06 -2.98662221e-17)
82              	(1.57582374e-02 -8.70238684e-06 -3.06913919e-17)
83              	(1.55537468e-02 -8.48285548e-06 -3.15220115e-17)
84              	(1.53532276e-02 -8.23146484e-06 -3.23476829e-17)
85              	(1.51565659e-02 -7.97268890e-06 -3.31738867e-17)
86              	(1.49636526e-02 -7.82419331e-06 -3.40097478e-17)
87              	(1.47743828e-02 -7.64027854e-06 -3.48598075e-17)
88              	(1.45886556e-02 -7.42834098e-06 -3.57335796e-17)
89              	(1.44063742e-02 -7.18988012e-06 -3.66381350e-17)
90              	(1.42274454e-02 -6.92460154e-06 -3.75602794e-17)
91              	(1.40517794e-02 -6.63743456e-06 -3.84571154e-17)
92              	(1.38792900e-02 -6.43938529e-06 -3.93490835e-17)
93              	(1.37098939e-02 -6.24699308e-06 -4.02363434e-17)
94              	(1.35435111e-02 -6.03030333e-06 -4.11263084e-17)
95              	(1.33800644e-02 -5.79243939e-06 -4.20204488e-17)
96              	(1.32194792e-02 -5.53374854e-06 -4.29135572e-17)
97              	(1.30616838e-02 -5.25881265e-06 -4.38047392e-17)
98              	(1.29066089e-02 -5.08429341e-06 -4.46974822e-17)
99              	(1.27541874e-02 -4.89325832e-06 -4.55888695e-17)
100             	(1.26043549e-02 -4.68440943e-06 -4.64944721e-17)
101             	(1.24570487e-02 -4.45967237e-06 -4.74132957e-17)
102             	(1.23122087e-02 -4.22011357e-06 -4.83481672e-17)
103             	(1.21697765e-02 -4.02682363e-06 -4.92999179e-17)
104             	(1.20296956e-02 -3.86371516e-06 -5.02706656e-17)
105             	(1.18919114e-02 -3.68503597e-06 -5.11941718e-17)
106             	(1.17563713e-02 -3.49392746e-06 -5.21111726e-17)
107             	(1.16230239e-02 -3.29105168e-06 -5.30191521e-17)
108             	(1.14918198e-02 -3.12189865e-06 -5.39215915e-17)
109             	(1.13627111e-02 -2.98296089e-06 -5.48218012e-17)
110             	(1.12356512e-02 -2.83167001e-06 -5.57214958e-17)
111             	(1.11105951e-02 -2.67066824e-06 -5.66151709e-17)
112             	(1.09874992e-02 -2.50105671e-06 -5.75103781e-17)
113             	(1.08663210e-02 -2.37348709e-06 -5.84230773e-17)
114             	(1.07470195e-02 -2.25474226e-06 -5.93486828e-17)
115             	(1.06295548e-02 -2.12739889e-06 -6.02783474e-17)
116             	(1.05138882e-02 -1.99302636e-06 -6.12097531e-17)
117             	(1.03999821e-02 -1.86313112e-06 -6.21379553e-17)
118             	(1.02878001e-02 -1.77068121e-06 -6.30780748e-17)
119             	(1.01769901e-02 -1.67029804e-06 -6.40245428e-17)
120             	(1.00676170e-02 -1.56425653e-06 -6.49325536e-17)
121             	(9.95984999e-03 -1.45347957e-06 -6.58304439e-17)
122             	(9.85365654e-03 -1.37438814e-06 -6.67318975e-17)
123             	(9.74900504e-03 -1.29549382e-06 -6.76445615e-17)
124             	(9.64586484e-03 -1.21194481e-06 -6.85560145e-17)
