"nut","yPlus","k","p","omega","wallShearStress:0","wallShearStress:1","wallShearStress:2","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.175554554e-12,0.3621035516,2.224465788e-05,0.009046604857,15925807,-0.00522037223,-3.493551412e-05,0,0,0,0,1,0,0,0,0
3.674350321e-13,0.2465177178,4.84486327e-06,0.004571228754,15925796,-0.002419696189,-1.295439045e-08,-1.316978406e-20,0,0,0,1,0.01999999955,0.01999999955,0,0
3.146556095e-13,0.2341835052,3.943609954e-06,0.004043953493,15925795,-0.00218357984,-8.006733943e-09,-4.29195844e-19,0,0,0,1,0.03999999911,0.03999999911,0,0
2.85644582e-13,0.2268047184,3.467810302e-06,0.003762541106,15925795,-0.002048097085,-5.181164831e-09,-2.453824825e-19,0,0,0,1,0.05999999866,0.05999999866,0,0
2.662741718e-13,0.2215896696,3.158734899e-06,0.003559088102,15925795,-0.001954991836,-3.722196107e-09,-1.318308115e-19,0,0,0,1,0.07999999821,0.07999999821,0,0
2.521564229e-13,0.2176266611,2.938007583e-06,0.003400361864,15925795,-0.001885683509,-2.862504678e-09,0,0,0,0,1,0.1000000015,0.1000000015,0,0
2.412332487e-13,0.2144570947,2.76996775e-06,0.003269817214,15925794,-0.001831151312,-2.296292045e-09,0,0,0,0,1,0.1199999973,0.1199999973,0,0
2.324466845e-13,0.2118366808,2.636597628e-06,0.003158178413,15925794,-0.001786673442,-1.904410407e-09,-2.150612562e-20,0,0,0,1,0.1400000006,0.1400000006,0,0
2.251553165e-13,0.2096111029,2.527173137e-06,0.003060208866,15925794,-0.001749328105,-1.61905056e-09,1.998337013e-20,0,0,0,1,0.1599999964,0.1599999964,0,0
2.189577729e-13,0.2076810151,2.435075203e-06,0.002972431015,15925794,-0.001717261155,-1.403635652e-09,-3.329389687e-20,0,0,0,1,0.1800000072,0.1800000072,0,0
2.135869742e-13,0.2059786469,2.355949619e-06,0.002892205492,15925794,-0.001689222991,-1.237978609e-09,0,0,0,0,1,0.200000003,0.200000003,0,0
