# Region        : all region0
# Cells         : 7480
# Volume        : 2.33333000e+00
# Time          	max(p)	max(k)	max(omega)	max(nut)
1               	2.52322357e-02	1.13857165e-03	7.47637135e+03	3.07903214e-07
2               	3.49992930e-02	3.41724145e-03	7.48453340e+03	4.56610356e-07
3               	4.19928981e-02	6.30086402e-03	7.50331319e+03	8.39744238e-07
4               	4.72460326e-02	8.88440813e-03	7.52701157e+03	1.18033672e-06
5               	5.06268539e-02	1.08323983e-02	7.54818064e+03	1.43510057e-06
6               	5.26070690e-02	1.21265365e-02	7.56410292e+03	1.60316915e-06
7               	5.34884429e-02	1.29220031e-02	7.57466231e+03	1.70595105e-06
8               	5.38346440e-02	1.34045442e-02	7.58114554e+03	1.76814231e-06
9               	5.38909252e-02	1.36927604e-02	7.58507566e+03	1.96588620e-06
10              	5.38671640e-02	1.38629281e-02	7.58742210e+03	2.58288133e-06
11              	5.38189470e-02	1.39629050e-02	7.58880714e+03	3.35963376e-06
12              	5.38426896e-02	1.40215281e-02	7.58962076e+03	4.41200289e-06
13              	5.38605073e-02	1.40549719e-02	7.59009780e+03	5.69037318e-06
14              	5.39297062e-02	1.40746147e-02	7.59036993e+03	7.31172384e-06
15              	5.40223488e-02	1.40854004e-02	7.59052976e+03	9.26916088e-06
16              	5.40362748e-02	1.40913110e-02	7.59061752e+03	1.15683238e-05
17              	5.40671764e-02	1.40955354e-02	7.59066561e+03	1.42862574e-05
18              	5.41079957e-02	1.40981013e-02	7.59069998e+03	1.73761474e-05
19              	5.40643876e-02	1.40998633e-02	7.59072086e+03	2.07350476e-05
20              	5.40842331e-02	1.41007127e-02	7.59073520e+03	2.40935486e-05
21              	5.40548390e-02	1.41010870e-02	7.59074211e+03	2.69936951e-05
22              	5.40676927e-02	1.41006618e-02	7.59074515e+03	2.96410128e-05
23              	5.40970717e-02	1.40997546e-02	7.59074169e+03	3.19487536e-05
24              	5.41215203e-02	1.40989325e-02	7.59073431e+03	3.42912447e-05
25              	5.41690205e-02	1.40983179e-02	7.59072762e+03	3.64415298e-05
26              	5.41938674e-02	1.40978493e-02	7.59072262e+03	3.85845805e-05
27              	5.42063949e-02	1.40974683e-02	7.59071881e+03	4.06904219e-05
28              	5.42163311e-02	1.40972633e-02	7.59071571e+03	4.27217539e-05
29              	5.42398522e-02	1.40979294e-02	7.59071404e+03	4.47715568e-05
30              	5.42657770e-02	1.40990615e-02	7.59071946e+03	4.68568828e-05
31              	5.43007340e-02	1.41002707e-02	7.59072867e+03	4.90088708e-05
32              	5.43214569e-02	1.41014424e-02	7.59073851e+03	5.11706564e-05
33              	5.43196639e-02	1.41025253e-02	7.59074804e+03	5.33313232e-05
34              	5.43127654e-02	1.41034777e-02	7.59075686e+03	5.54851040e-05
35              	5.42364208e-02	1.41042318e-02	7.59076460e+03	5.76243022e-05
36              	5.42261925e-02	1.41047806e-02	7.59077074e+03	5.97422450e-05
37              	5.42627026e-02	1.41051609e-02	7.59077521e+03	6.18346190e-05
38              	5.43781262e-02	1.41054590e-02	7.59077830e+03	6.38966722e-05
39              	5.44537276e-02	1.41057348e-02	7.59078073e+03	6.59525210e-05
40              	5.44941983e-02	1.41060328e-02	7.59078297e+03	6.80059352e-05
41              	5.45102868e-02	1.41063625e-02	7.59078539e+03	7.00270850e-05
42              	5.45208553e-02	1.41067133e-02	7.59078808e+03	7.20126968e-05
43              	5.45346724e-02	1.41070648e-02	7.59079093e+03	7.39599037e-05
44              	5.45523594e-02	1.41073998e-02	7.59079379e+03	7.58660262e-05
45              	5.45363552e-02	1.41076870e-02	7.59079652e+03	7.77293082e-05
46              	5.45050173e-02	1.41078903e-02	7.59079885e+03	7.95473581e-05
47              	5.44439328e-02	1.41079680e-02	7.59080051e+03	8.13189746e-05
48              	5.44891909e-02	1.41079579e-02	7.59080114e+03	8.30429114e-05
49              	5.45436706e-02	1.41079040e-02	7.59080106e+03	8.47183853e-05
50              	5.46235477e-02	1.41078619e-02	7.59080062e+03	8.63446670e-05
51              	5.46858344e-02	1.41078682e-02	7.59080028e+03	8.79215430e-05
52              	5.47191897e-02	1.41079388e-02	7.59080033e+03	8.94486006e-05
53              	5.47325978e-02	1.41080706e-02	7.59080090e+03	9.09546163e-05
54              	5.47494362e-02	1.41082514e-02	7.59080197e+03	9.24638226e-05
55              	5.47596901e-02	1.41084607e-02	7.59080345e+03	9.39240731e-05
56              	5.47717595e-02	1.41086782e-02	7.59080515e+03	9.53355310e-05
57              	5.47919963e-02	1.41088921e-02	7.59080692e+03	9.66981451e-05
58              	5.47982493e-02	1.41090921e-02	7.59080866e+03	9.80121475e-05
