# Region        : all region0
# Cells         : 7480
# Volume        : 2.33333000e+00
# Time          	max(U)
1               	(1.00346160e+00 2.34828426e-02 0.00000000e+00)
2               	(1.00477402e+00 3.11967468e-02 0.00000000e+00)
3               	(1.00511659e+00 3.58115846e-02 0.00000000e+00)
4               	(1.00515492e+00 3.84739821e-02 0.00000000e+00)
5               	(1.00541809e+00 3.95881030e-02 0.00000000e+00)
6               	(1.00586623e+00 3.98575324e-02 0.00000000e+00)
7               	(1.00643033e+00 4.00740055e-02 0.00000000e+00)
8               	(1.00701460e+00 4.02908141e-02 0.00000000e+00)
9               	(1.00749008e+00 4.03748992e-02 0.00000000e+00)
10              	(1.00779858e+00 4.04629407e-02 0.00000000e+00)
11              	(1.00804237e+00 4.05817043e-02 0.00000000e+00)
12              	(1.00831964e+00 4.07762578e-02 0.00000000e+00)
13              	(1.00848404e+00 4.09131315e-02 0.00000000e+00)
14              	(1.00883832e+00 4.08868919e-02 0.00000000e+00)
15              	(1.00880334e+00 4.10623150e-02 0.00000000e+00)
16              	(1.00868966e+00 4.11738327e-02 0.00000000e+00)
17              	(1.00883857e+00 4.13219270e-02 0.00000000e+00)
18              	(1.00903203e+00 4.14642231e-02 0.00000000e+00)
19              	(1.00925036e+00 4.15719717e-02 0.00000000e+00)
20              	(1.00954130e+00 4.16383531e-02 0.00000000e+00)
21              	(1.00984016e+00 4.16862484e-02 0.00000000e+00)
22              	(1.01011087e+00 4.17236257e-02 0.00000000e+00)
23              	(1.01034267e+00 4.17554414e-02 0.00000000e+00)
24              	(1.01053962e+00 4.17720288e-02 0.00000000e+00)
25              	(1.01070276e+00 4.17799036e-02 0.00000000e+00)
26              	(1.01082904e+00 4.17820239e-02 0.00000000e+00)
27              	(1.01092250e+00 4.17813044e-02 0.00000000e+00)
28              	(1.01099016e+00 4.17845979e-02 0.00000000e+00)
29              	(1.01104037e+00 4.18087616e-02 0.00000000e+00)
30              	(1.01108393e+00 4.18259112e-02 0.00000000e+00)
31              	(1.01112265e+00 4.18386967e-02 0.00000000e+00)
32              	(1.01115886e+00 4.18482523e-02 0.00000000e+00)
33              	(1.01119849e+00 4.18552959e-02 0.00000000e+00)
34              	(1.01124027e+00 4.18602549e-02 0.00000000e+00)
35              	(1.01128491e+00 4.18635786e-02 0.00000000e+00)
36              	(1.01132915e+00 4.18656527e-02 0.00000000e+00)
37              	(1.01137068e+00 4.18661940e-02 0.00000000e+00)
38              	(1.01140515e+00 4.18652921e-02 0.00000000e+00)
39              	(1.01143895e+00 4.18633427e-02 0.00000000e+00)
40              	(1.01146626e+00 4.18612010e-02 0.00000000e+00)
41              	(1.01148419e+00 4.18592563e-02 0.00000000e+00)
42              	(1.01149384e+00 4.18577096e-02 0.00000000e+00)
43              	(1.01149894e+00 4.18565348e-02 0.00000000e+00)
44              	(1.01150144e+00 4.18555747e-02 0.00000000e+00)
45              	(1.01150126e+00 4.18546798e-02 0.00000000e+00)
46              	(1.01149822e+00 4.18538788e-02 0.00000000e+00)
47              	(1.01149483e+00 4.18531019e-02 0.00000000e+00)
48              	(1.01148914e+00 4.18520854e-02 0.00000000e+00)
49              	(1.01148617e+00 4.18503208e-02 0.00000000e+00)
50              	(1.01148211e+00 4.18482012e-02 0.00000000e+00)
51              	(1.01148348e+00 4.18460892e-02 0.00000000e+00)
52              	(1.01148666e+00 4.18443432e-02 0.00000000e+00)
53              	(1.01148713e+00 4.18430932e-02 0.00000000e+00)
54              	(1.01148428e+00 4.18423256e-02 0.00000000e+00)
55              	(1.01148159e+00 4.18419177e-02 0.00000000e+00)
56              	(1.01147970e+00 4.18417476e-02 0.00000000e+00)
57              	(1.01148037e+00 4.18416514e-02 0.00000000e+00)
58              	(1.01148389e+00 4.18414810e-02 0.00000000e+00)
59              	(1.01149605e+00 4.18412437e-02 0.00000000e+00)
60              	(1.01151758e+00 4.18410181e-02 0.00000000e+00)
61              	(1.01153922e+00 4.18408257e-02 0.00000000e+00)
62              	(1.01155558e+00 4.18405862e-02 0.00000000e+00)
63              	(1.01156192e+00 4.18403299e-02 0.00000000e+00)
64              	(1.01156167e+00 4.18398400e-02 0.00000000e+00)
65              	(1.01155805e+00 4.18383439e-02 0.00000000e+00)
66              	(1.01155111e+00 4.18365451e-02 0.00000000e+00)
67              	(1.01153927e+00 4.18352337e-02 0.00000000e+00)
68              	(1.01152205e+00 4.18347961e-02 0.00000000e+00)
69              	(1.01150585e+00 4.18350478e-02 0.00000000e+00)
70              	(1.01148667e+00 4.18357006e-02 0.00000000e+00)
71              	(1.01146881e+00 4.18364403e-02 0.00000000e+00)
72              	(1.01145839e+00 4.18370440e-02 0.00000000e+00)
73              	(1.01145749e+00 4.18374439e-02 0.00000000e+00)
74              	(1.01146333e+00 4.18376798e-02 0.00000000e+00)
75              	(1.01147376e+00 4.18377771e-02 0.00000000e+00)
76              	(1.01148717e+00 4.18377497e-02 0.00000000e+00)
77              	(1.01150113e+00 4.18376663e-02 0.00000000e+00)
78              	(1.01151149e+00 4.18375250e-02 0.00000000e+00)
79              	(1.01151332e+00 4.18373014e-02 0.00000000e+00)
80              	(1.01150923e+00 4.18367966e-02 0.00000000e+00)
81              	(1.01150217e+00 4.18353154e-02 0.00000000e+00)
82              	(1.01148951e+00 4.18337845e-02 0.00000000e+00)
83              	(1.01147223e+00 4.18327794e-02 0.00000000e+00)
84              	(1.01145863e+00 4.18326417e-02 0.00000000e+00)
85              	(1.01144651e+00 4.18332214e-02 0.00000000e+00)
86              	(1.01143203e+00 4.18342072e-02 0.00000000e+00)
87              	(1.01141828e+00 4.18352182e-02 0.00000000e+00)
88              	(1.01140730e+00 4.18359879e-02 0.00000000e+00)
89              	(1.01140034e+00 4.18365157e-02 0.00000000e+00)
90              	(1.01140052e+00 4.18369154e-02 0.00000000e+00)
91              	(1.01140707e+00 4.18371580e-02 0.00000000e+00)
92              	(1.01141805e+00 4.18371077e-02 0.00000000e+00)
93              	(1.01142509e+00 4.18370581e-02 0.00000000e+00)
94              	(1.01143137e+00 4.18367208e-02 0.00000000e+00)
95              	(1.01143180e+00 4.18358557e-02 0.00000000e+00)
96              	(1.01143530e+00 4.18343089e-02 0.00000000e+00)
97              	(1.01143698e+00 4.18330541e-02 0.00000000e+00)
98              	(1.01143749e+00 4.18323756e-02 0.00000000e+00)
99              	(1.01143203e+00 4.18324993e-02 0.00000000e+00)
100             	(1.01142350e+00 4.18331844e-02 0.00000000e+00)
101             	(1.01141204e+00 4.18341557e-02 0.00000000e+00)
102             	(1.01140205e+00 4.18350531e-02 0.00000000e+00)
103             	(1.01139635e+00 4.18357551e-02 0.00000000e+00)
104             	(1.01139510e+00 4.18363347e-02 0.00000000e+00)
105             	(1.01139957e+00 4.18367484e-02 0.00000000e+00)
106             	(1.01140452e+00 4.18369664e-02 0.00000000e+00)
107             	(1.01140843e+00 4.18369985e-02 0.00000000e+00)
108             	(1.01140693e+00 4.18367990e-02 0.00000000e+00)
109             	(1.01140979e+00 4.18354910e-02 0.00000000e+00)
110             	(1.01141127e+00 4.18340118e-02 0.00000000e+00)
111             	(1.01141801e+00 4.18328954e-02 0.00000000e+00)
112             	(1.01142019e+00 4.18325285e-02 0.00000000e+00)
113             	(1.01141858e+00 4.18327854e-02 0.00000000e+00)
114             	(1.01141376e+00 4.18334592e-02 0.00000000e+00)
115             	(1.01140817e+00 4.18343082e-02 0.00000000e+00)
116             	(1.01140356e+00 4.18350779e-02 0.00000000e+00)
117             	(1.01140164e+00 4.18356643e-02 0.00000000e+00)
118             	(1.01140645e+00 4.18360563e-02 0.00000000e+00)
119             	(1.01141763e+00 4.18362919e-02 0.00000000e+00)
120             	(1.01143162e+00 4.18364244e-02 0.00000000e+00)
121             	(1.01144671e+00 4.18364767e-02 0.00000000e+00)
122             	(1.01145967e+00 4.18364578e-02 0.00000000e+00)
123             	(1.01146767e+00 4.18363379e-02 0.00000000e+00)
124             	(1.01146689e+00 4.18359141e-02 0.00000000e+00)
125             	(1.01146509e+00 4.18344802e-02 0.00000000e+00)
126             	(1.01146095e+00 4.18330333e-02 0.00000000e+00)
127             	(1.01145502e+00 4.18321194e-02 0.00000000e+00)
128             	(1.01144531e+00 4.18320645e-02 0.00000000e+00)
129             	(1.01143506e+00 4.18326790e-02 0.00000000e+00)
130             	(1.01142204e+00 4.18336871e-02 0.00000000e+00)
131             	(1.01140937e+00 4.18347281e-02 0.00000000e+00)
132             	(1.01139946e+00 4.18355446e-02 0.00000000e+00)
133             	(1.01139358e+00 4.18361107e-02 0.00000000e+00)
134             	(1.01139623e+00 4.18364630e-02 0.00000000e+00)
135             	(1.01140643e+00 4.18366471e-02 0.00000000e+00)
136             	(1.01141868e+00 4.18367554e-02 0.00000000e+00)
137             	(1.01143491e+00 4.18365511e-02 0.00000000e+00)
138             	(1.01144229e+00 4.18365539e-02 0.00000000e+00)
139             	(1.01144827e+00 4.18361123e-02 0.00000000e+00)
140             	(1.01144712e+00 4.18348835e-02 0.00000000e+00)
141             	(1.01144860e+00 4.18333805e-02 0.00000000e+00)
142             	(1.01144642e+00 4.18323418e-02 0.00000000e+00)
143             	(1.01144182e+00 4.18319956e-02 0.00000000e+00)
144             	(1.01143303e+00 4.18324486e-02 0.00000000e+00)
145             	(1.01142214e+00 4.18333653e-02 0.00000000e+00)
146             	(1.01140978e+00 4.18344398e-02 0.00000000e+00)
147             	(1.01139958e+00 4.18353167e-02 0.00000000e+00)
