# Region        : all region0
# Cells         : 7480
# Volume        : 2.33333000e+00
# Time          	min(p)	min(k)	min(omega)	min(nut)
1               	7.65735656e-05	5.01106342e-05	1.79551860e+02	7.37368561e-08
2               	2.62775826e-05	2.51938575e-05	6.19650665e+01	7.97975485e-08
3               	9.05068981e-06	1.61970254e-05	3.24700584e+01	6.34058987e-08
4               	-8.90590343e-06	1.18684399e-05	2.17554160e+01	4.68444136e-08
5               	-1.60322004e-03	9.38018012e-06	1.65963395e+01	3.46345791e-08
6               	-4.23229780e-03	7.77529220e-06	1.36497975e+01	2.62769299e-08
7               	-6.09492899e-03	6.65406553e-06	1.17762597e+01	2.06054541e-08
8               	-7.17485151e-03	5.82335782e-06	1.04962117e+01	1.66995054e-08
9               	-7.32779481e-03	5.17954406e-06	9.57611577e+00	1.39473545e-08
10              	-7.30105812e-03	4.66254438e-06	8.88958464e+00	1.19615482e-08
11              	-6.77100838e-03	4.23541527e-06	8.36256326e+00	1.04977563e-08
12              	-5.98337687e-03	3.87440493e-06	7.94888521e+00	9.40030510e-09
13              	-5.15165550e-03	3.56373266e-06	7.61828350e+00	8.56868474e-09
14              	-4.33205802e-03	3.29268071e-06	7.35005591e+00	7.93712766e-09
15              	-3.55775295e-03	3.05388024e-06	7.12950396e+00	7.46197827e-09
16              	-2.97461605e-03	2.84223406e-06	6.94582657e+00	7.11392927e-09
17              	-2.52054302e-03	2.65418630e-06	6.79083694e+00	6.87288323e-09
18              	-2.16712125e-03	2.48717449e-06	6.65815906e+00	6.72482913e-09
19              	-1.99989189e-03	2.33919307e-06	6.54273465e+00	6.65953218e-09
20              	-1.83431659e-03	2.20843744e-06	6.44053025e+00	6.66910512e-09
21              	-1.77120394e-03	2.09302858e-06	6.34835619e+00	6.74671757e-09
22              	-1.69328168e-03	1.99084583e-06	6.26377613e+00	6.88426729e-09
23              	-1.61470886e-03	1.89947622e-06	6.18503822e+00	7.07212344e-09
24              	-1.55259097e-03	1.81629053e-06	6.11102073e+00	7.29936204e-09
25              	-1.46975411e-03	1.73862532e-06	6.04116220e+00	7.55553094e-09
26              	-1.41600419e-03	1.66403082e-06	5.97536436e+00	7.83163563e-09
27              	-1.37838269e-03	1.59052981e-06	5.91387061e+00	8.12043113e-09
28              	-1.34777567e-03	1.51682699e-06	5.85712410e+00	8.41633984e-09
29              	-1.30692708e-03	1.44242117e-06	5.80562491e+00	8.71515704e-09
30              	-1.26715589e-03	1.36759419e-06	5.75980169e+00	9.01374205e-09
31              	-1.22199813e-03	1.29328066e-06	5.71991473e+00	9.30977615e-09
32              	-1.19334888e-03	1.22084899e-06	5.68600004e+00	9.60152853e-09
33              	-1.18812345e-03	1.15184153e-06	5.65785865e+00	9.88774556e-09
34              	-1.18837066e-03	1.08772447e-06	5.63508329e+00	1.01674671e-08
35              	-1.25348478e-03	1.02968883e-06	5.61711031e+00	1.04400356e-08
36              	-1.25656457e-03	9.78526965e-07	5.60328515e+00	1.07050201e-08
37              	-1.22140304e-03	9.34588036e-07	5.59291906e+00	1.09622323e-08
38              	-1.11651494e-03	8.97803794e-07	5.58534390e+00	1.12115380e-08
39              	-1.05142948e-03	8.67761710e-07	5.57994589e+00	1.14529910e-08
40              	-1.01869316e-03	8.43804176e-07	5.57619164e+00	1.16865357e-08
41              	-1.00613801e-03	8.25131927e-07	5.57364145e+00	1.19123107e-08
42              	-9.95044856e-04	8.10895997e-07	5.57194941e+00	1.21304050e-08
43              	-9.77980458e-04	8.00269572e-07	5.57085387e+00	1.23409136e-08
44              	-9.56527055e-04	7.92497153e-07	5.57016362e+00	1.25439474e-08
45              	-9.66616706e-04	7.86922423e-07	5.56974294e+00	1.27395550e-08
46              	-9.89680004e-04	7.82998811e-07	5.56949842e+00	1.29279111e-08
47              	-1.04054027e-03	7.80287344e-07	5.56936715e+00	1.31092059e-08
48              	-9.94898949e-04	7.78446824e-07	5.56930934e+00	1.32836338e-08
49              	-9.46742483e-04	7.77219176e-07	5.56929746e+00	1.34514276e-08
50              	-8.75241592e-04	7.76414582e-07	5.56931471e+00	1.36128039e-08
51              	-8.20278443e-04	7.75896213e-07	5.56934702e+00	1.37680172e-08
52              	-7.91759877e-04	7.75567567e-07	5.56938247e+00	1.39172665e-08
53              	-7.80172318e-04	7.75361630e-07	5.56940855e+00	1.40608104e-08
54              	-7.62929211e-04	7.75232825e-07	5.56941427e+00	1.41989116e-08
55              	-7.62479503e-04	7.75150888e-07	5.56939194e+00	1.43318019e-08
56              	-7.74900951e-04	7.75096469e-07	5.56933940e+00	1.44596770e-08
57              	-7.86866428e-04	7.75057775e-07	5.56925989e+00	1.45827369e-08
58              	-7.98291130e-04	7.75028140e-07	5.56916135e+00	1.47011758e-08
59              	-8.08977378e-04	7.75004304e-07	5.56905534e+00	1.48151846e-08
60              	-8.19363201e-04	7.74985038e-07	5.56895459e+00	1.49249451e-08
61              	-8.29382271e-04	7.74970197e-07	5.56887110e+00	1.50306140e-08
62              	-8.39146757e-04	7.74959966e-07	5.56881383e+00	1.51323525e-08
63              	-9.18801041e-04	7.74954588e-07	5.56878887e+00	1.52303176e-08
64              	-8.62529480e-04	7.74954247e-07	5.56879963e+00	1.53246681e-08
65              	-8.64441802e-04	7.74958149e-07	5.56884060e+00	1.54155504e-08
66              	-8.71906213e-04	7.74964647e-07	5.56889900e+00	1.55030678e-08
67              	-8.79187454e-04	7.74971803e-07	5.56895980e+00	1.55873287e-08
68              	-8.85812109e-04	7.74977731e-07	5.56900867e+00	1.56684421e-08
69              	-8.91683213e-04	7.74980918e-07	5.56903464e+00	1.57465288e-08
70              	-8.96691911e-04	7.74980731e-07	5.56903370e+00	1.58216940e-08
71              	-9.00957204e-04	7.74977355e-07	5.56900814e+00	1.58940259e-08
72              	-9.04647733e-04	7.74971571e-07	5.56896445e+00	1.59635952e-08
73              	-9.07925711e-04	7.74964363e-07	5.56891037e+00	1.60304657e-08
74              	-9.11062719e-04	7.74956572e-07	5.56885227e+00	1.60947027e-08
75              	-9.13951434e-04	7.74948895e-07	5.56879538e+00	1.61563768e-08
76              	-9.16551891e-04	7.74941917e-07	5.56874417e+00	1.62155749e-08
77              	-9.18838935e-04	7.74936317e-07	5.56870389e+00	1.62723849e-08
78              	-9.20914498e-04	7.74932936e-07	5.56868118e+00	1.63268898e-08
79              	-9.50130045e-04	7.74932604e-07	5.56868249e+00	1.63791661e-08
80              	-9.23900247e-04	7.74936178e-07	5.56871409e+00	1.64292883e-08
81              	-9.25132449e-04	7.74943294e-07	5.56877244e+00	1.64773380e-08
82              	-9.26308810e-04	7.74952637e-07	5.56884660e+00	1.65233558e-08
83              	-9.27390808e-04	7.74962598e-07	5.56892357e+00	1.65674109e-08
84              	-9.27866218e-04	7.74971654e-07	5.56899142e+00	1.66095804e-08
85              	-9.28269802e-04	7.74978170e-07	5.56903799e+00	1.66499469e-08
86              	-9.28066048e-04	7.74981242e-07	5.56905707e+00	1.66885621e-08
87              	-9.27527177e-04	7.74980776e-07	5.56904884e+00	1.67254934e-08
88              	-9.26790182e-04	7.74977401e-07	5.56901880e+00	1.67607848e-08
