# Region        : all region0
# Cells         : 7480
# Volume        : 2.33333000e+00
# Time          	min(U)
1               	(2.87366723e-01 -4.62127743e-19 0.00000000e+00)
2               	(1.43001734e-01 -3.65129573e-07 0.00000000e+00)
3               	(1.00345425e-01 -5.05347946e-05 0.00000000e+00)
4               	(8.10177021e-02 -3.93137677e-04 0.00000000e+00)
5               	(6.97025611e-02 -1.12189113e-03 0.00000000e+00)
6               	(6.20900708e-02 -1.71561513e-03 0.00000000e+00)
7               	(5.65582695e-02 -2.70278783e-03 0.00000000e+00)
8               	(5.23442442e-02 -3.06274888e-03 0.00000000e+00)
9               	(4.90368213e-02 -1.08125159e-03 0.00000000e+00)
10              	(4.63951609e-02 -2.61456013e-03 0.00000000e+00)
11              	(4.42667251e-02 -1.18132222e-03 0.00000000e+00)
12              	(4.25509984e-02 -5.60565930e-04 0.00000000e+00)
13              	(4.11815956e-02 -4.80181235e-04 0.00000000e+00)
14              	(4.01144528e-02 -5.06726072e-04 0.00000000e+00)
15              	(3.93194529e-02 -5.06040093e-04 0.00000000e+00)
16              	(3.87755694e-02 -5.03379434e-04 0.00000000e+00)
17              	(3.84654827e-02 -5.29061088e-04 0.00000000e+00)
18              	(3.83740440e-02 -5.34034295e-04 0.00000000e+00)
19              	(3.84846795e-02 -5.46069834e-04 0.00000000e+00)
20              	(3.87791095e-02 -5.39708974e-04 0.00000000e+00)
21              	(3.92348015e-02 -5.35083335e-04 0.00000000e+00)
22              	(3.98149273e-02 -5.20087636e-04 0.00000000e+00)
23              	(4.04785177e-02 -5.10310026e-04 0.00000000e+00)
24              	(4.11850195e-02 -5.02819376e-04 0.00000000e+00)
25              	(4.19062836e-02 -4.89799420e-04 0.00000000e+00)
26              	(4.26249987e-02 -4.67724845e-04 0.00000000e+00)
27              	(4.33312839e-02 -4.48607230e-04 0.00000000e+00)
28              	(4.40199247e-02 -4.31118482e-04 0.00000000e+00)
29              	(4.46881348e-02 -4.16901024e-04 0.00000000e+00)
30              	(4.53344249e-02 -4.05195034e-04 0.00000000e+00)
31              	(4.59581377e-02 -3.95699124e-04 0.00000000e+00)
32              	(4.65589000e-02 -3.88923133e-04 0.00000000e+00)
33              	(4.71368675e-02 -3.84734711e-04 0.00000000e+00)
34              	(4.76920090e-02 -3.82799703e-04 0.00000000e+00)
35              	(4.82248610e-02 -3.82743207e-04 0.00000000e+00)
36              	(4.87360532e-02 -3.83986620e-04 0.00000000e+00)
37              	(4.92266980e-02 -3.86719506e-04 0.00000000e+00)
38              	(4.96972345e-02 -3.90321643e-04 0.00000000e+00)
39              	(5.01489394e-02 -3.94313369e-04 0.00000000e+00)
40              	(5.05817209e-02 -3.98113349e-04 0.00000000e+00)
41              	(5.09969239e-02 -4.01931293e-04 0.00000000e+00)
42              	(5.13949155e-02 -4.05719003e-04 0.00000000e+00)
43              	(5.17762312e-02 -4.09420926e-04 0.00000000e+00)
44              	(5.21414264e-02 -4.12979995e-04 0.00000000e+00)
45              	(5.24906353e-02 -4.16343400e-04 0.00000000e+00)
46              	(5.28248516e-02 -4.19304584e-04 0.00000000e+00)
47              	(5.31447147e-02 -4.21930325e-04 0.00000000e+00)
48              	(5.34507991e-02 -4.24220478e-04 0.00000000e+00)
49              	(5.37438490e-02 -4.26624712e-04 0.00000000e+00)
50              	(5.40243765e-02 -4.28650890e-04 0.00000000e+00)
51              	(5.42931294e-02 -4.29927945e-04 0.00000000e+00)
52              	(5.45504311e-02 -4.30807113e-04 0.00000000e+00)
53              	(5.47970590e-02 -4.31481842e-04 0.00000000e+00)
54              	(5.50336209e-02 -4.32006616e-04 0.00000000e+00)
55              	(5.52605533e-02 -4.32439725e-04 0.00000000e+00)
56              	(5.54781918e-02 -4.32745976e-04 0.00000000e+00)
57              	(5.56869950e-02 -4.32965138e-04 0.00000000e+00)
58              	(5.58873737e-02 -4.33132727e-04 0.00000000e+00)
59              	(5.60797320e-02 -4.33155578e-04 0.00000000e+00)
60              	(5.62644387e-02 -4.33031079e-04 0.00000000e+00)
61              	(5.64417595e-02 -4.32833402e-04 0.00000000e+00)
62              	(5.66120511e-02 -4.32700962e-04 0.00000000e+00)
63              	(5.67756301e-02 -4.32531619e-04 0.00000000e+00)
64              	(5.69328334e-02 -4.32267605e-04 0.00000000e+00)
65              	(5.70839327e-02 -4.32803869e-04 0.00000000e+00)
66              	(5.72290277e-02 -4.32673291e-04 0.00000000e+00)
67              	(5.73683593e-02 -4.32020234e-04 0.00000000e+00)
68              	(5.75021536e-02 -4.31302255e-04 0.00000000e+00)
69              	(5.76306913e-02 -4.30936638e-04 0.00000000e+00)
70              	(5.77541441e-02 -4.30775727e-04 0.00000000e+00)
71              	(5.78726496e-02 -4.30740179e-04 0.00000000e+00)
72              	(5.79863096e-02 -4.30756536e-04 0.00000000e+00)
73              	(5.80952404e-02 -4.30734821e-04 0.00000000e+00)
74              	(5.81995821e-02 -4.30635191e-04 0.00000000e+00)
75              	(5.82994935e-02 -4.30523563e-04 0.00000000e+00)
76              	(5.83951911e-02 -4.30446572e-04 0.00000000e+00)
77              	(5.84868502e-02 -4.30340443e-04 0.00000000e+00)
78              	(5.85746207e-02 -4.30262378e-04 0.00000000e+00)
79              	(5.86586324e-02 -4.30285104e-04 0.00000000e+00)
80              	(5.87390229e-02 -4.30191589e-04 0.00000000e+00)
81              	(5.88159717e-02 -4.30963496e-04 0.00000000e+00)
82              	(5.88894440e-02 -4.30790885e-04 0.00000000e+00)
83              	(5.89596483e-02 -4.30373812e-04 0.00000000e+00)
84              	(5.90267478e-02 -4.29901297e-04 0.00000000e+00)
