# Region        : all region0
# Cells         : 13056
# Volume        : 2.33333000e+00
# Time          	max(p)	max(k)	max(omega)	max(nut)
1               	1.03198562e-02	4.87738318e-04	1.19443446e+09	3.04394071e-07
2               	7.54913473e-03	4.98122209e-04	1.19443446e+09	4.11014225e-07
3               	6.36395568e-03	3.78186588e-04	1.19443446e+09	4.83904661e-07
4               	5.90005543e-03	2.67619068e-04	1.19443446e+09	5.22193316e-07
5               	5.81589227e-03	1.89310350e-04	1.19443446e+09	5.47250291e-07
6               	5.94895302e-03	1.49953368e-04	1.19443446e+09	5.61446742e-07
7               	6.22432876e-03	1.49944038e-04	1.19443446e+09	5.67502804e-07
8               	6.60578043e-03	1.49934149e-04	1.19443446e+09	5.65918164e-07
9               	7.07524285e-03	1.49923664e-04	1.19443446e+09	5.56743100e-07
10              	7.62353470e-03	1.49912592e-04	1.19443446e+09	5.42333035e-07
11              	8.24647567e-03	1.49900963e-04	1.19443446e+09	5.23184885e-07
12              	8.94107040e-03	1.49888631e-04	1.19443446e+09	5.00553389e-07
13              	9.70439474e-03	1.49875554e-04	1.19443446e+09	4.76333582e-07
14              	1.05329230e-02	1.49861694e-04	1.19443446e+09	4.52205158e-07
15              	1.14221881e-02	1.49847009e-04	1.19443446e+09	4.29271516e-07
16              	1.23671579e-02	1.49831460e-04	1.19443446e+09	4.08090313e-07
17              	1.33628968e-02	1.49815009e-04	1.19443446e+09	3.88838653e-07
18              	1.44039305e-02	1.49797615e-04	1.19443446e+09	3.71533110e-07
19              	1.54848322e-02	1.49779244e-04	1.19443446e+09	3.56163336e-07
20              	1.66003037e-02	1.49759858e-04	1.19443446e+09	3.42462001e-07
21              	1.77440253e-02	1.49739426e-04	1.19443446e+09	3.30326032e-07
22              	1.89096793e-02	1.49717914e-04	1.19443446e+09	3.19678091e-07
23              	2.00923385e-02	1.49695296e-04	1.19443446e+09	3.14295354e-07
24              	2.12877596e-02	1.49671543e-04	1.19443446e+09	3.11510156e-07
25              	2.24910544e-02	1.49646633e-04	1.19443446e+09	3.08664227e-07
26              	2.36978910e-02	1.49620545e-04	1.19443446e+09	3.05690969e-07
27              	2.49046846e-02	1.49593261e-04	1.19443446e+09	3.02546511e-07
28              	2.61080986e-02	1.49564767e-04	1.19443446e+09	2.99207373e-07
29              	2.73056402e-02	1.49535052e-04	1.19443446e+09	2.95578214e-07
30              	2.84947506e-02	1.49504107e-04	1.19443446e+09	2.91839575e-07
31              	2.96741939e-02	1.49471928e-04	1.19443446e+09	2.88440035e-07
32              	3.08416304e-02	1.49438511e-04	1.19443446e+09	2.85394934e-07
33              	3.19958459e-02	1.49403858e-04	1.19443446e+09	2.82686869e-07
34              	3.31343867e-02	1.49367972e-04	1.19443446e+09	2.80141419e-07
35              	3.42572570e-02	1.49330858e-04	1.19443446e+09	2.76652368e-07
36              	3.53640021e-02	1.49292526e-04	1.19443446e+09	2.71525138e-07
37              	3.64530281e-02	1.49252986e-04	1.19443446e+09	2.64473450e-07
38              	3.75230055e-02	1.49212251e-04	1.19443446e+09	2.55397888e-07
39              	3.85746860e-02	1.49170336e-04	1.19443446e+09	2.44718847e-07
40              	3.96076304e-02	1.49127257e-04	1.19443446e+09	2.32515285e-07
41              	4.06215803e-02	1.49083034e-04	1.19443446e+09	2.19289273e-07
42              	4.16169148e-02	1.49037685e-04	1.19443446e+09	2.07326363e-07
43              	4.25929407e-02	1.48991232e-04	1.19443446e+09	2.06900673e-07
44              	4.35489852e-02	1.48943698e-04	1.19443446e+09	2.06477253e-07
45              	4.44856351e-02	1.48895105e-04	1.19443446e+09	2.06152777e-07
46              	4.54029912e-02	1.48845477e-04	1.19443446e+09	2.05869944e-07
47              	4.63004245e-02	1.48794840e-04	1.19443446e+09	2.05588988e-07
48              	4.71777519e-02	1.48743218e-04	1.19443446e+09	2.05308474e-07
49              	4.80355475e-02	1.48690639e-04	1.19443446e+09	2.05028527e-07
50              	4.88743317e-02	1.48637127e-04	1.19443446e+09	2.04752716e-07
51              	4.96950936e-02	1.48582709e-04	1.19443446e+09	2.04481242e-07
52              	5.04976114e-02	1.48527412e-04	1.19443446e+09	2.04212778e-07
53              	5.12824145e-02	1.48471262e-04	1.19443446e+09	2.03945592e-07
54              	5.20494568e-02	1.48414286e-04	1.19443446e+09	2.03677740e-07
55              	5.27991915e-02	1.48356511e-04	1.19443446e+09	2.03400963e-07
56              	5.35317379e-02	1.48297962e-04	1.19443446e+09	2.03112103e-07
57              	5.42473868e-02	1.48238666e-04	1.19443446e+09	2.02813519e-07
58              	5.49475081e-02	1.48178648e-04	1.19443446e+09	2.02509611e-07
59              	5.56323682e-02	1.48117934e-04	1.19443446e+09	2.02209991e-07
60              	5.63024073e-02	1.48056548e-04	1.19443446e+09	2.01939649e-07
61              	5.69575273e-02	1.47994517e-04	1.19443446e+09	2.01757570e-07
62              	5.75984754e-02	1.47931862e-04	1.19443446e+09	2.01578066e-07
63              	5.82252734e-02	1.47868609e-04	1.19443446e+09	2.01400212e-07
64              	5.88386474e-02	1.47804780e-04	1.19443446e+09	2.01223459e-07
65              	5.94385803e-02	1.47740399e-04	1.19443446e+09	2.01047227e-07
66              	6.00248372e-02	1.47675486e-04	1.19443446e+09	2.00871064e-07
67              	6.05967934e-02	1.47610064e-04	1.19443446e+09	2.00694609e-07
68              	6.11534079e-02	1.47544155e-04	1.19443446e+09	2.00517431e-07
69              	6.16942680e-02	1.47477777e-04	1.19443446e+09	2.00339301e-07
70              	6.22198297e-02	1.47410952e-04	1.19443446e+09	2.00160182e-07
71              	6.27308353e-02	1.47343698e-04	1.19443446e+09	1.99980262e-07
72              	6.32286024e-02	1.47276035e-04	1.19443446e+09	1.99887391e-07
73              	6.37137902e-02	1.47207981e-04	1.19443446e+09	1.99944526e-07
74              	6.41875246e-02	1.47139553e-04	1.19443446e+09	2.00009377e-07
75              	6.46502649e-02	1.47070768e-04	1.19443446e+09	2.00075747e-07
76              	6.51017920e-02	1.47001644e-04	1.19443446e+09	2.00142114e-07
77              	6.55419734e-02	1.46932196e-04	1.19443446e+09	2.00208237e-07
78              	6.59709018e-02	1.46862440e-04	1.19443446e+09	2.00273971e-07
79              	6.63877978e-02	1.46792391e-04	1.19443446e+09	2.20046010e-07
80              	6.67927027e-02	1.46722064e-04	1.19443446e+09	2.51441391e-07
81              	6.71849287e-02	1.46651472e-04	1.19443446e+09	2.89204189e-07
82              	6.75647034e-02	1.46580629e-04	1.19443446e+09	3.29765120e-07
83              	6.79328663e-02	1.46509549e-04	1.19443446e+09	3.74678510e-07
84              	6.82899557e-02	1.46438244e-04	1.19443446e+09	4.26608350e-07
85              	6.86367393e-02	1.46366725e-04	1.19443446e+09	4.86643723e-07
86              	6.89736015e-02	1.46295006e-04	1.19443446e+09	5.56401168e-07
87              	6.93011582e-02	1.46223097e-04	1.19443446e+09	6.37666940e-07
88              	6.96200898e-02	1.46151009e-04	1.19443446e+09	7.32376155e-07
89              	6.99308147e-02	1.46078753e-04	1.19443446e+09	8.42764511e-07
90              	7.02337236e-02	1.46006339e-04	1.19443446e+09	9.71456939e-07
91              	7.05290500e-02	1.45933777e-04	1.19443446e+09	1.12145124e-06
92              	7.08169533e-02	1.45861076e-04	1.19443446e+09	1.29619419e-06
93              	7.10978651e-02	1.45788245e-04	1.19443446e+09	1.49963808e-06
94              	7.13720124e-02	1.45715292e-04	1.19443446e+09	1.73628439e-06
95              	7.16395284e-02	1.45642227e-04	1.19443446e+09	2.01116974e-06
96              	7.19005441e-02	1.50080738e-04	1.19443446e+09	2.32989620e-06
97              	7.21547705e-02	1.76098164e-04	1.19443446e+09	2.69861374e-06
98              	7.24026003e-02	2.06444643e-04	1.19443446e+09	3.12402302e-06
99              	7.26441471e-02	2.41702772e-04	1.19443446e+09	3.61323683e-06
100             	7.28796586e-02	2.82477408e-04	1.19443446e+09	4.17366442e-06
101             	7.31093264e-02	3.29376700e-04	1.19443446e+09	4.81281117e-06
102             	7.33333592e-02	3.82985711e-04	1.19443446e+09	5.53798133e-06
103             	7.35517670e-02	4.43834611e-04	1.19443446e+09	6.35594578e-06
104             	7.37646737e-02	5.12361048e-04	1.19443446e+09	7.27245755e-06
105             	7.39718326e-02	5.88870465e-04	1.19443446e+09	8.29174849e-06
106             	7.41736262e-02	6.73502689e-04	1.19443446e+09	9.42688512e-06
107             	7.43700952e-02	7.66213353e-04	1.19443446e+09	1.06813031e-05
108             	7.45612970e-02	8.66735175e-04	1.19443446e+09	1.20531055e-05
109             	7.47472609e-02	9.74594668e-04	1.19443446e+09	1.35463059e-05
110             	7.49282239e-02	1.08915297e-03	1.19443446e+09	1.51601088e-05
111             	7.51044060e-02	1.20961089e-03	1.19443446e+09	1.68883975e-05
112             	7.52757266e-02	1.33503579e-03	1.19443446e+09	1.87240952e-05
113             	7.54425460e-02	1.46443431e-03	1.19443446e+09	2.06576957e-05
114             	7.56051147e-02	1.59677023e-03	1.19443446e+09	2.26766638e-05
115             	7.57637024e-02	1.73101228e-03	1.19443446e+09	2.46786497e-05
116             	7.59184562e-02	1.86384430e-03	1.19443446e+09	2.59758888e-05
117             	7.60695692e-02	1.98856131e-03	1.19443446e+09	2.76833312e-05
118             	7.62171736e-02	2.10627260e-03	1.19443446e+09	2.90641212e-05
119             	7.63614724e-02	2.21836680e-03	1.19443446e+09	3.03983465e-05
120             	7.65027513e-02	2.32558878e-03	1.19443446e+09	3.16967807e-05
121             	7.66412502e-02	2.42846906e-03	1.19443446e+09	3.29734621e-05
122             	7.67770841e-02	2.52794702e-03	1.19443446e+09	3.42436544e-05
123             	7.69103381e-02	2.62536930e-03	1.19443446e+09	3.55099850e-05
124             	7.70410644e-02	2.72104392e-03	1.19443446e+09	3.67736989e-05
125             	7.71693014e-02	2.81426978e-03	1.19443446e+09	3.80384654e-05
126             	7.72948649e-02	2.90552555e-03	1.19443446e+09	3.93044913e-05
