# Region        : all region0
# Cells         : 13056
# Volume        : 2.33333000e+00
# Time          	max(U)
1               	(1.00018390e+00 5.65733831e-04 1.38022012e-15)
2               	(1.00034153e+00 9.55588700e-04 7.76026204e-16)
3               	(1.00047513e+00 1.32219298e-03 5.52876909e-16)
4               	(1.00065832e+00 1.69790186e-03 3.97855125e-16)
5               	(1.00078979e+00 2.09980767e-03 3.00246757e-16)
6               	(1.00090556e+00 2.53742650e-03 2.38461397e-16)
7               	(1.00111590e+00 3.01729353e-03 1.97595643e-16)
8               	(1.00130616e+00 3.54498775e-03 1.68942005e-16)
9               	(1.00140406e+00 4.12269947e-03 1.47606924e-16)
10              	(1.00165835e+00 4.75273836e-03 1.30877623e-16)
11              	(1.00188011e+00 5.43593885e-03 1.17236920e-16)
12              	(1.00211060e+00 6.16964384e-03 1.05808777e-16)
13              	(1.00235480e+00 6.95133598e-03 9.60598276e-17)
14              	(1.00260745e+00 7.78014025e-03 8.76431381e-17)
15              	(1.00281744e+00 8.64707637e-03 8.03164880e-17)
16              	(1.00304211e+00 9.54687546e-03 7.38998091e-17)
17              	(1.00329627e+00 1.04827003e-02 6.82526849e-17)
18              	(1.00354851e+00 1.14428111e-02 6.32619090e-17)
19              	(1.00379713e+00 1.24211434e-02 5.88342651e-17)
20              	(1.00403870e+00 1.34126302e-02 5.48919409e-17)
21              	(1.00427215e+00 1.44128994e-02 5.13694413e-17)
22              	(1.00449031e+00 1.54173053e-02 4.82113212e-17)
23              	(1.00469176e+00 1.64281376e-02 4.53704532e-17)
24              	(1.00488206e+00 1.74402792e-02 4.50260221e-17)
25              	(1.00505994e+00 1.84479557e-02 4.68410587e-17)
26              	(1.00522530e+00 1.94489236e-02 4.86749204e-17)
27              	(1.00537430e+00 2.04407260e-02 5.05027629e-17)
28              	(1.00551479e+00 2.14215407e-02 5.23325624e-17)
29              	(1.00564689e+00 2.23900465e-02 5.41725183e-17)
30              	(1.00576618e+00 2.33396233e-02 5.60185277e-17)
31              	(1.00587203e+00 2.42732744e-02 5.78230104e-17)
32              	(1.00596744e+00 2.51919753e-02 5.95911744e-17)
33              	(1.00605001e+00 2.60933538e-02 6.13302043e-17)
34              	(1.00612141e+00 2.69768341e-02 6.30798979e-17)
35              	(1.00618777e+00 2.78412958e-02 6.48151645e-17)
36              	(1.00625002e+00 2.86869345e-02 6.65403797e-17)
37              	(1.00630531e+00 2.95152001e-02 6.82476807e-17)
38              	(1.00635324e+00 3.03319722e-02 6.99275544e-17)
39              	(1.00639010e+00 3.11310908e-02 7.15262882e-17)
40              	(1.00642937e+00 3.19117292e-02 7.31253050e-17)
41              	(1.00644835e+00 3.26740880e-02 7.45830935e-17)
42              	(1.00645689e+00 3.34177220e-02 7.60382793e-17)
43              	(1.00649865e+00 3.41436798e-02 7.74547312e-17)
44              	(1.00656136e+00 3.48514098e-02 7.88324277e-17)
45              	(1.00662192e+00 3.55407458e-02 8.02001656e-17)
46              	(1.00667002e+00 3.62119320e-02 8.15562102e-17)
47              	(1.00671103e+00 3.68650063e-02 8.29010137e-17)
48              	(1.00674932e+00 3.75004809e-02 8.42060149e-17)
49              	(1.00678977e+00 3.81188865e-02 8.54502349e-17)
50              	(1.00682771e+00 3.87206583e-02 8.65740818e-17)
51              	(1.00686031e+00 3.93056545e-02 8.77668406e-17)
52              	(1.00689081e+00 3.98745153e-02 8.89191064e-17)
