# Region        : all region0
# Cells         : 13056
# Volume        : 2.33333000e+00
# Time          	min(p)	min(k)	min(omega)	min(nut)
1               	2.52794914e-07	5.54941986e-05	1.91864040e+02	1.42594108e-13
2               	-6.02447106e-05	2.59642429e-05	7.31764735e+01	3.95065203e-13
3               	-2.78101362e-04	1.65263922e-05	4.00828349e+01	3.14091224e-13
4               	-5.37290087e-04	1.11969923e-05	2.67456043e+01	2.23806265e-13
5               	-8.33626410e-04	7.66622129e-06	1.98632431e+01	1.58238986e-13
6               	-1.16192677e-03	5.36902432e-06	1.57513087e+01	1.14531309e-13
7               	-1.51840331e-03	3.82757309e-06	1.30718836e+01	8.54327257e-14
8               	-1.90302632e-03	2.77849965e-06	1.12385991e+01	6.56596351e-14
9               	-2.31599023e-03	2.05454767e-06	9.95360195e+00	5.18372701e-14
10              	-2.75674530e-03	1.54791675e-06	9.04352038e+00	4.18801659e-14
11              	-3.22487729e-03	1.18768685e-06	8.39473423e+00	3.44016710e-14
12              	-3.71923937e-03	9.28329500e-07	7.92709109e+00	2.86136226e-14
13              	-4.23756206e-03	7.39172323e-07	7.58299966e+00	2.41490345e-14
14              	-4.77711779e-03	5.97596687e-07	7.32199027e+00	2.06279797e-14
15              	-5.33410527e-03	4.89228612e-07	7.11675855e+00	1.77980399e-14
16              	-5.90456409e-03	4.04944845e-07	6.94960162e+00	1.54863979e-14
17              	-6.48421218e-03	3.38547749e-07	6.80930545e+00	1.35717465e-14
18              	-7.06747169e-03	2.85643403e-07	6.68872829e+00	1.19669419e-14
19              	-7.65011639e-03	2.41924526e-07	6.58314623e+00	1.06080250e-14
20              	-8.22754494e-03	2.01036726e-07	6.48923841e+00	9.44711767e-15
21              	-8.79440046e-03	1.68280075e-07	6.40451173e+00	8.44773010e-15
22              	-9.34621552e-03	1.41852887e-07	6.32698455e+00	7.57470681e-15
23              	-9.88024037e-03	1.20461594e-07	6.25500768e+00	6.80521856e-15
24              	-1.03936393e-02	1.03171996e-07	6.18715780e+00	6.13479689e-15
25              	-1.08829049e-02	8.89783757e-08	6.12217462e+00	5.54604978e-15
26              	-1.13467647e-02	7.71712172e-08	6.05893064e+00	5.02665351e-15
27              	-1.17849101e-02	6.72744388e-08	5.99642856e+00	4.56666774e-15
28              	-1.21957367e-02	5.76882257e-08	5.93382129e+00	4.15787664e-15
29              	-1.25791840e-02	4.93699310e-08	5.87044885e+00	3.79339984e-15
