# Region        : all region0
# Cells         : 13056
# Volume        : 2.33333000e+00
# Time          	min(U)
1               	(2.59207499e-01 -7.87575273e-11 -8.24987888e-16)
2               	(1.25685505e-01 -8.82858102e-08 -3.17714209e-17)
3               	(8.64052869e-02 -2.22727853e-07 -3.24284168e-16)
4               	(6.82972710e-02 -4.14157426e-07 -1.33329548e-17)
5               	(5.74027303e-02 -5.93663879e-07 -1.88252818e-17)
6               	(4.98660361e-02 -1.05562916e-06 -2.44834297e-17)
7               	(4.42237477e-02 -1.68621178e-06 -3.02039749e-17)
8               	(3.97830154e-02 -2.47958696e-06 -3.07113712e-17)
9               	(3.61650905e-02 -3.36753714e-06 -2.95487483e-17)
10              	(3.31418869e-02 -4.21492339e-06 -3.29137978e-17)
11              	(3.05662078e-02 -4.89866824e-06 -3.65157504e-17)
12              	(2.83379758e-02 -5.41590816e-06 -4.04181298e-17)
13              	(2.63863146e-02 -5.65515392e-06 -4.43952602e-17)
14              	(2.46593488e-02 -5.60541909e-06 -4.85343890e-17)
15              	(2.31180659e-02 -5.37528184e-06 -5.27620737e-17)
16              	(2.17324515e-02 -4.94161908e-06 -5.69751962e-17)
17              	(2.04789621e-02 -4.34371294e-06 -6.11059619e-17)
18              	(1.93388196e-02 -3.77360625e-06 -6.52170447e-17)
19              	(1.82968274e-02 -3.26897462e-06 -6.93185086e-17)
20              	(1.73405298e-02 -3.07725710e-06 -7.33681932e-17)
21              	(1.64596017e-02 -2.79394308e-06 -7.72521952e-17)
22              	(1.56453976e-02 -2.52145884e-06 -8.10603810e-17)
23              	(1.48906127e-02 -2.17740713e-06 -8.48396800e-17)
24              	(1.41890243e-02 -1.86167700e-06 -8.86167465e-17)
25              	(1.35352926e-02 -1.56774626e-06 -9.23909666e-17)
26              	(1.29248039e-02 -1.28256091e-06 -9.61742092e-17)
27              	(1.23535471e-02 -1.02704358e-06 -9.99096686e-17)
28              	(1.18180154e-02 -8.08053100e-07 -1.03607308e-16)
29              	(1.13151263e-02 -6.26029175e-07 -1.07257374e-16)
30              	(1.08421573e-02 -4.77740347e-07 -1.10939488e-16)
31              	(1.03950620e-02 -3.58484098e-07 -1.14518800e-16)
32              	(9.97275354e-03 -2.63978194e-07 -1.18026345e-16)
33              	(9.57367861e-03 -1.89837933e-07 -1.21408972e-16)
34              	(9.19611338e-03 -1.32196993e-07 -1.24705936e-16)
35              	(8.83841435e-03 -8.78199923e-08 -1.27929128e-16)
36              	(8.49872927e-03 -5.47418789e-08 -1.31093664e-16)
37              	(8.17618953e-03 -3.16753064e-08 -1.34229150e-16)
38              	(7.86963245e-03 -1.52842527e-08 -1.37299893e-16)
39              	(7.57799895e-03 -5.43529010e-09 -1.40226262e-16)
40              	(7.30032199e-03 -7.59790617e-10 -1.43175808e-16)
41              	(7.03571649e-03 -1.46702700e-10 -1.45808519e-16)
42              	(6.78337067e-03 1.08232848e-15 -1.48455418e-16)
43              	(6.54253840e-03 1.89180172e-15 -1.51021808e-16)
44              	(6.31253257e-03 2.79542330e-15 -1.53521678e-16)
45              	(6.09271921e-03 3.84603021e-15 -1.56022542e-16)
46              	(5.88251241e-03 5.07134887e-15 -1.58446886e-16)
47              	(5.68136969e-03 6.50263661e-15 -1.60841698e-16)
48              	(5.48878804e-03 8.01571456e-15 -1.63163434e-16)
49              	(5.30430028e-03 9.58186236e-15 -1.65370919e-16)
50              	(5.12747194e-03 1.14119393e-14 -1.67314680e-16)
51              	(4.95789834e-03 1.35643092e-14 -1.69429041e-16)
52              	(4.79520210e-03 1.60483482e-14 -1.71460336e-16)
53              	(4.63903082e-03 1.89129028e-14 -1.73445554e-16)
54              	(4.48905502e-03 2.21909447e-14 -1.75435985e-16)
55              	(4.34496634e-03 2.57935204e-14 -1.77394928e-16)
56              	(4.20647578e-03 2.94926013e-14 -1.57581269e-16)
57              	(4.07331228e-03 3.36707941e-14 -1.56851770e-16)
58              	(3.94522127e-03 3.83922405e-14 -1.56225225e-16)
59              	(3.82196348e-03 4.36953482e-14 -1.55540181e-16)
60              	(3.70331379e-03 4.95925060e-14 -1.54775460e-16)
61              	(3.58906019e-03 5.61487318e-14 -1.53940657e-16)
62              	(3.47900284e-03 6.33829414e-14 -1.53007595e-16)
63              	(3.37295322e-03 7.13530105e-14 -1.52272386e-16)
64              	(3.27073335e-03 8.00545590e-14 -1.51421815e-16)
65              	(3.17217505e-03 8.95405425e-14 -1.50409624e-16)
66              	(3.07711927e-03 9.98163164e-14 -1.49274407e-16)
67              	(2.98541551e-03 1.10927338e-13 -1.48111597e-16)
68              	(2.89692125e-03 1.22870396e-13 -1.47268314e-16)
69              	(2.81150142e-03 1.35680637e-13 -1.46384007e-16)
70              	(2.72902794e-03 1.49365853e-13 -1.45523350e-16)
71              	(2.64937927e-03 1.63932679e-13 -1.44723239e-16)
72              	(2.57244000e-03 1.79390255e-13 -1.44004568e-16)
73              	(2.49810049e-03 1.95748313e-13 -1.43358110e-16)
74              	(2.42625650e-03 2.13001988e-13 -1.42616885e-16)
