# Region        : all region0
# Cells         : 13056
# Volume        : 2.33333000e+00
# Time          	max(nuTilda)	max(nut)
1               	2.00000933e-06	1.32457449e-11
2               	2.00002756e-06	1.32462279e-11
3               	2.00007300e-06	1.32474318e-11
4               	2.00015868e-06	1.32497019e-11
5               	2.00026576e-06	1.32525393e-11
6               	2.00038968e-06	1.32558238e-11
7               	2.00052844e-06	1.32595020e-11
8               	2.00067646e-06	1.32634269e-11
9               	2.00083821e-06	1.32677167e-11
10              	2.00101382e-06	1.32723753e-11
11              	2.00120067e-06	1.32773331e-11
12              	2.00139891e-06	1.32825951e-11
13              	2.00170518e-06	1.32907272e-11
14              	2.00210855e-06	1.33014436e-11
15              	2.00258334e-06	1.33140653e-11
16              	2.00309185e-06	1.33275936e-11
17              	2.00363270e-06	1.33419936e-11
18              	2.00420376e-06	1.33572104e-11
19              	2.00480331e-06	1.33732008e-11
20              	2.00542950e-06	1.33899166e-11
21              	2.01356164e-06	1.36084278e-11
22              	2.02552609e-06	1.39347620e-11
23              	2.04208351e-06	1.43960090e-11
24              	2.05944409e-06	1.48918298e-11
25              	2.07950102e-06	1.54804824e-11
26              	2.10202719e-06	1.61622251e-11
27              	2.12556499e-06	1.68983880e-11
28              	2.15209178e-06	1.77578648e-11
29              	2.18074860e-06	1.87227594e-11
30              	2.21227493e-06	1.98291305e-11
31              	2.24615144e-06	2.10718778e-11
32              	2.28389252e-06	2.25242086e-11
33              	2.32546431e-06	2.42094748e-11
34              	2.37073542e-06	2.61504243e-11
35              	2.42832778e-06	2.87855985e-11
36              	2.50705028e-06	3.27037601e-11
37              	2.59360981e-06	3.74596282e-11
38              	2.69039776e-06	4.33720697e-11
39              	2.79618840e-06	5.06068185e-11
40              	2.91306714e-06	5.96134512e-11
41              	3.04308342e-06	7.09898856e-11
42              	3.18510413e-06	8.51989223e-11
43              	3.34052723e-06	1.03085561e-10
44              	3.51509961e-06	1.26382257e-10
45              	3.70591267e-06	1.56139795e-10
46              	3.91441134e-06	1.94354884e-10
47              	4.14415239e-06	2.44156593e-10
48              	4.40091415e-06	3.10521819e-10
49              	4.68162340e-06	3.97649268e-10
50              	4.98834693e-06	5.12546359e-10
51              	5.32349970e-06	6.64792140e-10
52              	5.70143918e-06	8.74626302e-10
53              	6.11438403e-06	1.15685745e-09
54              	6.56486021e-06	1.53727441e-09
55              	7.05557851e-06	2.05095169e-09
56              	7.58928065e-06	2.74534229e-09
57              	8.16874114e-06	3.68447643e-09
58              	8.79672027e-06	4.95438369e-09
59              	9.49276645e-06	6.71761207e-09
60              	1.02503211e-05	9.13090917e-09
61              	1.10683382e-05	1.24106243e-08
62              	1.19493186e-05	1.68543006e-08
63              	1.28954476e-05	2.28521235e-08
64              	1.39084756e-05	3.09102885e-08
65              	1.49896296e-05	4.16778747e-08
66              	1.61396379e-05	5.59780048e-08
67              	1.73586506e-05	7.48408198e-08
68              	1.86462221e-05	9.95382513e-08
69              	2.00336302e-05	1.32467270e-07
70              	2.15078094e-05	1.75700706e-07
71              	2.30508632e-05	2.31376174e-07
72              	2.46591952e-05	3.02349269e-07
73              	2.63284366e-05	3.91867210e-07
74              	2.80535950e-05	5.03545963e-07
75              	2.98285722e-05	6.41272316e-07
76              	3.16471194e-05	8.09169007e-07
77              	3.35027962e-05	1.01148982e-06
78              	3.53888381e-05	1.25247019e-06
79              	3.73194010e-05	1.53954966e-06
80              	3.93399088e-05	1.88768213e-06
81              	4.13774484e-05	2.29221328e-06
82              	4.34256055e-05	2.75706742e-06
83              	4.54786855e-05	3.28561040e-06
84              	4.75316280e-05	3.88055767e-06
85              	4.95791903e-05	4.54364973e-06
86              	5.16177119e-05	5.27616045e-06
87              	5.36442098e-05	6.07871464e-06
88              	5.56561986e-05	6.95127770e-06
89              	5.77021205e-05	7.91802894e-06
90              	5.98172631e-05	9.00351374e-06
91              	6.19169729e-05	1.01689103e-05
92              	6.39992759e-05	1.14118978e-05
93              	6.60626264e-05	1.27296037e-05
94              	6.81052559e-05	1.41182871e-05
95              	7.01250610e-05	1.55732737e-05
96              	7.21213821e-05	1.70903500e-05
97              	7.40934336e-05	1.86648377e-05
98              	7.60406034e-05	2.02918965e-05
99              	7.81268812e-05	2.21130234e-05
100             	8.01911766e-05	2.39917845e-05
101             	8.22289118e-05	2.59186490e-05
102             	8.42389174e-05	2.78868457e-05
103             	8.62202199e-05	2.98897341e-05
104             	8.81706023e-05	3.19193854e-05
105             	9.00895454e-05	3.39696570e-05
106             	9.19768902e-05	3.60349975e-05
107             	9.38322943e-05	3.81099074e-05
