# Region        : all region0
# Cells         : 13056
# Volume        : 2.33333000e+00
# Time          	max(U)
1               	(1.00018459e+00 5.67053388e-04 1.38344090e-15)
2               	(1.00034227e+00 9.56557182e-04 5.88077272e-16)
3               	(1.00047577e+00 1.32312049e-03 8.31176067e-18)
4               	(1.00065879e+00 1.69891265e-03 5.73718316e-16)
5               	(1.00078989e+00 2.10095226e-03 2.87367030e-16)
6               	(1.00090568e+00 2.53874310e-03 2.29558609e-16)
7               	(1.00111694e+00 3.01880654e-03 1.91441682e-16)
8               	(1.00132036e+00 3.54673906e-03 1.64656963e-16)
9               	(1.00140392e+00 4.12471498e-03 1.44611587e-16)
10              	(1.00165929e+00 4.75499892e-03 1.28787968e-16)
11              	(1.00188190e+00 5.43850642e-03 1.15794864e-16)
12              	(1.00211171e+00 6.17245192e-03 1.04837980e-16)
13              	(1.00235583e+00 6.95445933e-03 9.54375571e-17)
14              	(1.00260863e+00 7.78350250e-03 8.72821471e-17)
15              	(1.00285826e+00 8.65064283e-03 8.01534662e-17)
16              	(1.00305296e+00 9.55061826e-03 7.38878403e-17)
17              	(1.00330301e+00 1.04867803e-02 6.83563521e-17)
18              	(1.00355550e+00 1.14470479e-02 6.34540679e-17)
19              	(1.00380320e+00 1.24255277e-02 5.90938464e-17)
20              	(1.00404580e+00 1.34171459e-02 5.52024652e-17)
21              	(1.00428014e+00 1.44175247e-02 5.17179391e-17)
22              	(1.00450073e+00 1.54220434e-02 4.85875561e-17)
23              	(1.00470581e+00 1.64330739e-02 4.57663357e-17)
24              	(1.00489693e+00 1.74453301e-02 4.51852851e-17)
25              	(1.00507586e+00 1.84531133e-02 4.70043952e-17)
26              	(1.00523806e+00 1.94541934e-02 4.88305027e-17)
27              	(1.00538829e+00 2.04460821e-02 5.06552997e-17)
28              	(1.00552998e+00 2.14269872e-02 5.24869274e-17)
29              	(1.00566212e+00 2.23955675e-02 5.43220860e-17)
30              	(1.00578166e+00 2.33450810e-02 5.61660787e-17)
31              	(1.00588574e+00 2.42788305e-02 5.79650023e-17)
32              	(1.00597914e+00 2.51976131e-02 5.97220076e-17)
33              	(1.00606181e+00 2.60990248e-02 6.14653428e-17)
34              	(1.00613142e+00 2.69825504e-02 6.32065171e-17)
35              	(1.00619895e+00 2.78470231e-02 6.49496536e-17)
36              	(1.00626223e+00 2.86926902e-02 6.66805771e-17)
37              	(1.00631891e+00 2.95211233e-02 6.83932625e-17)
38              	(1.00636723e+00 3.03380388e-02 7.00794865e-17)
39              	(1.00640580e+00 3.11371019e-02 7.16851671e-17)
40              	(1.00643973e+00 3.19179680e-02 7.32374429e-17)
41              	(1.00643213e+00 3.26803885e-02 7.46983860e-17)
