# Region        : all region0
# Cells         : 13056
# Volume        : 2.33333000e+00
# Time          	min(nuTilda)	min(nut)
1               	7.31663402e-07	2.37244615e-13
2               	3.98195098e-07	2.08130051e-14
3               	2.75771719e-07	4.78795512e-15
4               	2.18618521e-07	1.89103246e-15
5               	1.85627216e-07	9.82919113e-16
6               	1.63564621e-07	5.92527707e-16
7               	1.47374878e-07	3.90521553e-16
8               	1.34769036e-07	2.73093686e-16
9               	1.24553251e-07	1.99237667e-16
10              	1.16034110e-07	1.50069997e-16
11              	1.08775534e-07	1.15898035e-16
12              	1.02486507e-07	9.13309437e-17
13              	9.69637632e-08	7.31794306e-17
14              	9.20601185e-08	5.94616964e-17
15              	8.76658347e-08	4.88959248e-17
16              	8.36970825e-08	4.06249141e-17
17              	8.00884995e-08	3.40589930e-17
18              	7.67882194e-08	2.87825697e-17
19              	7.37544550e-08	2.44965097e-17
20              	7.09530883e-08	2.09814931e-17
21              	6.83559332e-08	1.80740734e-17
22              	6.59394595e-08	1.56506619e-17
23              	6.36838393e-08	1.36165826e-17
24              	6.15722223e-08	1.18984528e-17
25              	5.95901798e-08	1.04387851e-17
26              	5.77252697e-08	9.19210678e-18
27              	5.59666957e-08	8.12212825e-18
28              	5.43050341e-08	7.19965255e-18
29              	5.27320157e-08	6.40101240e-18
30              	5.12403486e-08	5.70688969e-18
31              	4.98235725e-08	5.10141478e-18
32              	4.84759404e-08	4.57147287e-18
33              	4.71923187e-08	4.10616540e-18
34              	4.59664459e-08	3.69585463e-18
35              	4.47955762e-08	3.33343265e-18
36              	4.36759617e-08	3.01245857e-18
37              	4.26042005e-08	2.72747548e-18
38              	4.15772021e-08	2.47384348e-18
39              	4.05921518e-08	2.24760233e-18
40              	3.96464793e-08	2.04535965e-18
41              	3.87378315e-08	1.86419956e-18
42              	3.78640499e-08	1.70160765e-18
43              	3.70231493e-08	1.55540902e-18
44              	3.62133012e-08	1.42371691e-18
45              	3.54328171e-08	1.30489001e-18
46              	3.46801357e-08	1.19749671e-18
47              	3.39538102e-08	1.10028513e-18
48              	3.32524980e-08	1.01215793e-18
49              	3.25749512e-08	9.32151001e-19
50              	3.19200077e-08	8.59415393e-19
51              	3.12865845e-08	7.93201989e-19
52              	3.06736701e-08	7.32848408e-19
53              	3.00803193e-08	6.77767817e-19
54              	2.95056470e-08	6.27439337e-19
55              	2.89488239e-08	5.81399795e-19
56              	2.84090720e-08	5.39236609e-19
57              	2.78856606e-08	5.00581650e-19
58              	2.73779025e-08	4.65105920e-19
59              	2.68851511e-08	4.32514931e-19
60              	2.64067973e-08	4.02544691e-19
61              	2.59422667e-08	3.74958202e-19
62              	2.54910175e-08	3.49542397e-19
63              	2.50525378e-08	3.26105466e-19
64              	2.46263439e-08	3.04474509e-19
65              	2.42119786e-08	2.84493470e-19
66              	2.38090090e-08	2.66021326e-19
67              	2.34170253e-08	2.48930482e-19
68              	2.30356394e-08	2.33105363e-19
69              	2.26644835e-08	2.18441163e-19
70              	2.23032087e-08	2.04842738e-19
71              	2.19514845e-08	1.92223623e-19
72              	2.16089971e-08	1.80505161e-19
73              	2.12754491e-08	1.69615729e-19
74              	2.09505582e-08	1.59490041e-19
75              	2.06340567e-08	1.50068538e-19
76              	2.03256907e-08	1.41296832e-19
77              	2.00252196e-08	1.33125216e-19
78              	1.97324154e-08	1.25508222e-19
79              	1.94470623e-08	1.18404224e-19
80              	1.91689560e-08	1.11775088e-19
81              	1.88979037e-08	1.05585846e-19
82              	1.86337234e-08	9.98044154e-20
