# Region        : all region0
# Cells         : 13056
# Volume        : 2.33333000e+00
# Time          	min(U)
1               	(2.57479055e-01 -7.93186890e-11 -8.21506991e-16)
2               	(1.25378011e-01 -8.80351859e-08 -3.65816727e-16)
3               	(8.63143676e-02 -2.93035758e-07 -2.34532944e-16)
4               	(6.82552411e-02 -3.50861196e-07 -1.33032958e-17)
5               	(5.73774105e-02 -5.94151726e-07 -1.88097794e-17)
6               	(4.98485052e-02 -1.05674085e-06 -2.44780192e-17)
7               	(4.42106122e-02 -1.68809252e-06 -3.02243958e-17)
8               	(3.97726668e-02 -2.48238735e-06 -3.17501348e-17)
9               	(3.61566491e-02 -3.37095328e-06 -2.98508194e-17)
10              	(3.31348228e-02 -4.21861615e-06 -3.32373630e-17)
11              	(3.05601791e-02 -4.90244991e-06 -3.68704933e-17)
12              	(2.83327501e-02 -5.41918779e-06 -4.08107480e-17)
13              	(2.63817274e-02 -5.65829751e-06 -4.48381644e-17)
14              	(2.46552797e-02 -5.60805291e-06 -4.90028754e-17)
15              	(2.31144245e-02 -5.37801554e-06 -5.32547432e-17)
16              	(2.17291682e-02 -4.94375870e-06 -5.75232753e-17)
17              	(2.04759824e-02 -4.34541264e-06 -6.16677576e-17)
18              	(1.93361001e-02 -3.77544934e-06 -6.57931639e-17)
19              	(1.82943331e-02 -3.23803447e-06 -6.99059080e-17)
20              	(1.73382319e-02 -3.05202815e-06 -7.39703706e-17)
21              	(1.64574764e-02 -2.76660088e-06 -7.78837528e-17)
22              	(1.56434250e-02 -2.49944501e-06 -8.17229471e-17)
23              	(1.48887759e-02 -2.15943545e-06 -8.55521546e-17)
24              	(1.41873092e-02 -1.84248071e-06 -8.93398630e-17)
25              	(1.35336868e-02 -1.55245002e-06 -9.31368471e-17)
26              	(1.29232967e-02 -1.27022208e-06 -9.69171084e-17)
27              	(1.23521295e-02 -1.01714548e-06 -1.00657863e-16)
28              	(1.18166792e-02 -8.00141196e-07 -1.04369992e-16)
29              	(1.13138646e-02 -6.19723094e-07 -1.08021146e-16)
30              	(1.08409637e-02 -4.72895774e-07 -1.11709151e-16)
31              	(1.03939440e-02 -3.54929340e-07 -1.15285535e-16)
32              	(9.97169357e-03 -2.61307138e-07 -1.18778124e-16)
33              	(9.57267219e-03 -1.87835402e-07 -1.22180287e-16)
34              	(9.19515649e-03 -1.30706036e-07 -1.25467528e-16)
35              	(8.83748619e-03 -8.67137277e-08 -1.28715605e-16)
36              	(8.49784385e-03 -5.41083697e-08 -1.31898694e-16)
37              	(8.17534399e-03 -3.12305839e-08 -1.35052118e-16)
38              	(7.86882420e-03 -1.50533567e-08 -1.38138780e-16)
39              	(7.57722562e-03 -5.28231388e-09 -1.41088179e-16)
40              	(7.29958142e-03 -7.18226922e-10 -1.43934781e-16)
41              	(7.03500672e-03 -1.40157912e-10 -1.46578873e-16)
42              	(6.78268989e-03 1.11519682e-15 -1.49201719e-16)
43              	(6.54188495e-03 1.92754957e-15 -1.51755678e-16)
44              	(6.31190492e-03 2.83459718e-15 -1.54288226e-16)
45              	(6.09211596e-03 3.88880242e-15 -1.56788504e-16)
46              	(5.88193224e-03 5.11785611e-15 -1.59220326e-16)
47              	(5.68081140e-03 6.55297408e-15 -1.61605853e-16)
48              	(5.48825051e-03 8.05750734e-15 -1.63913106e-16)
49              	(5.30378247e-03 9.62820268e-15 -1.66080682e-16)
50              	(5.12697287e-03 1.14620551e-14 -1.68091242e-16)
51              	(4.95741711e-03 1.36181434e-14 -1.70218800e-16)
52              	(4.79473786e-03 1.61053440e-14 -1.72259499e-16)
53              	(4.63858278e-03 1.89724754e-14 -1.74235810e-16)
