# Region        : all region0
# Cells         : 13056
# Volume        : 2.33333000e+00
# Time          	max(p)	max(k)	max(omega)	max(nut)
0.000120005     	1.58530243e-01	5.31671863e-04	1.19443446e+09	1.99997746e-07
0.000264017     	1.16346950e-01	5.25505574e-04	1.19443446e+09	1.99995186e-07
0.000436833     	1.18339459e-01	3.75514218e-04	1.19443446e+09	1.99992405e-07
0.000644211     	1.10182859e-01	2.53809346e-04	1.19443446e+09	1.99989473e-07
0.000893055     	9.77185186e-02	1.74875937e-04	1.19443446e+09	1.99986308e-07
0.00119165      	8.57514022e-02	1.49867180e-04	1.19443446e+09	1.99982955e-07
0.0015499       	7.52448041e-02	1.49836023e-04	1.19443446e+09	1.99979318e-07
0.00197972      	6.75467899e-02	1.49801751e-04	1.19443446e+09	1.99975379e-07
0.00249549      	5.57009478e-02	1.49764237e-04	1.19443446e+09	1.99971126e-07
0.00311429      	4.93772415e-02	1.49723364e-04	1.19443446e+09	1.99966545e-07
0.00385657      	4.61056350e-02	1.49679024e-04	1.19443446e+09	1.99961647e-07
0.00474757      	4.32411722e-02	1.49631120e-04	1.19443446e+09	1.99956423e-07
0.00581659      	4.00530047e-02	1.49579561e-04	1.19443446e+09	1.99950847e-07
0.00709941      	3.71640183e-02	1.49524264e-04	1.19443446e+09	1.99944916e-07
0.00863879      	3.49116333e-02	1.49465152e-04	1.19443446e+09	1.99938626e-07
0.0104849       	3.31806623e-02	1.49402157e-04	1.19443446e+09	1.99931974e-07
0.0126986       	3.17996610e-02	1.49335218e-04	1.19443446e+09	1.99924960e-07
0.0153526       	3.06972526e-02	1.49264283e-04	1.19443446e+09	1.99917583e-07
0.0185392       	2.98179046e-02	1.49189308e-04	1.19443446e+09	1.99909847e-07
0.0223581       	2.92281572e-02	1.49110261e-04	1.19443446e+09	1.99901755e-07
0.026948        	2.88428728e-02	1.49027121e-04	1.19443446e+09	1.99893312e-07
0.0324454       	2.87192237e-02	1.48939879e-04	1.19443446e+09	1.99884525e-07
0.0390274       	2.87887982e-02	1.48848537e-04	1.19443446e+09	1.99875401e-07
0.0467152       	2.92526345e-02	1.48753115e-04	1.19443446e+09	1.99865949e-07
0.0554609       	2.99585103e-02	1.48653643e-04	1.19443446e+09	2.00487111e-07
0.0652999       	3.06809380e-02	1.48550169e-04	1.19443446e+09	2.01676084e-07
0.0753504       	3.20251709e-02	1.48442757e-04	1.19443446e+09	2.02558922e-07
0.085401        	3.34407824e-02	1.48331481e-04	1.19443446e+09	2.03107029e-07
0.0954515       	3.48248581e-02	1.48216434e-04	1.19443446e+09	2.03392160e-07
0.105502        	3.61928177e-02	1.48097718e-04	1.19443446e+09	2.03487110e-07
0.115553        	3.75530346e-02	1.47975452e-04	1.19443446e+09	2.03448183e-07
0.125603        	3.89152195e-02	1.47849765e-04	1.19443446e+09	2.03315355e-07
0.135654        	4.02987103e-02	1.47720795e-04	1.19443446e+09	2.03116332e-07
0.145704        	4.16945664e-02	1.47588692e-04	1.19443446e+09	2.02870360e-07
0.155755        	4.30760144e-02	1.47453608e-04	1.19443446e+09	2.02590987e-07
0.165805        	4.44378544e-02	1.47315705e-04	1.19443446e+09	2.02287920e-07
0.175736        	4.58790755e-02	1.47175146e-04	1.19443446e+09	2.01967690e-07
0.185667        	4.72103683e-02	1.47032094e-04	1.19443446e+09	2.01635315e-07
0.195598        	4.84883587e-02	1.46886716e-04	1.19443446e+09	2.01295603e-07
0.205408        	4.98285631e-02	1.46739174e-04	1.19443446e+09	2.00952605e-07
0.215218        	5.10438621e-02	1.46589629e-04	1.19443446e+09	2.00606963e-07
0.225027        	5.22349456e-02	1.46438238e-04	1.19443446e+09	2.00261026e-07
0.234837        	5.33810382e-02	1.46285153e-04	1.19443446e+09	1.99916225e-07
0.244523        	5.45847485e-02	1.46130522e-04	1.19443446e+09	1.99625111e-07
0.254208        	5.56763108e-02	1.45974485e-04	1.19443446e+09	1.99611197e-07
0.263894        	5.67336270e-02	1.45817176e-04	1.19443446e+09	1.99597155e-07
0.273579        	5.77771369e-02	1.45658725e-04	1.19443446e+09	1.99582992e-07
0.283265        	5.87865891e-02	1.45499250e-04	1.19443446e+09	1.99568715e-07
0.292822        	5.98405280e-02	1.45338867e-04	1.19443446e+09	1.99554327e-07
0.302378        	6.07880947e-02	1.45177683e-04	1.19443446e+09	1.99539838e-07
0.311935        	6.17178801e-02	1.45015797e-04	1.19443446e+09	1.99525251e-07
0.321491        	6.26154380e-02	1.44853304e-04	1.19443446e+09	1.99510574e-07
0.331047        	6.34933398e-02	1.44690290e-04	1.19443446e+09	1.99495812e-07
0.340604        	6.43539677e-02	1.44526837e-04	1.19443446e+09	1.99480973e-07
0.35016         	6.52045225e-02	1.44363020e-04	1.19443446e+09	1.99466062e-07
0.359717        	6.60231147e-02	1.44198907e-04	1.19443446e+09	1.99451086e-07
0.369133        	6.68964694e-02	1.44034565e-04	1.19443446e+09	1.99436050e-07
