# Region        : all region0
# Cells         : 13056
# Volume        : 2.33333000e+00
# Time          	max(U)
0.000120005     	(1.00027504e+00 2.25365878e-04 2.29836206e-32)
0.000264017     	(1.00049197e+00 4.59645102e-04 8.75174609e-33)
0.000436833     	(1.00065944e+00 8.24010359e-04 9.53300576e-33)
0.000644211     	(1.00079646e+00 1.30899075e-03 9.87955692e-33)
0.000893055     	(1.00091963e+00 1.77956256e-03 1.00303094e-32)
0.00119165      	(1.00103722e+00 2.18275987e-03 1.03033161e-32)
0.0015499       	(1.00114398e+00 3.24194963e-03 1.10303853e-32)
0.00197972      	(1.00124924e+00 3.58568389e-03 1.18459318e-32)
0.00249549      	(1.00136367e+00 3.84508509e-03 1.27250989e-32)
0.00311429      	(1.00152328e+00 4.28898752e-03 1.36644507e-32)
0.00385657      	(1.00207114e+00 4.80835593e-03 1.46522000e-32)
0.00474757      	(1.00259173e+00 5.42234773e-03 1.56708745e-32)
0.00581659      	(1.00306944e+00 6.08670239e-03 1.67164788e-32)
0.00709941      	(1.00352828e+00 6.79554506e-03 1.77606978e-32)
0.00863879      	(1.00392911e+00 7.55049492e-03 1.87874669e-32)
0.0104849       	(1.00438358e+00 8.35255560e-03 1.97770054e-32)
0.0126986       	(1.00480733e+00 9.19986085e-03 2.06940221e-32)
0.0153526       	(1.00530255e+00 1.00967176e-02 2.15129797e-32)
0.0185392       	(1.00580085e+00 1.10267209e-02 2.23443068e-32)
0.0223581       	(1.00626630e+00 1.19867441e-02 2.37955993e-32)
0.026948        	(1.00685374e+00 1.29782010e-02 2.51991039e-32)
0.0324454       	(1.00756370e+00 1.39824356e-02 2.66255275e-32)
0.0390274       	(1.00822750e+00 1.49929056e-02 2.79696951e-32)
0.0467152       	(1.00881273e+00 1.60056650e-02 2.95121053e-32)
0.0554609       	(1.00929786e+00 1.70237014e-02 3.10765049e-32)
0.0652999       	(1.00968537e+00 1.80341234e-02 3.24498578e-32)
0.0753504       	(1.00999123e+00 1.90235415e-02 3.48301991e-32)
0.085401        	(1.01024035e+00 1.99958123e-02 3.65672117e-32)
0.0954515       	(1.01044577e+00 2.09516211e-02 3.79638346e-32)
0.105502        	(1.01061499e+00 2.18896942e-02 3.92484762e-32)
0.115553        	(1.01075374e+00 2.28093710e-02 4.04520271e-32)
0.125603        	(1.01086485e+00 2.37104641e-02 4.15832916e-32)
0.135654        	(1.01094844e+00 2.45948809e-02 4.26478316e-32)
0.145704        	(1.01100382e+00 2.54671663e-02 4.36512652e-32)
0.155755        	(1.01103141e+00 2.63216367e-02 4.45972118e-32)
0.165805        	(1.01103349e+00 2.71586165e-02 4.54872296e-32)
0.175736        	(1.01101157e+00 2.79767248e-02 4.64112521e-32)
0.185667        	(1.01096438e+00 2.87773323e-02 4.70855347e-32)
0.195598        	(1.01089422e+00 2.95592077e-02 4.78048856e-32)
0.205408        	(1.01080293e+00 3.03213390e-02 4.85524561e-32)
0.215218        	(1.01072701e+00 3.10655929e-02 4.90728370e-32)
0.225027        	(1.01068087e+00 3.17916639e-02 4.96478148e-32)
0.234837        	(1.01060853e+00 3.24988544e-02 5.01867557e-32)
0.244523        	(1.01051920e+00 3.31881096e-02 5.07271820e-32)
0.254208        	(1.01041397e+00 3.38611387e-02 5.10649426e-32)
0.263894        	(1.01029359e+00 3.45166065e-02 5.14671049e-32)
0.273579        	(1.01016255e+00 3.51547884e-02 5.18393249e-32)
0.283265        	(1.01003033e+00 3.57759472e-02 5.21791682e-32)
0.292822        	(1.00990516e+00 3.63783453e-02 5.24931619e-32)
0.302378        	(1.00977385e+00 3.69673567e-02 5.26431373e-32)
0.311935        	(1.00963280e+00 3.75499015e-02 5.28680050e-32)
0.321491        	(1.00956811e+00 3.81166199e-02 5.30681058e-32)
0.331047        	(1.00975359e+00 3.86681650e-02 5.32404602e-32)
0.340604        	(1.00991874e+00 3.92061896e-02 5.33864889e-32)
0.35016         	(1.01017748e+00 3.97303342e-02 5.35091591e-32)
0.359717        	(1.01040382e+00 4.02397610e-02 5.36074185e-32)
0.369133        	(1.01058838e+00 4.07332400e-02 5.36307551e-32)
0.378549        	(1.01074580e+00 4.12135563e-02 5.35501059e-32)
0.387965        	(1.01089576e+00 4.16805513e-02 5.35621047e-32)
0.397381        	(1.01104209e+00 4.21356950e-02 5.35610268e-32)
0.406796        	(1.01117397e+00 4.25778668e-02 5.35441043e-32)
0.416212        	(1.01128233e+00 4.30068541e-02 5.35058113e-32)
0.425628        	(1.01138682e+00 4.34235360e-02 5.34556889e-32)
0.435044        	(1.01148930e+00 4.38278266e-02 5.33863990e-32)
0.44446         	(1.01158311e+00 4.42197931e-02 5.33009266e-32)
0.453876        	(1.01166511e+00 4.45999870e-02 5.32971571e-32)
0.463292        	(1.01173645e+00 4.49706624e-02 5.34406674e-32)
0.472708        	(1.01181233e+00 4.53307725e-02 5.35739746e-32)
0.482124        	(1.01186546e+00 4.56793574e-02 5.36988670e-32)
0.491372        	(1.01190627e+00 4.60166337e-02 5.34449132e-32)
0.500619        	(1.01193531e+00 4.63443123e-02 5.33887388e-32)
0.509867        	(1.01195380e+00 4.66620631e-02 5.34722480e-32)
0.519115        	(1.01196152e+00 4.69700866e-02 5.35543578e-32)
0.528363        	(1.01195664e+00 4.72702518e-02 5.36322989e-32)
0.537611        	(1.01193658e+00 4.75610122e-02 5.37031361e-32)
0.546858        	(1.01190419e+00 4.78424264e-02 5.38026998e-32)
0.556106        	(1.01186436e+00 4.81151498e-02 5.39141928e-32)
0.565354        	(1.01182175e+00 4.83795584e-02 5.40198540e-32)
0.574602        	(1.01177754e+00 4.86357402e-02 5.41211909e-32)
0.58385         	(1.01173067e+00 4.88839579e-02 5.42170477e-32)
0.593097        	(1.01168242e+00 4.91252793e-02 5.43059080e-32)
0.602345        	(1.01162873e+00 4.93592779e-02 5.43889055e-32)
0.611593        	(1.01156954e+00 4.95856293e-02 5.44672906e-32)
0.620841        	(1.01150773e+00 4.98048990e-02 5.45423265e-32)
0.630089        	(1.01144717e+00 5.00176113e-02 5.46137423e-32)
0.639336        	(1.01139132e+00 5.02239509e-02 5.46800541e-32)
0.648584        	(1.01133761e+00 5.04241346e-02 5.47412331e-32)
0.657832        	(1.01128824e+00 5.06178068e-02 5.47987053e-32)
0.66708         	(1.01124334e+00 5.08056372e-02 5.48526468e-32)
0.676327        	(1.01119778e+00 5.09874441e-02 5.49044105e-32)
0.685575        	(1.01114837e+00 5.11670024e-02 5.49536243e-32)
0.694823        	(1.01109571e+00 5.13417095e-02 5.49989018e-32)
0.704071        	(1.01104208e+00 5.15116040e-02 5.50405344e-32)
0.713319        	(1.01099009e+00 5.16766282e-02 5.50798858e-32)
0.722566        	(1.01094047e+00 5.18355741e-02 5.51176347e-32)
0.731814        	(1.01089228e+00 5.19892309e-02 5.51535130e-32)
0.741062        	(1.01084474e+00 5.21370227e-02 5.51869996e-32)
0.75031         	(1.01079456e+00 5.22790000e-02 5.52169923e-32)
0.759558        	(1.01074031e+00 5.24158868e-02 5.52443953e-32)
0.768805        	(1.01068155e+00 5.25483082e-02 5.52705708e-32)
0.778053        	(1.01061985e+00 5.26766688e-02 5.52959825e-32)
0.787301        	(1.01055644e+00 5.28010537e-02 5.53206566e-32)
0.796549        	(1.01049389e+00 5.29214212e-02 5.53433906e-32)
0.805796        	(1.01043276e+00 5.30377640e-02 5.53638039e-32)
0.815044        	(1.01037302e+00 5.31500882e-02 5.53822742e-32)
0.824292        	(1.01031329e+00 5.32577287e-02 5.53993544e-32)
0.83354         	(1.01025103e+00 5.33610521e-02 5.54163685e-32)
0.842788        	(1.01018588e+00 5.34606239e-02 5.54331571e-32)
0.852035        	(1.01011867e+00 5.35570038e-02 5.54486919e-32)
0.861283        	(1.01005059e+00 5.36504344e-02 5.54624905e-32)
0.870531        	(1.00998194e+00 5.37409497e-02 5.54750838e-32)
0.879779        	(1.00991346e+00 5.38286021e-02 5.54868756e-32)
0.889027        	(1.00984684e+00 5.39135530e-02 5.54989913e-32)
0.898274        	(1.00978153e+00 5.39957566e-02 5.55115227e-32)
0.907522        	(1.00971721e+00 5.40750878e-02 5.55237352e-32)
0.91677         	(1.00965295e+00 5.41511555e-02 5.55350612e-32)
0.926018        	(1.00958799e+00 5.42241086e-02 5.55455283e-32)
0.935265        	(1.00952238e+00 5.42943211e-02 5.55555503e-32)
0.944513        	(1.00945663e+00 5.43621363e-02 5.55653220e-32)
0.953761        	(1.00939100e+00 5.44277328e-02 5.55744817e-32)
0.963009        	(1.00932561e+00 5.44912486e-02 5.55826941e-32)
0.972257        	(1.00926107e+00 5.45527751e-02 5.55902847e-32)
0.981504        	(1.00919768e+00 5.46123802e-02 5.55986538e-32)
0.990752        	(1.00913545e+00 5.46701166e-02 5.56084051e-32)
1               	(1.00907441e+00 5.47259519e-02 5.56187765e-32)
1.00917         	(1.00901522e+00 5.47797462e-02 5.53833856e-32)
1.01835         	(1.00895722e+00 5.48316567e-02 5.53315390e-32)
1.02752         	(1.00890020e+00 5.48817483e-02 5.53369341e-32)
1.0367          	(1.00884362e+00 5.49298357e-02 5.53450359e-32)
1.04587         	(1.00878664e+00 5.49756535e-02 5.53556462e-32)
1.05505         	(1.00872909e+00 5.50195771e-02 5.53652607e-32)
1.06422         	(1.00867334e+00 5.50619371e-02 5.53686613e-32)
1.07339         	(1.00861747e+00 5.51029174e-02 5.53688235e-32)
1.08257         	(1.00856134e+00 5.51427051e-02 5.53723020e-32)
1.09174         	(1.00850573e+00 5.51814000e-02 5.53828420e-32)
1.10092         	(1.00845130e+00 5.52190068e-02 5.54007255e-32)
1.11009         	(1.00839836e+00 5.52554856e-02 5.54087577e-32)
1.11927         	(1.00834704e+00 5.52908009e-02 5.54154746e-32)
1.12844         	(1.00829709e+00 5.53249311e-02 5.54158823e-32)
1.13761         	(1.00824818e+00 5.53578825e-02 5.54158045e-32)
1.14679         	(1.00820010e+00 5.53896834e-02 5.54245767e-32)
1.15596         	(1.00815268e+00 5.54203387e-02 5.54336859e-32)
1.16514         	(1.00813046e+00 5.54498863e-02 5.54460876e-32)
1.17431         	(1.00813811e+00 5.54784033e-02 5.54543528e-32)
1.18349         	(1.00814550e+00 5.55059157e-02 5.54590202e-32)
1.19266         	(1.00815253e+00 5.55324777e-02 5.54507968e-32)
1.20183         	(1.00815976e+00 5.55581656e-02 5.54602729e-32)
1.21101         	(1.00816705e+00 5.55828973e-02 5.54583021e-32)
1.22018         	(1.00817406e+00 5.56066978e-02 5.54758470e-32)
1.22936         	(1.00818074e+00 5.56295974e-02 5.54887938e-32)
1.23853         	(1.00818754e+00 5.56514796e-02 5.55009470e-32)
1.24771         	(1.00819433e+00 5.56724222e-02 5.54896073e-32)
1.25688         	(1.00820096e+00 5.56925195e-02 5.54991131e-32)
1.26606         	(1.00820739e+00 5.57118623e-02 5.55005935e-32)
1.27523         	(1.00821358e+00 5.57305225e-02 5.55141392e-32)
1.2844          	(1.00822014e+00 5.57485750e-02 5.55297582e-32)
1.29358         	(1.00822646e+00 5.57660734e-02 5.55492775e-32)
1.30275         	(1.00823240e+00 5.57830513e-02 5.55396454e-32)
1.31193         	(1.00823796e+00 5.57995241e-02 5.55533632e-32)
1.3211          	(1.00824362e+00 5.58154921e-02 5.55506995e-32)
1.33028         	(1.00824902e+00 5.58309519e-02 5.55602152e-32)
1.33945         	(1.00825417e+00 5.58459022e-02 5.55774685e-32)
1.34862         	(1.00825919e+00 5.58603438e-02 5.56004754e-32)
1.3578          	(1.00826441e+00 5.58742816e-02 5.55953290e-32)
1.36697         	(1.00826940e+00 5.58877263e-02 5.56128633e-32)
