# Region        : all region0
# Cells         : 13056
# Volume        : 2.33333000e+00
# Time          	min(p)	min(k)	min(omega)	min(nut)
0.000120005     	7.94593833e-04	2.40395350e-05	7.45008293e+02	7.56743145e-14
0.000264017     	3.41657596e-04	8.64068911e-06	7.39285375e+02	3.76269254e-13
0.000436833     	3.37922831e-04	4.84935947e-06	7.32597143e+02	2.30224981e-13
0.000644211     	3.05480084e-04	3.19360242e-06	7.24747358e+02	2.12241779e-13
0.000893055     	2.67370895e-04	1.91941279e-06	7.15545140e+02	1.23009361e-13
0.00119165      	2.37047484e-04	1.31845895e-06	7.04793696e+02	1.04740192e-13
0.0015499       	2.13051764e-04	8.72917453e-07	6.92291243e+02	6.92397586e-14
0.00197972      	1.92405430e-04	6.05936064e-07	6.77833646e+02	5.75292877e-14
0.00249549      	1.74023757e-04	4.25132773e-07	6.61220135e+02	4.18393761e-14
0.00311429      	1.57656857e-04	3.11024963e-07	6.42276239e+02	3.41525444e-14
0.00385657      	1.42980955e-04	2.32957601e-07	6.20863909e+02	2.66876137e-14
0.00474757      	1.29639014e-04	1.74800534e-07	5.96881521e+02	2.26051447e-14
0.00581659      	-1.40673600e-03	1.34033827e-07	5.70327768e+02	1.89840124e-14
0.00709941      	-3.84099151e-03	1.05105762e-07	5.41280724e+02	1.64144529e-14
0.00863879      	-6.33447820e-03	8.39821837e-08	5.09933378e+02	1.42231656e-14
0.0104849       	-8.95933712e-03	6.66103376e-08	4.76617651e+02	1.24905161e-14
0.0126986       	-1.16829980e-02	5.35589729e-08	4.41766618e+02	1.10200558e-14
0.0153526       	-1.44372218e-02	4.36875134e-08	4.05914659e+02	9.79911613e-15
0.0185392       	-1.72067289e-02	3.61331884e-08	3.69614310e+02	8.75429320e-15
0.0223581       	-1.99091918e-02	2.94907872e-08	3.33572434e+02	7.86334221e-15
0.026948        	-2.25802604e-02	2.43546208e-08	2.98320972e+02	7.09241699e-15
0.0324454       	-2.51280435e-02	2.03393837e-08	2.64565170e+02	6.42390060e-15
0.0390274       	-2.75666974e-02	1.71726848e-08	2.32793766e+02	5.83937318e-15
0.0467152       	-2.97201370e-02	1.43138916e-08	2.04028650e+02	5.32646264e-15
0.0554609       	-3.16383881e-02	1.20426395e-08	1.78854552e+02	4.87393262e-15
0.0652999       	-3.34421083e-02	1.01806103e-08	1.57095147e+02	4.47324590e-15
0.0753504       	-3.46692264e-02	8.65243809e-09	1.39865283e+02	4.10338470e-15
0.085401        	-3.58262083e-02	7.25763086e-09	1.26202146e+02	3.76951297e-15
0.0954515       	-3.69857092e-02	6.13952218e-09	1.15101225e+02	3.47077869e-15
0.105502        	-3.81034847e-02	5.23617662e-09	1.05888089e+02	3.20276258e-15
0.115553        	-3.91668652e-02	4.43917970e-09	9.81045034e+01	2.96168864e-15
0.125603        	-4.01718633e-02	3.75589769e-09	9.14312126e+01	2.71342740e-15
0.135654        	-4.11123455e-02	3.20499981e-09	8.56393749e+01	2.48649887e-15
0.145704        	-4.19927813e-02	2.74696122e-09	8.05604381e+01	2.28121492e-15
0.155755        	-4.28211866e-02	2.32791300e-09	7.60672165e+01	2.09567715e-15
0.165805        	-4.36001515e-02	1.99058635e-09	7.20617093e+01	1.92853190e-15
0.175736        	-4.42596845e-02	1.71708757e-09	6.85076145e+01	1.77822897e-15
0.185667        	-4.49466006e-02	1.47098616e-09	6.52960353e+01	1.64301069e-15
0.195598        	-4.55806563e-02	1.26360721e-09	6.23785054e+01	1.52087247e-15
0.205408        	-4.60917579e-02	1.09527040e-09	5.97465443e+01	1.41006153e-15
0.215218        	-4.66331542e-02	9.57435993e-10	5.73321986e+01	1.30881190e-15
0.225027        	-4.71237878e-02	8.31280582e-10	5.51088972e+01	1.21604217e-15
0.234837        	-4.75711996e-02	7.25834745e-10	5.30544531e+01	1.13090308e-15
0.244523        	-4.79078596e-02	6.39049392e-10	5.11730687e+01	1.05262437e-15
0.254208        	-4.82897152e-02	5.66952569e-10	4.94228213e+01	9.80527177e-16
0.263894        	-4.86350448e-02	5.06498495e-10	4.77901228e+01	9.14011006e-16
0.273579        	-4.89415408e-02	4.53390961e-10	4.62633369e+01	8.52547440e-16
0.283265        	-4.92063557e-02	4.05890260e-10	4.48323641e+01	7.95680779e-16
0.292822        	-4.93612173e-02	3.65759332e-10	4.35055061e+01	7.43034380e-16
0.302378        	-4.95674226e-02	3.31567202e-10	4.22560771e+01	6.94318312e-16
0.311935        	-4.97515403e-02	3.02195010e-10	4.10773020e+01	6.49328824e-16
