# Region        : all region0
# Cells         : 13056
# Volume        : 2.33333000e+00
# Time          	min(U)
0.000120005     	(2.60374270e-01 8.28722532e-22 -2.49094016e-32)
0.000264017     	(1.26052065e-01 -4.99289892e-09 -9.55987079e-33)
0.000436833     	(8.67723772e-02 -2.50744725e-08 -1.03559278e-32)
0.000644211     	(6.86525937e-02 -6.56498074e-08 -1.06663378e-32)
0.000893055     	(5.77374301e-02 -1.40433549e-07 -1.09784561e-32)
0.00119165      	(5.01810577e-02 -1.09771641e-07 -1.16358774e-32)
0.0015499       	(4.45216686e-02 -6.47540510e-08 -1.24560972e-32)
0.00197972      	(4.00663060e-02 -2.36933420e-08 -1.33759366e-32)
0.00249549      	(3.64357879e-02 -5.08123027e-09 -1.43672399e-32)
0.00311429      	(3.34015973e-02 -1.53403055e-07 -1.54260320e-32)
0.00385657      	(3.08162307e-02 -3.43211881e-06 -1.65388926e-32)
0.00474757      	(2.85793470e-02 -8.28763498e-06 -1.76859635e-32)
0.00581659      	(2.66198771e-02 -1.04127399e-05 -1.88626107e-32)
0.00709941      	(2.48857895e-02 -9.71364968e-06 -2.00367358e-32)
0.00863879      	(2.33379503e-02 -8.03359689e-06 -2.11900833e-32)
0.0104849       	(2.19462490e-02 -1.50102167e-05 -2.23002438e-32)
0.0126986       	(2.06870627e-02 -2.45140043e-05 -2.33273454e-32)
0.0153526       	(1.95415477e-02 -4.16641010e-05 -2.42425898e-32)
0.0185392       	(1.84944529e-02 -6.52943121e-05 -2.50526145e-32)
0.0223581       	(1.75332794e-02 -8.76121246e-05 -2.66449451e-32)
0.026948        	(1.66476627e-02 -9.74841765e-05 -2.81738960e-32)
0.0324454       	(1.58289280e-02 -1.03548022e-04 -2.97184086e-32)
0.0390274       	(1.50697443e-02 -1.09822955e-04 -3.11598615e-32)
0.0467152       	(1.43638743e-02 -1.13166332e-04 -3.28174072e-32)
0.0554609       	(1.37059638e-02 -1.10684139e-04 -3.44991827e-32)
0.0652999       	(1.30913852e-02 -1.04599989e-04 -3.59664471e-32)
0.0753504       	(1.25161306e-02 -1.01397525e-04 -3.85834687e-32)
0.085401        	(1.19766855e-02 -9.51504089e-05 -4.05055536e-32)
0.0954515       	(1.14699628e-02 -8.70571012e-05 -4.20527745e-32)
0.105502        	(1.09924202e-02 -7.79400931e-05 -4.34758983e-32)
0.115553        	(1.05410538e-02 -7.18719643e-05 -4.48091886e-32)
0.125603        	(1.01148669e-02 -6.50913631e-05 -4.60624221e-32)
0.135654        	(9.71193924e-03 -5.74905317e-05 -4.72417643e-32)
0.145704        	(9.33054880e-03 -5.11624301e-05 -4.83534443e-32)
0.155755        	(8.96914577e-03 -4.52825553e-05 -4.94014709e-32)
0.165805        	(8.62633093e-03 -3.85808811e-05 -5.03875476e-32)
0.175736        	(8.30084151e-03 -3.20323712e-05 -5.14182179e-32)
0.185667        	(7.99152772e-03 -2.48007294e-05 -5.21670980e-32)
0.195598        	(7.69734631e-03 -1.91600889e-05 -5.29642637e-32)
0.205408        	(7.41734572e-03 -1.35529207e-05 -5.38000674e-32)
0.215218        	(7.15065366e-03 -7.84480270e-06 -5.43786277e-32)
0.225027        	(6.89647021e-03 -2.31591513e-06 -5.50159353e-32)
0.234837        	(6.65406001e-03 -1.89139120e-06 -5.56132951e-32)
0.244523        	(6.42274647e-03 -1.52348496e-06 -5.62202598e-32)
0.254208        	(6.20190237e-03 -1.20714820e-06 -5.65966105e-32)
0.263894        	(5.99094827e-03 -9.40264412e-07 -5.70424780e-32)
0.273579        	(5.78935009e-03 -7.19798416e-07 -5.74551585e-32)
0.283265        	(5.59660922e-03 -5.44753880e-07 -5.78319510e-32)
0.292822        	(5.41226188e-03 -4.01745384e-07 -5.81887238e-32)
0.302378        	(5.23587187e-03 -2.85957886e-07 -5.83571166e-32)
0.311935        	(5.06703565e-03 -1.94210089e-07 -5.86065096e-32)
0.321491        	(4.90537478e-03 -1.23249706e-07 -5.88284440e-32)
0.331047        	(4.75041936e-03 -7.17184593e-08 -5.90196453e-32)
0.340604        	(4.59975165e-03 -3.61332932e-08 -5.91816794e-32)
0.35016         	(4.45505153e-03 -1.64708960e-08 -5.93178250e-32)
0.359717        	(4.31602749e-03 -1.66776931e-08 -5.94269047e-32)
0.369133        	(4.18240648e-03 -1.68626098e-08 -5.94626065e-32)
0.378549        	(4.05393078e-03 -1.70250810e-08 -5.93755898e-32)
0.387965        	(3.93035862e-03 -1.71672611e-08 -5.93890822e-32)
0.397381        	(3.81146223e-03 -1.72901170e-08 -5.93881011e-32)
0.406796        	(3.69702694e-03 -1.73945354e-08 -5.93695644e-32)
0.416212        	(3.58685027e-03 -1.74815369e-08 -5.94189430e-32)
0.425628        	(3.48074104e-03 -1.75851674e-08 -5.96383278e-32)
0.435044        	(3.37851859e-03 -1.76812850e-08 -5.98426722e-32)
0.44446         	(3.28001211e-03 -1.77641079e-08 -6.00332492e-32)
0.453876        	(3.18505992e-03 -1.78346237e-08 -6.02094426e-32)
0.463292        	(3.09350890e-03 -1.78937421e-08 -6.03715633e-32)
0.472708        	(3.00521397e-03 -1.79423270e-08 -6.05221579e-32)
0.482124        	(2.92003748e-03 -1.79811687e-08 -6.06632463e-32)
0.491372        	(2.83784931e-03 -1.80099886e-08 -6.03763958e-32)
0.500619        	(2.75852504e-03 -1.80288218e-08 -6.03129429e-32)
0.509867        	(2.68194695e-03 -1.80398941e-08 -6.04072811e-32)
0.519115        	(2.60800305e-03 -1.80434442e-08 -6.05000384e-32)
0.528363        	(2.53658682e-03 -1.80393909e-08 -6.05880864e-32)
0.537611        	(2.46759686e-03 -1.80281060e-08 -6.06681092e-32)
0.546858        	(2.40093663e-03 -1.80101572e-08 -6.07383732e-32)
0.556106        	(2.33651415e-03 -1.79862851e-08 -6.08007974e-32)
0.565354        	(2.27424171e-03 -1.79569996e-08 -6.08569320e-32)
0.574602        	(2.21403569e-03 -1.79395215e-08 -6.09218659e-32)
0.58385         	(2.15581630e-03 -1.79328875e-08 -6.10297702e-32)
0.593097        	(2.09950735e-03 -1.79217748e-08 -6.11297958e-32)
0.602345        	(2.04503609e-03 -1.79063908e-08 -6.12232255e-32)
0.611593        	(1.99233301e-03 -1.78869407e-08 -6.13114649e-32)
0.620841        	(1.94133166e-03 -1.78635563e-08 -6.13959347e-32)
0.630089        	(1.89196850e-03 -1.78364047e-08 -6.14763283e-32)
0.639336        	(1.84418277e-03 -1.78057159e-08 -6.15509746e-32)
0.648584        	(1.79791628e-03 -1.77716646e-08 -6.16198439e-32)
0.657832        	(1.75311337e-03 -1.77345154e-08 -6.16845418e-32)
0.66708         	(1.70972071e-03 -1.76943275e-08 -6.17452648e-32)
0.676327        	(1.66768721e-03 -1.76510584e-08 -6.18035361e-32)
0.685575        	(1.62696394e-03 -1.76048252e-08 -6.18589367e-32)
0.694823        	(1.58750396e-03 -1.75557484e-08 -6.19099057e-32)
0.704071        	(1.54926229e-03 -1.75040292e-08 -6.19567719e-32)
0.713319        	(1.51219576e-03 -1.74499884e-08 -6.20010711e-32)
0.722566        	(1.47626298e-03 -1.73937613e-08 -6.20435679e-32)
0.731814        	(1.44142421e-03 -1.73353466e-08 -6.20839565e-32)
0.741062        	(1.40764129e-03 -1.72748700e-08 -6.21216512e-32)
0.75031         	(1.37487760e-03 -1.72123492e-08 -6.21554128e-32)
0.759558        	(1.34309796e-03 -1.71479144e-08 -6.21862590e-32)
0.768805        	(1.31226857e-03 -1.70882894e-08 -6.22157258e-32)
0.778053        	(1.28235694e-03 -1.70426541e-08 -6.22443334e-32)
0.787301        	(1.25333184e-03 -1.69952019e-08 -6.22721092e-32)
0.796549        	(1.22516328e-03 -1.69460502e-08 -6.22976999e-32)
0.805796        	(1.19782236e-03 -1.68951736e-08 -6.23206781e-32)
0.815044        	(1.17128134e-03 -1.68426387e-08 -6.23414699e-32)
0.824292        	(1.14551349e-03 -1.67885560e-08 -6.23606961e-32)
0.83354         	(1.12049311e-03 -1.67328962e-08 -6.23798496e-32)
0.842788        	(1.09619545e-03 -1.66757196e-08 -6.23987484e-32)
0.852035        	(1.07259670e-03 -1.66170693e-08 -6.24162350e-32)
0.861283        	(1.04967392e-03 -1.65570021e-08 -6.24317673e-32)
0.870531        	(1.02740502e-03 -1.64956137e-08 -6.24459441e-32)
0.879779        	(1.00576872e-03 -1.64329326e-08 -6.24592188e-32)
0.889027        	(9.84744526e-04 -1.63689560e-08 -6.24728581e-32)
0.898274        	(9.64312673e-04 -1.63037359e-08 -6.24869655e-32)
0.907522        	(9.44454124e-04 -1.62372572e-08 -6.25007128e-32)
0.91677         	(9.25150525e-04 -1.61695358e-08 -6.25134619e-32)
0.926018        	(9.06384179e-04 -1.61006530e-08 -6.25252446e-32)
