# Wall shear stress
# Time          	patch           	min             	max             
1               	bottom	(-5.01352089e-02 -2.50818369e-03 -9.87427439e-37)	(-1.15780773e-02 -7.09113971e-14 5.69008023e-37)
2               	bottom	(-4.82381829e-02 -2.50171925e-03 -3.55507296e-37)	(-3.10082489e-03 1.99744294e-13 2.30326256e-37)
3               	bottom	(-4.80628490e-02 -2.49591011e-03 -4.52158590e-37)	(-2.05245645e-03 8.32030536e-09 3.99445647e-37)
4               	bottom	(-4.79349305e-02 -2.49026965e-03 -5.44719669e-37)	(-2.11107851e-03 1.56485315e-07 6.00531672e-37)
5               	bottom	(-4.78166473e-02 -2.48490743e-03 -9.33430260e-37)	(-1.94870257e-03 3.17072854e-08 6.97911905e-37)
6               	bottom	(-4.77051420e-02 -2.47979684e-03 -7.30972544e-37)	(-1.77959961e-03 1.16456714e-07 7.32231321e-37)
7               	bottom	(-4.76001749e-02 -2.47495135e-03 -7.60352051e-37)	(-1.70039885e-03 3.63482940e-08 7.38457432e-37)
8               	bottom	(-4.75017515e-02 -2.47037667e-03 -7.73377652e-37)	(-1.66819334e-03 5.94034037e-08 7.34242731e-37)
9               	bottom	(-4.74106260e-02 -2.46611185e-03 -7.77241682e-37)	(-1.65650647e-03 5.08381816e-08 7.24389715e-37)
10              	bottom	(-4.73256814e-02 -2.46210909e-03 -7.79242699e-37)	(-1.65269257e-03 4.88063327e-08 7.13577109e-37)
