# Region        : all region0
# Cells         : 13056
# Volume        : 2.33333000e+00
# Time          	max(p)	max(nut)
0.000120005     	1.49669699e-01	6.81102444e-09
0.000264017     	7.64642382e-02	8.00776462e-09
0.000436833     	6.80685275e-02	8.40970757e-09
0.000644211     	6.12062201e-02	8.55592125e-09
0.000893055     	5.48720537e-02	8.64044283e-09
0.00119165      	4.96273489e-02	8.97468838e-09
0.0015499       	4.52921660e-02	1.04919537e-08
0.00197972      	4.16305558e-02	1.40282521e-08
0.00249549      	3.84725768e-02	1.74021124e-08
0.00311429      	3.57362290e-02	1.93351021e-08
0.00385657      	3.33523840e-02	2.60731565e-08
0.00472354      	3.20080930e-02	3.17830196e-08
0.00571288      	3.12614071e-02	3.24189491e-08
0.00682257      	3.08726288e-02	4.68357546e-08
0.00800916      	3.15252403e-02	4.55504186e-08
0.00917896      	3.38087623e-02	6.28921182e-08
0.0103338       	3.57523135e-02	7.05125393e-08
0.0114753       	3.75930041e-02	6.76568827e-08
0.0126024       	3.94237952e-02	8.69314854e-08
0.0137169       	4.11841502e-02	1.03873108e-07
0.0148201       	4.28766842e-02	1.13263089e-07
0.0159135       	4.45002212e-02	1.11127241e-07
0.0169973       	4.60824132e-02	1.03696820e-07
0.0180728       	4.75911001e-02	1.24147031e-07
0.019139        	4.90847766e-02	1.44657894e-07
0.0201959       	5.05298533e-02	1.64851170e-07
0.0212461       	5.18733320e-02	1.83636700e-07
0.0222884       	5.32040036e-02	1.99437100e-07
0.0233241       	5.44620879e-02	2.10719229e-07
0.0243544       	5.56526131e-02	2.16445176e-07
0.0253781       	5.68301840e-02	2.16430157e-07
0.0263966       	5.79384639e-02	2.11345779e-07
0.0274086       	5.90333307e-02	2.02430190e-07
0.0284154       	6.00617053e-02	1.91044123e-07
0.0294181       	6.10294442e-02	1.78386910e-07
0.0304156       	6.19870227e-02	1.80316520e-07
0.0314091       	6.28833418e-02	1.96256620e-07
0.0323984       	6.37466684e-02	2.11205549e-07
0.0333838       	6.45766957e-02	2.25553710e-07
0.0343651       	6.53739972e-02	2.39513667e-07
0.0353434       	6.61179971e-02	2.53215822e-07
0.0363178       	6.68548127e-02	2.66713979e-07
0.0372893       	6.75399406e-02	2.80063727e-07
0.0382569       	6.82179931e-02	2.93281535e-07
0.0392215       	6.88467828e-02	3.06401998e-07
0.0401832       	6.94518554e-02	3.19440875e-07
0.0411421       	7.00290896e-02	3.32408472e-07
0.042099        	7.05653062e-02	3.45320152e-07
0.0430531       	7.10970540e-02	3.58159009e-07
0.0440053       	7.15872888e-02	3.70922150e-07
0.0449556       	7.20568535e-02	3.83582781e-07
0.0459031       	7.25228910e-02	3.96089815e-07
0.0468486       	7.29504203e-02	4.08400242e-07
0.0477924       	7.33596599e-02	4.20442681e-07
0.0487342       	7.37505398e-02	4.32129058e-07
0.0496742       	7.41234996e-02	4.43354479e-07
0.0506123       	7.44795875e-02	4.53998100e-07
0.0515495       	7.48045089e-02	4.63932849e-07
0.0524849       	7.51293191e-02	4.73003446e-07
0.0534184       	7.54382179e-02	4.81058606e-07
0.054351        	7.57187656e-02	4.87950985e-07
0.0552817       	7.59999457e-02	4.93527660e-07
0.0562116       	7.62540639e-02	4.97658561e-07
0.0571405       	7.64964834e-02	5.00227681e-07
0.0580685       	7.67272479e-02	5.01146812e-07
0.0589947       	7.69587282e-02	5.00364017e-07
0.05992         	7.71662623e-02	4.97862098e-07
0.0608444       	7.73639196e-02	4.93662244e-07
0.0617678       	7.75517653e-02	4.87824807e-07
0.0626904       	7.77300970e-02	4.80446369e-07
0.063612        	7.78992917e-02	4.71654998e-07
0.0645336       	7.80492235e-02	4.61593492e-07
0.0654544       	7.82021616e-02	4.50442802e-07
0.0663742       	7.83465844e-02	4.50755275e-07
0.0672931       	7.84831602e-02	4.65582974e-07
0.068212        	7.86027491e-02	4.79542260e-07
0.0691301       	7.87256577e-02	4.92668837e-07
0.0700481       	7.88322125e-02	5.05023869e-07
0.0709652       	7.89420937e-02	5.16643158e-07
0.0718823       	7.90365717e-02	5.27582952e-07
0.0727985       	7.91344894e-02	5.37875911e-07
0.0737147       	7.92179132e-02	5.47571698e-07
0.07463         	7.93048577e-02	5.56698569e-07
0.0755453       	7.93781644e-02	5.65299413e-07
0.0764597       	7.94550553e-02	5.73398083e-07
0.0773741       	7.95191259e-02	5.81031246e-07
0.0782885       	7.95793246e-02	5.88225187e-07
0.079202        	7.96429450e-02	5.94998047e-07
0.0801155       	7.96947635e-02	6.01378454e-07
0.081029        	7.97432268e-02	6.07386568e-07
0.0819416       	7.97951577e-02	6.13036025e-07
0.0828542       	7.98362913e-02	6.18349274e-07
0.0837667       	7.98745276e-02	6.23341985e-07
0.0846793       	7.99098081e-02	6.28028762e-07
0.0855919       	7.99421946e-02	6.32423153e-07
0.0865036       	7.99780250e-02	6.36534334e-07
0.0874152       	8.00045029e-02	6.40378073e-07
0.0883269       	8.00287265e-02	6.43965642e-07
0.0892386       	8.00506242e-02	6.47307975e-07
0.0901503       	8.00702610e-02	6.50415591e-07
0.0910619       	8.00877742e-02	6.53298738e-07
0.0919736       	8.01032229e-02	6.55967937e-07
0.0928853       	8.01166091e-02	6.58431719e-07
0.093797        	8.01281936e-02	6.60699219e-07
0.0947086       	8.01379906e-02	6.62780018e-07
0.0956194       	8.01511107e-02	6.64682056e-07
0.0965301       	8.01571341e-02	6.66415898e-07
0.0974409       	8.01618379e-02	6.67990114e-07
0.0983517       	8.01651503e-02	6.69413161e-07
0.0992624       	8.01671186e-02	6.70693179e-07
0.100173        	8.01678020e-02	6.71837943e-07
0.101084        	8.01672406e-02	6.72854851e-07
0.101995        	8.01654926e-02	6.73750863e-07
0.102905        	8.01626115e-02	6.74532482e-07
0.103816        	8.01586510e-02	6.75205742e-07
0.104728        	8.01495479e-02	6.75776263e-07
0.105639        	8.01479971e-02	6.76249019e-07
0.106548        	8.01448470e-02	6.76629002e-07
0.107457        	8.01404806e-02	6.76920417e-07
0.108366        	8.01312719e-02	6.77126775e-07
0.109274        	8.01252684e-02	6.77251865e-07
0.110181        	8.01181983e-02	6.77299142e-07
0.111087        	8.01102883e-02	6.77271620e-07
0.111994        	8.00981358e-02	6.77171425e-07
0.112899        	8.00891312e-02	6.77001700e-07
0.113803        	8.00792999e-02	6.76765066e-07
0.114707        	8.00655561e-02	6.76462943e-07
0.115611        	8.00548395e-02	6.76098311e-07
0.116514        	8.00402603e-02	6.75672560e-07
0.117416        	8.00285770e-02	6.75188808e-07
0.118318        	8.00162824e-02	6.74649515e-07
0.11922         	8.00004807e-02	6.74055840e-07
0.12012         	7.99875067e-02	6.73411391e-07
0.121021        	7.99710978e-02	6.72717750e-07
0.12192         	7.99574350e-02	6.71978991e-07
0.12282         	7.99404782e-02	6.71196919e-07
0.123719        	7.99261740e-02	6.70376013e-07
0.124618        	7.99087201e-02	6.69518241e-07
0.125515        	7.98938350e-02	6.68628384e-07
0.126413        	7.98759456e-02	6.67708476e-07
0.12731         	7.98605462e-02	6.66763427e-07
0.128207        	7.98422708e-02	6.65795150e-07
0.129103        	7.98264129e-02	6.64808462e-07
0.129999        	7.98077957e-02	6.63804941e-07
0.130894        	7.97915259e-02	6.62789060e-07
0.131789        	7.97726317e-02	6.61761853e-07
0.132683        	7.97560103e-02	6.60727210e-07
0.133577        	7.97368623e-02	6.59685414e-07
0.134471        	7.97199297e-02	6.58639612e-07
0.135364        	7.97005777e-02	6.57589221e-07
0.136256        	7.96833727e-02	6.56536527e-07
0.137148        	7.96638564e-02	6.55480018e-07
0.138041        	7.96444876e-02	6.54419266e-07
0.138932        	7.96270355e-02	6.53355578e-07
0.139823        	7.96073921e-02	6.52286177e-07
0.140714        	7.95897197e-02	6.51211326e-07
0.141604        	7.95699502e-02	6.50127551e-07
0.142495        	7.95503468e-02	6.49032706e-07
0.143384        	7.95325233e-02	6.47926765e-07
0.144274        	7.95127319e-02	6.46805774e-07
0.145162        	7.94947718e-02	6.45669336e-07
0.146051        	7.94749252e-02	6.44513462e-07
0.14694         	7.94553136e-02	6.43335947e-07
0.147827        	7.94373421e-02	6.42137269e-07
0.148715        	7.94176195e-02	6.40914047e-07
0.149602        	7.93996213e-02	6.39667101e-07
0.150489        	7.93799541e-02	6.38393690e-07
0.151375        	7.93605425e-02	6.37093280e-07
0.152261        	7.93426699e-02	6.35768517e-07
0.153147        	7.93232510e-02	6.34418032e-07
0.154033        	7.93040951e-02	6.33042772e-07
0.154918        	7.92864027e-02	6.31647022e-07
0.155803        	7.92672486e-02	6.30230826e-07
0.156688        	7.92483612e-02	6.28796606e-07
0.157571        	7.92308699e-02	6.27350180e-07
0.158455        	7.92120006e-02	6.25892806e-07
0.159339        	7.91934150e-02	6.24428079e-07
0.160222        	7.91761494e-02	6.22962890e-07
0.161106        	7.91575871e-02	6.21499215e-07
0.161989        	7.91393043e-02	6.20041200e-07
0.162871        	7.91222762e-02	6.18596068e-07
0.163753        	7.91040205e-02	6.17165791e-07
0.164635        	7.90860386e-02	6.15754242e-07
0.165516        	7.90692483e-02	6.14368089e-07
0.166397        	7.90512778e-02	6.13008470e-07
0.167278        	7.90335778e-02	6.11678138e-07
0.168159        	7.90169900e-02	6.10382342e-07
0.169039        	7.89992878e-02	6.09120658e-07
0.169919        	7.89818613e-02	6.07894004e-07
0.170799        	7.89654675e-02	6.06705568e-07
0.171678        	7.89480142e-02	6.05552855e-07
0.172557        	7.89308186e-02	6.04434549e-07
0.173436        	7.89145952e-02	6.03351495e-07
0.174314        	7.88973766e-02	6.02299015e-07
0.175192        	7.88803935e-02	6.01273542e-07
0.17607         	7.88643334e-02	6.00273748e-07
0.176947        	7.88473314e-02	5.99293033e-07
0.177825        	7.88305674e-02	5.98326007e-07
0.178702        	7.88139361e-02	5.97367343e-07
0.179579        	7.87981618e-02	5.96413816e-07
0.180455        	7.87815053e-02	5.95457192e-07
0.181332        	7.87650714e-02	5.94490798e-07
0.182207        	7.87494460e-02	5.93510914e-07
0.183083        	7.87330053e-02	5.92509123e-07
0.183959        	7.87168154e-02	5.91478908e-07
0.184834        	7.87007766e-02	5.90414550e-07
0.185709        	7.86855275e-02	5.89313403e-07
0.186583        	7.86695159e-02	5.88168112e-07
0.187458        	7.86537787e-02	5.86973655e-07
0.188332        	7.86387917e-02	5.85729058e-07
0.189205        	7.86230891e-02	5.84428571e-07
0.190079        	7.86077215e-02	5.83069128e-07
0.190953        	7.85925248e-02	5.81649014e-07
0.191826        	7.85780549e-02	5.80170585e-07
0.192698        	7.85629766e-02	5.78630843e-07
0.193571        	7.85481682e-02	5.77029862e-07
0.194443        	7.85340864e-02	5.75372618e-07
0.195315        	7.85194030e-02	5.73658368e-07
0.196187        	7.85050481e-02	5.71889617e-07
0.197058        	7.84909143e-02	5.70070314e-07
0.197929        	7.84774506e-02	5.68209024e-07
0.1988          	7.84633695e-02	5.66307670e-07
0.199671        	7.84497227e-02	5.64371555e-07
0.200542        	7.84362037e-02	5.62407228e-07
0.201412        	7.84233025e-02	5.60425880e-07
0.202282        	7.84098712e-02	5.58431259e-07
0.203152        	7.83967595e-02	5.56430391e-07
0.204021        	7.83841580e-02	5.54435387e-07
0.20489         	7.83711717e-02	5.52450522e-07
0.205759        	7.83583559e-02	5.50483114e-07
0.206627        	7.83458280e-02	5.48541131e-07
0.207496        	7.83336411e-02	5.46636555e-07
0.208364        	7.83211655e-02	5.44772844e-07
0.209232        	7.83089137e-02	5.42956048e-07
0.2101          	7.82966913e-02	5.41192420e-07
0.210967        	7.82849883e-02	5.39491704e-07
0.211834        	7.82727250e-02	5.37854874e-07
0.212701        	7.82608550e-02	5.36285014e-07
0.213568        	7.82489340e-02	5.34785134e-07
0.214434        	7.82374726e-02	5.33361246e-07
0.2153          	7.82255056e-02	5.32010737e-07
0.216166        	7.82137638e-02	5.30732728e-07
0.217032        	7.82021024e-02	5.29526196e-07
0.217897        	7.81907381e-02	5.28392850e-07
0.218763        	7.81789675e-02	5.27326279e-07
0.219628        	7.81673680e-02	5.26321629e-07
0.220493        	7.81558365e-02	5.25374084e-07
0.221357        	7.81445871e-02	5.24481577e-07
0.222221        	7.81328848e-02	5.23634596e-07
0.223086        	7.81214560e-02	5.22825235e-07
0.22395         	7.81100191e-02	5.22045973e-07
0.224813        	7.80988968e-02	5.21292316e-07
0.225676        	7.80872497e-02	5.20552928e-07
0.226539        	7.80759885e-02	5.19818288e-07
0.227403        	7.80646473e-02	5.19079668e-07
0.228265        	7.80536630e-02	5.18331815e-07
0.229127        	7.80421556e-02	5.17562942e-07
0.22999         	7.80310771e-02	5.16763409e-07
0.230852        	7.80199122e-02	5.15924698e-07
0.231713        	7.80091091e-02	5.15042311e-07
0.232574        	7.79978374e-02	5.14105153e-07
0.233436        	7.79869906e-02	5.13104629e-07
0.234297        	7.79761024e-02	5.12033533e-07
0.235158        	7.79654495e-02	5.10885241e-07
0.236019        	7.79549453e-02	5.09657737e-07
0.236879        	7.79441715e-02	5.08341726e-07
0.237739        	7.79337016e-02	5.06930961e-07
0.2386          	7.79233154e-02	5.05420802e-07
0.239459        	7.79131170e-02	5.03812056e-07
0.240318        	7.79028516e-02	5.02097372e-07
0.241178        	7.78927108e-02	5.00272957e-07
0.242037        	7.78828057e-02	4.98336732e-07
0.242896        	7.78730214e-02	4.96292762e-07
0.243754        	7.78632700e-02	4.97021899e-07
0.244612        	7.78536718e-02	4.98406932e-07
0.245471        	7.78442707e-02	4.99831298e-07
0.246328        	7.78350465e-02	5.01288529e-07
0.247186        	7.78258016e-02	5.02780906e-07
0.248043        	7.78167997e-02	5.04307571e-07
0.2489          	7.78079461e-02	5.05866180e-07
0.249758        	7.77993118e-02	5.07454002e-07
0.250614        	7.77908141e-02	5.09063050e-07
0.251471        	7.77822872e-02	5.10694634e-07
0.252327        	7.77739676e-02	5.12346784e-07
0.253184        	7.77658242e-02	5.14016136e-07
0.254039        	7.77577972e-02	5.15693873e-07
0.254895        	7.77497367e-02	5.17380833e-07
0.25575         	7.77419123e-02	5.19074560e-07
0.256605        	7.77342356e-02	5.20771300e-07
0.257461        	7.77267336e-02	5.22467120e-07
0.258315        	7.77192952e-02	5.24152886e-07
0.25917         	7.77117979e-02	5.25829389e-07
0.260024        	7.77044984e-02	5.27494184e-07
0.260879        	7.76973147e-02	5.29143642e-07
0.261732        	7.76901660e-02	5.30768892e-07
0.262586        	7.76829533e-02	5.32371082e-07
0.263439        	7.76759293e-02	5.33948251e-07
0.264293        	7.76690018e-02	5.35497345e-07
