# Region        : all region0
# Cells         : 13056
# Volume        : 2.33333000e+00
# Time          	max(U)
0.000120005     	(1.00026611e+00 5.00837010e-04 2.36052534e-32)
0.000264017     	(1.00048182e+00 9.44092795e-04 8.70907238e-33)
0.000436833     	(1.00068301e+00 1.29703304e-03 9.40664290e-33)
0.000644211     	(1.00088679e+00 1.63359625e-03 9.92220006e-33)
0.000893055     	(1.00109977e+00 1.99017763e-03 1.03053425e-32)
0.00119165      	(1.00132481e+00 2.37418459e-03 1.08558035e-32)
0.0015499       	(1.00156829e+00 2.78764333e-03 1.15027561e-32)
0.00197972      	(1.00182846e+00 3.23435018e-03 1.22313514e-32)
0.00249549      	(1.00211339e+00 3.71908867e-03 1.32720218e-32)
0.00311429      	(1.00241843e+00 4.24666183e-03 1.44243479e-32)
0.00385657      	(1.00275678e+00 4.82214197e-03 1.56865758e-32)
0.00472354      	(1.00311622e+00 5.44899428e-03 1.72123735e-32)
0.00571288      	(1.00351236e+00 6.12954481e-03 1.87921416e-32)
0.00682257      	(1.00393033e+00 6.86580570e-03 2.03763570e-32)
0.00800916      	(1.00438703e+00 7.65133018e-03 2.21362627e-32)
0.00917896      	(1.00484951e+00 8.48207342e-03 2.38831138e-32)
0.0103338       	(1.00566734e+00 9.34784998e-03 2.49239046e-32)
0.0114753       	(1.00697050e+00 1.02629167e-02 2.58606125e-32)
0.0126024       	(1.00844690e+00 1.12054805e-02 2.67361493e-32)
0.0137169       	(1.01005885e+00 1.21797758e-02 2.75294410e-32)
0.0148201       	(1.01184369e+00 1.31907227e-02 2.82590887e-32)
0.0159135       	(1.01376885e+00 1.42230307e-02 2.89287416e-32)
0.0169973       	(1.01579802e+00 1.52730680e-02 2.95416425e-32)
0.0180728       	(1.01800615e+00 1.63497789e-02 3.00920871e-32)
0.019139        	(1.02032802e+00 1.74499515e-02 3.05892603e-32)
0.0201959       	(1.02273440e+00 1.85606878e-02 3.10191540e-32)
0.0212461       	(1.02521643e+00 1.96799420e-02 3.13986887e-32)
0.0222884       	(1.02782608e+00 2.08038792e-02 3.17409244e-32)
0.0233241       	(1.03054447e+00 2.19303712e-02 3.20301348e-32)
0.0243544       	(1.03331613e+00 2.30673402e-02 3.22865602e-32)
0.0253781       	(1.03612895e+00 2.42156292e-02 3.25042579e-32)
0.0263966       	(1.03897416e+00 2.53612266e-02 3.26791217e-32)
0.0274086       	(1.04184060e+00 2.65011371e-02 3.28183227e-32)
0.0284154       	(1.04472056e+00 2.76339968e-02 3.29207813e-32)
0.0294181       	(1.04769636e+00 2.87583385e-02 3.30057573e-32)
0.0304156       	(1.05069568e+00 2.98716229e-02 3.30615616e-32)
0.0314091       	(1.05368847e+00 3.09729715e-02 3.30892891e-32)
0.0323984       	(1.05666690e+00 3.20608091e-02 3.31845373e-32)
