# Region        : all region0
# Cells         : 13056
# Volume        : 2.33333000e+00
# Time          	min(p)	min(nut)
0.000120005     	7.96594023e-04	2.87166133e-54
0.000264017     	3.30367620e-04	3.96143677e-54
0.000436833     	3.19339533e-04	2.66672212e-59
0.000644211     	2.95214857e-04	2.65309368e-54
0.000893055     	2.61231067e-04	1.23839310e-55
0.00119165      	2.32017835e-04	2.85241074e-55
0.0015499       	2.08093268e-04	5.04328656e-57
0.00197972      	1.87809375e-04	6.69046002e-54
0.00249549      	1.70010350e-04	1.62896807e-55
0.00311429      	1.54213187e-04	1.79589786e-54
0.00385657      	1.40043037e-04	1.02991571e-54
0.00472354      	1.31286881e-04	1.37123007e-53
0.00571288      	1.25388176e-04	2.15729247e-54
0.00682257      	1.21097528e-04	4.30642850e-54
0.00800916      	1.22255262e-04	9.47644363e-55
0.00917896      	1.32025756e-04	1.66508828e-52
0.0103338       	1.39461298e-04	1.33575726e-52
0.0114753       	1.46286161e-04	1.53531243e-53
0.0126024       	1.53007823e-04	3.86397095e-54
0.0137169       	1.59260219e-04	1.30610076e-52
0.0148201       	1.65065124e-04	3.64979521e-53
0.0159135       	1.70418865e-04	1.02014252e-52
0.0169973       	1.75475934e-04	1.12904326e-52
0.0180728       	1.80061095e-04	8.85659685e-53
0.019139        	1.84508940e-04	7.66541853e-53
0.0201959       	1.88629622e-04	1.70697098e-52
0.0212461       	1.92151564e-04	4.37296020e-52
0.0222884       	1.95581630e-04	2.85822565e-52
0.0233241       	1.98575862e-04	9.12610521e-53
0.0243544       	2.01185217e-04	9.40653460e-53
0.0253781       	2.03710952e-04	5.88789993e-53
0.0263966       	2.05844341e-04	6.32981320e-52
0.0274086       	2.07906494e-04	6.79792597e-51
0.0284154       	2.09605310e-04	2.03959167e-51
0.0294181       	2.10992884e-04	7.97448767e-53
0.0304156       	2.12342545e-04	4.70228652e-52
0.0314091       	2.13374351e-04	5.61118378e-52
0.0323984       	2.14257632e-04	8.36447560e-52
0.0333838       	2.14988231e-04	1.75555993e-52
0.0343651       	2.15573727e-04	1.79635399e-52
0.0353434       	2.15911128e-04	7.87364109e-52
0.0363178       	2.16250663e-04	1.69661596e-51
0.0372893       	2.16352420e-04	4.06360557e-51
0.0382569       	2.16457637e-04	5.58974276e-52
0.0392215       	2.16344613e-04	4.91907560e-52
0.0401832       	2.16166301e-04	9.66421991e-52
0.0411421       	2.15875019e-04	6.06607333e-51
0.042099        	2.15431462e-04	2.80622238e-51
0.0430531       	2.15014613e-04	1.13921212e-51
0.0440053       	2.14427500e-04	2.65196899e-50
0.0449556       	2.13786638e-04	2.58294286e-50
0.0459031       	2.13172310e-04	4.24982821e-50
0.0468486       	2.12411612e-04	3.82892678e-50
0.0477924       	2.11613384e-04	8.50322103e-50
0.0487342       	2.10770784e-04	9.04702926e-50
0.0496742       	2.09885930e-04	6.83402815e-50
0.0506123       	2.08968549e-04	7.93466978e-50
0.0515495       	2.07944307e-04	1.11458429e-49
0.0524849       	2.06972201e-04	1.20433718e-49
0.0534184       	2.05958884e-04	1.52312418e-49
0.054351        	2.04856139e-04	1.94448524e-49
0.0552817       	2.03806361e-04	2.55548461e-49
0.0562116       	2.02665412e-04	3.44104173e-49
0.0571405       	2.01518831e-04	4.71297758e-49
0.0580685       	2.00358643e-04	3.95637368e-49
0.0589947       	1.99238614e-04	4.91522564e-49
0.05992         	1.98041981e-04	8.14965759e-49
0.0608444       	1.96847477e-04	1.06588889e-48
0.0617678       	1.95646426e-04	1.26753712e-48
0.0626904       	1.94438836e-04	1.81567023e-48
0.063612        	1.93225974e-04	1.97209925e-48
0.0645336       	1.91965440e-04	1.60298092e-48
0.0654544       	1.90757093e-04	1.55282963e-48
0.0663742       	1.89535702e-04	1.95879315e-48
0.0672931       	1.88312445e-04	2.77387466e-48
0.068212        	1.87052239e-04	3.10268427e-48
0.0691301       	1.85842095e-04	2.17876918e-48
0.0700481       	1.84588239e-04	2.00495056e-48
0.0709652       	1.83381734e-04	1.57098260e-48
0.0718823       	1.82135786e-04	1.31863319e-48
0.0727985       	1.80936060e-04	1.26704238e-48
0.0737147       	1.79700845e-04	4.24432914e-48
0.07463         	1.78510524e-04	2.63077776e-48
