# Region        : all region0
# Cells         : 13056
# Volume        : 2.33333000e+00
# Time          	min(U)
0.000120005     	(2.58650795e-01 -3.54287761e-08 -2.55709844e-32)
0.000264017     	(1.25745317e-01 -2.78087996e-07 -9.51100143e-33)
0.000436833     	(8.66851057e-02 -4.52551825e-07 -1.02145868e-32)
0.000644211     	(6.86148431e-02 -7.65318201e-07 -1.07055156e-32)
0.000893055     	(5.77168575e-02 -1.42760615e-06 -1.11079037e-32)
0.00119165      	(5.01685625e-02 -2.59411667e-06 -1.18581884e-32)
0.0015499       	(4.45138573e-02 -4.52052433e-06 -1.27637807e-32)
0.00197972      	(4.00615553e-02 -7.70742018e-06 -1.38108481e-32)
0.00249549      	(3.64332053e-02 -1.28289891e-05 -1.49842718e-32)
0.00311429      	(3.34006750e-02 -2.09907458e-05 -1.62831359e-32)
0.00385657      	(3.08166313e-02 -3.35552903e-05 -1.77052540e-32)
0.00472354      	(2.85810212e-02 -5.24704896e-05 -1.94242535e-32)
0.00571288      	(2.66228462e-02 -7.95988429e-05 -2.12036442e-32)
0.00682257      	(2.48901039e-02 -1.17335930e-04 -2.29875528e-32)
0.00800916      	(2.33437840e-02 -1.67098022e-04 -2.49702509e-32)
0.00917896      	(2.19539397e-02 -2.27781777e-04 -2.69407718e-32)
0.0103338       	(2.06968695e-02 -3.01523954e-04 -2.81153679e-32)
0.0114753       	(1.95537177e-02 -3.87969012e-04 -2.91725332e-32)
0.0126024       	(1.85092278e-02 -4.87235790e-04 -3.01607511e-32)
0.0137169       	(1.75508854e-02 -5.96700907e-04 -3.10561770e-32)
0.0148201       	(1.66683132e-02 -7.22267450e-04 -3.18797720e-32)
0.0159135       	(1.58528173e-02 -8.58138817e-04 -3.26356480e-32)
0.0169973       	(1.50970494e-02 -1.00356597e-03 -3.33275029e-32)
0.0180728       	(1.43947435e-02 -1.15786645e-03 -3.39488637e-32)
0.019139        	(1.37405221e-02 -1.32568366e-03 -3.45101675e-32)
0.0201959       	(1.31296590e-02 -1.50199633e-03 -3.49955827e-32)
0.0212461       	(1.25581120e-02 -1.68520909e-03 -3.54241014e-32)
0.0222884       	(1.20224004e-02 -1.87398392e-03 -3.58105683e-32)
0.0233241       	(1.15194088e-02 -2.06743710e-03 -3.61371795e-32)
