# Wall shear stress
# Time          	patch           	min             	max             
1               	bottom	(-4.05830951e-02 -4.72311653e-03 -1.77154359e-37)	(-2.52487318e-03 2.50718359e-11 1.91186868e-37)
2               	bottom	(-4.10480223e-02 -4.86929650e-03 -2.50780649e-37)	(-1.73112192e-03 3.92710541e-12 0.00000000e+00)
3               	bottom	(-4.07275417e-02 -4.84818138e-03 -3.20984280e-37)	(-1.39921483e-03 -1.39294427e-12 3.63714936e-38)
4               	bottom	(-4.04601643e-02 -4.82310561e-03 -3.77228649e-37)	(-1.20655186e-03 -2.69250357e-11 1.34407627e-37)
5               	bottom	(-4.02435624e-02 -4.80296607e-03 -4.61202381e-37)	(-1.08658507e-03 -7.27831849e-11 1.95162408e-37)
6               	bottom	(-4.00590643e-02 -4.78605014e-03 -5.17097863e-37)	(-1.01275972e-03 -1.28650753e-10 2.32669328e-37)
7               	bottom	(-3.99005289e-02 -4.77163126e-03 -5.48347280e-37)	(-9.70328183e-04 -1.84615385e-10 2.53608366e-37)
8               	bottom	(-3.97656766e-02 -4.75940808e-03 -5.61886961e-37)	(-9.49313183e-04 -2.28990350e-10 2.62978642e-37)
9               	bottom	(-3.96536285e-02 -4.74921136e-03 -5.65388771e-37)	(-9.40787446e-04 -2.52273229e-10 2.65750350e-37)
10              	bottom	(-3.95635314e-02 -4.74094728e-03 -5.65165101e-37)	(-9.37748646e-04 -2.61552247e-10 2.65924231e-37)
