"nut","yPlus","k","p","omega","wallShearStress:0","wallShearStress:1","wallShearStress:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
1.168739573e-06,116.3060074,1.156756357e-09,0.008611757308,99.66914368,-0.003370696446,-5.026349299e-06,-4.512972828e-19,0,0,0,0,0,1
1.168739573e-06,116.3060074,1.156756357e-09,0.008611757308,99.66914368,-0.003370696446,-5.026349299e-06,-4.512972828e-19,0,0,0,0,0,0
1.162840135e-06,115.7129135,1.314136022e-09,0.008334954269,99.66924286,-0.003336551599,-6.970557934e-06,-2.256486672e-19,0,0,0,0.00313263014,0,0
1.162840135e-06,115.7129135,1.314136022e-09,0.008334954269,99.66924286,-0.003336551599,-6.970557934e-06,-2.256486672e-19,0,0,0,0.00313263014,0,1
1.15035914e-06,114.4589539,1.701251029e-09,0.007521111984,99.66947937,-0.003264659783,-1.005956437e-05,0,0,0,0,0.006361502223,0,0
1.15035914e-06,114.4589539,1.701251029e-09,0.007521111984,99.66947937,-0.003264659783,-1.005956437e-05,0,0,0,0,0.006361502223,0,1
1.136643846e-06,113.0827408,2.253276898e-09,0.006687350105,99.66982269,-0.003186566522,-1.180609888e-05,0,0,0,0,0.009689573199,0,0
1.136643846e-06,113.0827408,2.253276898e-09,0.006687350105,99.66982269,-0.003186566522,-1.180609888e-05,0,0,0,0,0.009689573199,0,1
1.121923788e-06,111.6077728,3.029874573e-09,0.006258743815,99.67030334,-0.003103953786,-1.274512124e-05,0,0,0,0,0.01311989035,0,0
1.121923788e-06,111.6077728,3.029874573e-09,0.006258743815,99.67030334,-0.003103953786,-1.274512124e-05,0,0,0,0,0.01311989035,0,1
1.106387458e-06,110.0533752,4.135112697e-09,0.006026519928,99.67098999,-0.003018090036,-1.32757732e-05,0,0,0,0,0.01665559597,0,0
1.106387458e-06,110.0533752,4.135112697e-09,0.006026519928,99.67098999,-0.003018090036,-1.32757732e-05,0,0,0,0,0.01665559597,0,1
1.090142291e-06,108.4306717,5.737402997e-09,0.005823927466,99.67198181,-0.002929748967,-1.358012105e-05,0,0,0,0,0.0202999264,0,0
1.090142291e-06,108.4306717,5.737402997e-09,0.005823927466,99.67198181,-0.002929748967,-1.358012105e-05,0,0,0,0,0.0202999264,0,1
1.073181465e-06,106.7393875,8.04932121e-09,0.005628811661,99.67341614,-0.002839078195,-1.375705779e-05,0,0,0,0,0.02405621856,0,0
1.073181465e-06,106.7393875,8.04932121e-09,0.005628811661,99.67341614,-0.002839078195,-1.375705779e-05,0,0,0,0,0.02405621856,0,1
1.055448365e-06,104.9742889,1.165191854e-08,0.005458077881,99.67565918,-0.002745976439,-1.386383792e-05,0,0,0,0,0.02792791277,0,0
1.055448365e-06,104.9742889,1.165191854e-08,0.005458077881,99.67565918,-0.002745976439,-1.386383792e-05,0,0,0,0,0.02792791277,0,1
1.036877848e-06,103.1293716,1.688463236e-08,0.005313465372,99.67880249,-0.002650327981,-1.393132879e-05,0,0,0,0,0.0319185555,0,0
1.036877848e-06,103.1293716,1.688463236e-08,0.005313465372,99.67880249,-0.002650327981,-1.393132879e-05,0,0,0,0,0.0319185555,0,1
1.017395903e-06,101.1979065,2.487109185e-08,0.005186824594,99.68402863,-0.002552012447,-1.397881988e-05,0,0,0,0,0.03603180125,0,0
1.017395903e-06,101.1979065,2.487109185e-08,0.005186824594,99.68402863,-0.002552012447,-1.397881988e-05,0,0,0,0,0.03603180125,0,1
9.969088524e-07,99.17123413,3.933259407e-08,0.005072326865,99.69312286,-0.002450853586,-1.402240105e-05,0,0,0,0,0.04027141631,0,0
9.969088524e-07,99.17123413,3.933259407e-08,0.005072326865,99.69312286,-0.002450853586,-1.402240105e-05,0,0,0,0,0.04027141631,0,1
9.752936876e-07,97.03798676,6.271446296e-08,0.004968149588,99.70544434,-0.002346590394,-1.407807122e-05,0,0,0,0,0.04464127868,0,0
9.752936876e-07,97.03798676,6.271446296e-08,0.004968149588,99.70544434,-0.002346590394,-1.407807122e-05,0,0,0,0,0.04464127868,0,1
9.523881772e-07,94.78311157,8.37419023e-08,0.004873544443,99.72150421,-0.002238854067,-1.41640212e-05,0,0,0,0,0.0491453968,0,0
9.523881772e-07,94.78311157,8.37419023e-08,0.004873544443,99.72150421,-0.002238854067,-1.41640212e-05,0,0,0,0,0.0491453968,0,1
9.27973872e-07,92.38632965,1.88734731e-07,0.004786856007,99.78726196,-0.002127123531,-1.430430802e-05,0,0,0,0,0.05378789455,0,0
9.27973872e-07,92.38632965,1.88734731e-07,0.004786856007,99.78726196,-0.002127123531,-1.430430802e-05,0,0,0,0,0.05378789455,0,1
9.017443858e-07,89.81910706,2.806895054e-07,0.004704156425,99.82733917,-0.002010635566,-1.453456116e-05,0,0,0,0,0.05857301876,0,0
9.017443858e-07,89.81910706,2.806895054e-07,0.004704156425,99.82733917,-0.002010635566,-1.453456116e-05,0,0,0,0,0.05857301876,0,1
8.732494621e-07,87.03947449,4.69024684e-07,0.004615297541,99.98959351,-0.001888232538,-1.490678824e-05,0,0,0,0,0.06350515038,0,0
8.732494621e-07,87.03947449,4.69024684e-07,0.004615297541,99.98959351,-0.001888232538,-1.490678824e-05,0,0,0,0,0.06350515038,0,1
8.41808685e-07,83.98404694,9.770068345e-07,0.004491927102,100.3342667,-0.001758157741,-1.550612251e-05,0,0,0,0,0.06858881563,0,0
8.41808685e-07,83.98404694,9.770068345e-07,0.004491927102,100.3342667,-0.001758157741,-1.550612251e-05,0,0,0,0,0.06858881563,0,1
8.063097425e-07,80.54930115,2.47403409e-06,0.004256355111,101.0270233,-0.001617535832,-1.635692934e-05,0,0,0,0,0.0738286525,0,0
8.063097425e-07,80.54930115,2.47403409e-06,0.004256355111,101.0270233,-0.001617535832,-1.635692934e-05,0,0,0,0,0.0738286525,0,1
7.656107073e-07,76.63158417,3.48843173e-06,0.003780283034,101.5883331,-0.001464331988,-1.705051181e-05,2.941516256e-21,0,0,0,0.07922948152,0,0
7.656107073e-07,76.63158417,3.48843173e-06,0.003780283034,101.5883331,-0.001464331988,-1.705051181e-05,2.941516256e-21,0,0,0,0.07922948152,0,1
7.206114674e-07,72.32536316,1.03047505e-05,0.002999305259,106.1707687,-0.001304603298,-1.688768862e-05,2.941519084e-21,0,0,0,0.08479622751,0,0
7.206114674e-07,72.32536316,1.03047505e-05,0.002999305259,106.1707687,-0.001304603298,-1.688768862e-05,2.941519084e-21,0,0,0,0.08479622751,0,1
6.7337362e-07,67.83503723,2.464096906e-05,0.00199111132,114.6219635,-0.001147815958,-1.576893374e-05,0,0,0,0,0.09053400904,0,0
